,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,356203000.0,-239414000.0,-963523000.0,3455084000.0,
Repurchase Of Capital Stock,,-8537000.0,,,-37252000.0
Repayment Of Debt,-979389000.0,,,,
Issuance Of Capital Stock,13947000.0,146472000.0,170959000.0,11948000.0,
Capital Expenditure,-81447000.0,-89990000.0,-17199000.0,-84592000.0,
End Cash Position,4417161000.0,5674338000.0,4648074000.0,5229961000.0,
Beginning Cash Position,5674338000.0,4648074000.0,5229961000.0,1519341000.0,
Effect Of Exchange Rate Changes,-7598000.0,-2272000.0,-2808000.0,,
Changes In Cash,-1249579000.0,1028536000.0,-579079000.0,3710620000.0,
Financing Cash Flow,-1578670000.0,1252058000.0,451548000.0,244191000.0,
Net Other Financing Charges,17581000.0,20584000.0,13544000.0,2461000.0,
Interest Paid Cff,-630809000.0,,-357159000.0,-308162000.0,-200651000.0
Cash Dividends Paid,,-12708000.0,-2928000.0,-1639000.0,
Common Stock Dividend Paid,,-12708000.0,-2928000.0,-1639000.0,
Net Common Stock Issuance,13947000.0,137935000.0,170959000.0,11948000.0,
Common Stock Payments,,-8537000.0,,,-37252000.0
Common Stock Issuance,13947000.0,146472000.0,170959000.0,11948000.0,
Net Issuance Payments Of Debt,-979389000.0,1106247000.0,269973000.0,539583000.0,
Net Long Term Debt Issuance,-979389000.0,1106247000.0,269973000.0,539583000.0,
Long Term Debt Payments,-979389000.0,,,,
Investing Cash Flow,-108559000.0,-74098000.0,-84303000.0,-73247000.0,
Net Other Investing Changes,-2942000.0,14709000.0,-64853000.0,25088000.0,
Dividends Received Cfi,0.0,,0.0,0.0,
Net Investment Purchase And Sale,,-1117000.0,-2251000.0,-4943000.0,-2212000.0
Sale Of Investment,,,7324000.0,721000.0,
Purchase Of Investment,,-1117000.0,-2251000.0,-5664000.0,-2212000.0
Net Business Purchase And Sale,-24170000.0,2249000.0,0.0,,
Sale Of Business,,2249000.0,0.0,,
Purchase Of Business,-24170000.0,,,,
Net PPE Purchase And Sale,-81447000.0,-89939000.0,-17199000.0,-84592000.0,
Sale Of PPE,,51000.0,0.0,0.0,1009000.0
Purchase Of PPE,-81447000.0,-89990000.0,-17199000.0,-84592000.0,
Operating Cash Flow,437650000.0,-149424000.0,-946324000.0,3539676000.0,
Taxes Refund Paid,-162366000.0,-73672000.0,-97051000.0,-65697000.0,
Change In Working Capital,-1696066000.0,-1437775000.0,-1692763000.0,2377125000.0,
Change In Other Current Liabilities,5132858000.0,4386409000.0,2574101000.0,5007970000.0,
Change In Other Current Assets,-726738000.0,-2412472000.0,-1074785000.0,-354943000.0,
Change In Payable,478701000.0,,,-65697000.0,-50702000.0
Change In Receivables,-115343000.0,,,,
Other Non Cash Items,-3131000.0,-2941000.0,-5117000.0,,
Provisionand Write Offof Assets,389037000.0,178889000.0,276249000.0,262297000.0,
Deferred Tax,-99234000.0,69284000.0,-34043000.0,68009000.0,
Depreciation And Amortization,60614000.0,56236000.0,41109000.0,30949000.0,
Depreciation,60614000.0,56236000.0,41109000.0,30949000.0,
Gain Loss On Investment Securities,,,,6815000.0,-9195000.0
Net Foreign Currency Exchange Gain Loss,951694000.0,88505000.0,-282186000.0,55576000.0,
Gain Loss On Sale Of PPE,17709000.0,776000.0,-4104000.0,11183000.0,
Net Income From Continuing Operations,1002000000.0,971274000.0,851582000.0,800234000.0,
