,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,3831500000.0,2694025000.0,11621842000.0,5875042000.0,1961800000.0,,
Repurchase Of Capital Stock,,-413461000.0,-90873000.0,0.0,-774602000.0,-1056521000.0,
Repayment Of Debt,-326800000.0,-332106000.0,-351316000.0,-333985000.0,-334500000.0,,
Issuance Of Debt,10400000.0,15233000.0,41586000.0,,42900000.0,7763000.0,
Issuance Of Capital Stock,,14865000.0,,27000.0,,23693000.0,14000.0
Capital Expenditure,-879900000.0,-466855000.0,-1630202000.0,-1043944000.0,-1088200000.0,,
End Cash Position,16610800000.0,17991875000.0,18638200000.0,18307699000.0,16404000000.0,,
Beginning Cash Position,17991900000.0,18638228000.0,18307699000.0,16404025000.0,19118400000.0,,
Effect Of Exchange Rate Changes,-772600000.0,-185421000.0,-150864000.0,-622114000.0,-843400000.0,,
Changes In Cash,-608500000.0,-460932000.0,481331000.0,2525788000.0,-1871000000.0,,
Financing Cash Flow,-4468900000.0,-1204516000.0,-10736314000.0,-3223205000.0,-3959700000.0,,
Cash Flow From Continuing Financing Activities,-4469100000.0,-1204516000.0,-10736314000.0,-3223205000.0,-3959800000.0,,
Net Other Financing Charges,-686700000.0,-487523000.0,-645954000.0,-807502000.0,-810800000.0,,
Cash Dividends Paid,-1182900000.0,-1524000.0,-9689757000.0,-2081745000.0,-2080600000.0,,
Common Stock Dividend Paid,,-1524000.0,,,,-6611438000.0,
Net Common Stock Issuance,-2282900000.0,-398596000.0,-90873000.0,27000.0,-776700000.0,,
Common Stock Payments,,-413461000.0,-90873000.0,0.0,-774602000.0,-1056521000.0,
Common Stock Issuance,,14865000.0,,27000.0,,23693000.0,14000.0
Net Issuance Payments Of Debt,-316400000.0,-316873000.0,-309730000.0,-333985000.0,-291600000.0,,
Net Long Term Debt Issuance,-316400000.0,-316873000.0,-309730000.0,-333985000.0,-291600000.0,,
Long Term Debt Payments,-326800000.0,-332106000.0,-351316000.0,-333985000.0,-334500000.0,,
Long Term Debt Issuance,10400000.0,15233000.0,41586000.0,,42900000.0,7763000.0,
Investing Cash Flow,-851000000.0,-2417296000.0,-2034399000.0,-1169993000.0,-961300000.0,,
Cash Flow From Continuing Investing Activities,-851000000.0,-2417296000.0,-2034399000.0,-1169993000.0,-961200000.0,,
Net Other Investing Changes,-400000.0,,-513000.0,4979000.0,1000000.0,619000.0,
Net Investment Purchase And Sale,-80100000.0,32978000.0,-172644000.0,-411267000.0,91200000.0,,
Sale Of Investment,,32978000.0,,,,51245000.0,
Purchase Of Investment,,,-172644000.0,-411267000.0,,,-11436000.0
Net Business Purchase And Sale,65000000.0,-2017094000.0,-293211000.0,241824000.0,100000.0,,
Sale Of Business,,,,,100000.0,,6927000.0
Purchase Of Business,,-2017094000.0,,,,-40270000.0,
Net PPE Purchase And Sale,-835500000.0,-433180000.0,-1568031000.0,-1005529000.0,-1053600000.0,,
Sale Of PPE,44400000.0,33675000.0,62171000.0,38415000.0,34600000.0,,
Purchase Of PPE,-879900000.0,-466855000.0,-1630202000.0,-1043944000.0,-1088200000.0,,
Operating Cash Flow,4711400000.0,3160880000.0,13252044000.0,6918986000.0,3050000000.0,,
Cash Flow From Continuing Operating Activities,4711400000.0,3160880000.0,13252044000.0,6918986000.0,3050100000.0,,
Taxes Refund Paid,-863900000.0,-1299197000.0,-442044000.0,-1048162000.0,-1036100000.0,,
Interest Received Cfo,358900000.0,433721000.0,369322000.0,336721000.0,282800000.0,,
Interest Paid Cfo,-154400000.0,-201521000.0,-279727000.0,-227871000.0,-141800000.0,,
Dividend Received Cfo,31000000.0,81115000.0,16808000.0,14980000.0,2500000.0,,
Change In Working Capital,-948000000.0,-3584681000.0,4300511000.0,693606000.0,-2265300000.0,,
Change In Payables And Accrued Expense,-1416700000.0,-3314921000.0,5392801000.0,311273000.0,-2931200000.0,,
Change In Payable,-1416700000.0,-3314921000.0,5392801000.0,311273000.0,-2931200000.0,,
Change In Inventory,-220400000.0,-242706000.0,4971000.0,519315000.0,457200000.0,,
Change In Receivables,689100000.0,-27054000.0,-1097261000.0,-136982000.0,208700000.0,,
Other Non Cash Items,486100000.0,158033000.0,296476000.0,181331000.0,974000000.0,,
Stock Based Compensation,97400000.0,93123000.0,148094000.0,99999000.0,107100000.0,,
Provisionand Write Offof Assets,4000000.0,51624000.0,246378000.0,75245000.0,80500000.0,,
Asset Impairment Charge,52400000.0,49267000.0,57243000.0,61573000.0,59700000.0,,
Deferred Tax,864500000.0,1100689000.0,1451652000.0,447633000.0,629100000.0,,
Deferred Income Tax,864500000.0,1100689000.0,1451652000.0,447633000.0,629100000.0,,
Depreciation Amortization Depletion,1531100000.0,1603492000.0,1817099000.0,1599347000.0,1702400000.0,,
Depreciation And Amortization,1531100000.0,1603492000.0,1817099000.0,1599347000.0,1702400000.0,,
Depreciation,1531100000.0,1603492000.0,1817099000.0,1599347000.0,1702400000.0,,
Operating Gains Losses,-222400000.0,789648000.0,740767000.0,-179136000.0,-135500000.0,,
Earnings Losses From Equity Investments,-11000000.0,352000.0,-113930000.0,5392000.0,5500000.0,,
Gain Loss On Investment Securities,-177300000.0,597960000.0,452421000.0,185756000.0,-111500000.0,,
Net Foreign Currency Exchange Gain Loss,,306090000.0,393061000.0,524053000.0,527465000.0,487921000.0,
Gain Loss On Sale Of PPE,-34100000.0,-28451000.0,-13252000.0,-9870000.0,-29500000.0,,
Gain Loss On Sale Of Business,0.0,-86303000.0,22467000.0,-884467000.0,0.0,,
Net Income From Continuing Operations,3474700000.0,3885567000.0,4529465000.0,4863720000.0,2790600000.0,,
