,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,7862522.4,-4228264.549673,1218606435.2,-8092353.6,
Tax Rate For Calcs,0.0711,0.064737,0.2882,0.1296,
Normalized EBITDA,2368943000.0,2278812000.0,2121471000.0,826371000.0,
Total Unusual Items,110584000.0,-65315000.0,4228336000.0,-62441000.0,
Total Unusual Items Excluding Goodwill,110584000.0,-65315000.0,4228336000.0,-62441000.0,
Net Income From Continuing Operation Net Minority Interest,834166000.0,698511000.0,3386958000.0,155875000.0,
Reconciled Depreciation,634825000.0,618831000.0,684466000.0,202110000.0,
Reconciled Cost Of Revenue,746938000.0,718981000.0,826889000.0,309999000.0,
EBITDA,2479527000.0,2213497000.0,6349807000.0,763930000.0,
EBIT,1844702000.0,1594666000.0,5665341000.0,561820000.0,
Net Interest Income,-483973000.0,-398303000.0,-526469000.0,-151903000.0,
Interest Expense,827101000.0,726485000.0,756504000.0,306602000.0,
Interest Income,408560000.0,396127000.0,227344000.0,179244000.0,
Normalized Income,731444522.4,759597735.450327,377228435.2,210223646.4,
Net Income From Continuing And Discontinued Operation,834166000.0,698511000.0,3386958000.0,155875000.0,
Total Expenses,1547336000.0,1487100000.0,1597526000.0,531231000.0,
Rent Expense Supplemental,64204000.0,72275000.0,85703000.0,48638000.0,
Total Operating Income As Reported,1539360000.0,1453104000.0,5412717000.0,469562000.0,
Diluted Average Shares,507180000.0,542998000.0,559472000.0,265773000.0,
Basic Average Shares,506017000.0,542433000.0,559472000.0,265773000.0,
Diluted EPS,1.6447,1.2864,6.0538,0.5883,
Basic EPS,1.6485,1.2877,6.0538,0.5883,
Diluted NI Availto Com Stockholders,834166000.0,698511000.0,3386958000.0,155875000.0,
Net Income Common Stockholders,834166000.0,698511000.0,3386958000.0,155875000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,834166000.0,698511000.0,3386958000.0,155875000.0,
Minority Interests,-111127000.0,-113467000.0,-106952000.0,-66269000.0,
Net Income Including Noncontrolling Interests,945293000.0,811978000.0,3493910000.0,222144000.0,
Net Income Continuous Operations,945293000.0,811978000.0,3493910000.0,222144000.0,
Tax Provision,72308000.0,56203000.0,1414927000.0,33074000.0,
Pretax Income,1017601000.0,868181000.0,4908837000.0,255218000.0,
Other Non Operating Income Expenses,,,4084483000.0,-165835000.0,3502000.0
Special Income Charges,122964000.0,71147000.0,-62820000.0,-9513000.0,
Other Special Charges,-123134000.0,-71947000.0,2391000.0,9513000.0,
Write Off,170000.0,800000.0,0.0,,
Restructuring And Mergern Acquisition,,0.0,60429000.0,,
Net Non Operating Interest Income Expense,-483973000.0,-398303000.0,-526469000.0,-151903000.0,
Total Other Finance Cost,65432000.0,67945000.0,-2691000.0,24545000.0,
Interest Expense Non Operating,827101000.0,726485000.0,756504000.0,306602000.0,
Interest Income Non Operating,408560000.0,396127000.0,227344000.0,179244000.0,
Operating Income,1311770000.0,1252748000.0,1114748000.0,580090000.0,
Operating Expense,800398000.0,768119000.0,770637000.0,221232000.0,
Other Operating Expenses,155351000.0,112973000.0,177562000.0,28803000.0,
Depreciation And Amortization In Income Statement,153882000.0,152376000.0,132861000.0,34992000.0,
Depreciation Income Statement,153882000.0,152376000.0,132861000.0,34992000.0,
Selling General And Administration,111387000.0,123533000.0,121370000.0,44487000.0,
Selling And Marketing Expense,1618000.0,1888000.0,1823000.0,759000.0,
General And Administrative Expense,109769000.0,121645000.0,119547000.0,43728000.0,
Rent And Landing Fees,2146000.0,2722000.0,2656000.0,1647000.0,
Gross Profit,2112168000.0,2020867000.0,1885385000.0,801322000.0,
Cost Of Revenue,746938000.0,718981000.0,826889000.0,309999000.0,
Total Revenue,2859106000.0,2739848000.0,2712274000.0,1111321000.0,
Operating Revenue,2859106000.0,2739848000.0,2712274000.0,1111321000.0,
