,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,414545000.0,432484000.0,310320000.0,17053000.0,
Repurchase Of Capital Stock,,0.0,-6933000.0,-122521000.0,-42023000.0
Repayment Of Debt,-89537000.0,-2526907000.0,-878626000.0,-2331074000.0,
Issuance Of Debt,445864000.0,2815750000.0,570098000.0,2731900000.0,
Capital Expenditure,-217325000.0,-175876000.0,-190450000.0,-210900000.0,
End Cash Position,220007000.0,99601000.0,139411000.0,422431000.0,
Beginning Cash Position,99601000.0,139411000.0,422431000.0,169248000.0,
Changes In Cash,120406000.0,-39810000.0,-283020000.0,253183000.0,
Financing Cash Flow,72812000.0,-152715000.0,-784299000.0,-14955000.0,
Net Other Financing Charges,-70311000.0,-61473000.0,-193217000.0,-121316000.0,
Cash Dividends Paid,-70708000.0,-246763000.0,-139786000.0,,
Common Stock Dividend Paid,-70708000.0,-246763000.0,-139786000.0,,
Net Common Stock Issuance,,0.0,-6933000.0,-122521000.0,-42023000.0
Common Stock Payments,,0.0,-6933000.0,-122521000.0,-42023000.0
Net Issuance Payments Of Debt,356327000.0,288843000.0,-308528000.0,400826000.0,
Net Long Term Debt Issuance,356327000.0,288843000.0,-308528000.0,400826000.0,
Long Term Debt Payments,-89537000.0,-2526907000.0,-878626000.0,-2331074000.0,
Long Term Debt Issuance,445864000.0,2815750000.0,570098000.0,2731900000.0,
Investing Cash Flow,-584276000.0,-495455000.0,509000.0,40185000.0,
Net Other Investing Changes,468000.0,1236000.0,-112334000.0,-101009000.0,
Dividends Received Cfi,0.0,0.0,0.0,-1916000.0,
Net Investment Purchase And Sale,-333028000.0,-307098000.0,209142000.0,-607137000.0,
Sale Of Investment,,,,,892705000.0
Purchase Of Investment,,,,-723487000.0,-37319000.0
Net Business Purchase And Sale,-31457000.0,-13081000.0,-12183000.0,982298000.0,
Sale Of Business,0.0,0.0,0.0,1000000000.0,
Purchase Of Business,-31457000.0,-13081000.0,-12183000.0,-17702000.0,
Net Intangibles Purchase And Sale,-123178000.0,-88537000.0,-97573000.0,-126246000.0,
Purchase Of Intangibles,-123178000.0,-88537000.0,-97573000.0,-126246000.0,
Net PPE Purchase And Sale,-94147000.0,-87339000.0,-92877000.0,-84654000.0,
Sale Of PPE,,,0.0,0.0,171386000.0
Purchase Of PPE,-94147000.0,-87339000.0,-92877000.0,-84654000.0,
Operating Cash Flow,631870000.0,608360000.0,500770000.0,227953000.0,
Taxes Refund Paid,-3209000.0,-2182000.0,-4269000.0,-6122000.0,
Interest Paid Cfo,-738763000.0,-635346000.0,-723188000.0,-587665000.0,
Change In Working Capital,-408417000.0,-329707000.0,-206060000.0,-448416000.0,
Change In Other Current Liabilities,-5826000.0,3198000.0,-6142000.0,-24478000.0,
Change In Other Current Assets,-1711000.0,52202000.0,3163000.0,-25844000.0,
Change In Payable,-28948000.0,14803000.0,-11257000.0,23859000.0,
Change In Prepaid Assets,,1575000.0,23771000.0,-11051000.0,-16749000.0
Change In Receivables,-273586000.0,-321156000.0,-128597000.0,-362248000.0,
Other Non Cash Items,826073000.0,697966000.0,715237000.0,875193000.0,
Stock Based Compensation,,,,14392000.0,5282000.0
Provisionand Write Offof Assets,185432000.0,178526000.0,192236000.0,194496000.0,
Deferred Tax,-3806000.0,-18376000.0,-4703000.0,-427405000.0,
Depreciation And Amortization,427468000.0,481035000.0,534431000.0,561760000.0,
Depreciation,427468000.0,481035000.0,534431000.0,561760000.0,
Pension And Employee Benefit Expense,64840000.0,21287000.0,51555000.0,-6715000.0,
Gain Loss On Investment Securities,16708000.0,-1057000.0,109645000.0,31640000.0,
Net Foreign Currency Exchange Gain Loss,,,,23918000.0,-768000.0
Gain Loss On Sale Of PPE,,,,0.0,-6222000.0
Net Income From Continuing Operations,256665000.0,204444000.0,-213172000.0,11454000.0,
