,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,239091000.0,-164361000.0,349117000.0,11623000.0,218166000.0,
Repurchase Of Capital Stock,,,,,,0.0
Repayment Of Debt,-93637000.0,-23037000.0,-32069000.0,-5538000.0,-28893000.0,
Issuance Of Debt,,297446000.0,-40000.0,148458000.0,0.0,-2860000.0
Capital Expenditure,-54391000.0,-59229000.0,-59721000.0,-47366000.0,-51009000.0,
End Cash Position,105086000.0,220007000.0,112989000.0,103150000.0,125352000.0,
Beginning Cash Position,220007000.0,112989000.0,103150000.0,125352000.0,99601000.0,
Changes In Cash,-114921000.0,107018000.0,9839000.0,-22202000.0,25751000.0,
Financing Cash Flow,-185481000.0,200744000.0,-116498000.0,61384000.0,-72818000.0,
Net Other Financing Charges,-54954000.0,-34982000.0,-21520000.0,-9164000.0,-4645000.0,
Cash Dividends Paid,,-1638000.0,-27670000.0,-41296000.0,-104000.0,-350000.0
Common Stock Dividend Paid,0.0,-1638000.0,-27670000.0,-41296000.0,-104000.0,
Net Common Stock Issuance,,,,,,0.0
Common Stock Payments,,,,,,0.0
Net Issuance Payments Of Debt,-93637000.0,274409000.0,-32109000.0,142920000.0,-28893000.0,
Net Long Term Debt Issuance,-93637000.0,274409000.0,-32109000.0,142920000.0,-28893000.0,
Long Term Debt Payments,-93637000.0,-23037000.0,-32069000.0,-5538000.0,-28893000.0,
Long Term Debt Issuance,,297446000.0,-40000.0,148458000.0,0.0,-2860000.0
Investing Cash Flow,-222922000.0,11406000.0,-282501000.0,-142575000.0,-170606000.0,
Net Investment Purchase And Sale,-167399000.0,78066000.0,-222344000.0,-74561000.0,-114189000.0,
Purchase Of Investment,-167399000.0,,,-74561000.0,-114189000.0,
Net Business Purchase And Sale,-1119000.0,-5690000.0,-2899000.0,-17500000.0,-5368000.0,
Sale Of Business,,0.0,0.0,0.0,0.0,
Purchase Of Business,-1119000.0,-5690000.0,-2899000.0,-17500000.0,-5368000.0,
Net Intangibles Purchase And Sale,,-37757000.0,-37564000.0,,,-24122000.0
Purchase Of Intangibles,,-37757000.0,-37564000.0,,,-24122000.0
Net PPE Purchase And Sale,-54391000.0,-21472000.0,-22157000.0,491000.0,-51009000.0,
Purchase Of PPE,-54391000.0,-21472000.0,-22157000.0,491000.0,-51009000.0,
Operating Cash Flow,293482000.0,-105132000.0,408838000.0,58989000.0,269175000.0,
Taxes Refund Paid,-1007000.0,-627000.0,-542000.0,-1229000.0,-811000.0,
Interest Paid Cfo,-138703000.0,-266193000.0,-136073000.0,-217716000.0,-118781000.0,
Change In Working Capital,-105967000.0,-240619000.0,91374000.0,-146543000.0,-112629000.0,
Change In Other Current Liabilities,-1933000.0,-2237000.0,-932000.0,-856000.0,-1801000.0,
Change In Other Current Assets,30964000.0,-57958000.0,97017000.0,-64389000.0,23619000.0,
Change In Payable,63988000.0,-102107000.0,36098000.0,4348000.0,32713000.0,
Change In Prepaid Assets,,,,,4786000.0,-11411000.0
Change In Receivables,-189496000.0,-51409000.0,-14438000.0,-64628000.0,-143111000.0,
Other Non Cash Items,228770000.0,196941000.0,224788000.0,214078000.0,190266000.0,
Provisionand Write Offof Assets,53026000.0,60487000.0,29436000.0,41820000.0,53689000.0,
Deferred Tax,1343000.0,-1953000.0,2056000.0,2844000.0,-6753000.0,
Depreciation And Amortization,102819000.0,104507000.0,104244000.0,109491000.0,109226000.0,
Depreciation,102819000.0,104507000.0,104244000.0,109491000.0,109226000.0,
Pension And Employee Benefit Expense,9535000.0,34328000.0,15813000.0,12589000.0,2110000.0,
Gain Loss On Investment Securities,4220000.0,-8035000.0,7996000.0,5128000.0,11619000.0,
Net Income From Continuing Operations,138951000.0,10996000.0,68542000.0,36924000.0,140203000.0,
