,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,450638000.0,35368000.0,116930000.0,-698518000.0,
Repurchase Of Capital Stock,,0.0,,-8119000.0,0.0
Repayment Of Debt,-13671000.0,-1385552000.0,-36450000.0,-611810000.0,
Issuance Of Debt,496618000.0,1661098000.0,0.0,778554000.0,
Issuance Of Capital Stock,,,3297000.0,0.0,991643000.0
Capital Expenditure,-7000.0,-868000.0,-8945000.0,-4912000.0,
End Cash Position,239639000.0,210912000.0,254405000.0,938358000.0,
Other Cash Adjustment Outside Changein Cash,-1000.0,-1000.0,,,-1000.0
Beginning Cash Position,210912000.0,254405000.0,938358000.0,3442000.0,
Changes In Cash,28728000.0,-43492000.0,-683953000.0,934916000.0,
Financing Cash Flow,112274000.0,-179663000.0,-355898000.0,53228000.0,
Net Other Financing Charges,-328493000.0,-339574000.0,-216185000.0,,1123000.0
Cash Dividends Paid,-29064000.0,-106800000.0,-100000000.0,-99483000.0,
Net Common Stock Issuance,-1781000.0,0.0,3297000.0,-8119000.0,
Common Stock Payments,,0.0,,-8119000.0,0.0
Common Stock Issuance,,,3297000.0,0.0,991643000.0
Net Issuance Payments Of Debt,482947000.0,275546000.0,-36450000.0,166744000.0,
Net Long Term Debt Issuance,482947000.0,275546000.0,-36450000.0,166744000.0,
Long Term Debt Payments,-13671000.0,-1385552000.0,-36450000.0,-611810000.0,
Long Term Debt Issuance,496618000.0,1661098000.0,0.0,778554000.0,
Investing Cash Flow,-534191000.0,99935000.0,-453930000.0,1575294000.0,
Net Other Investing Changes,,10283000.0,,-1406000.0,20023000.0
Dividends Received Cfi,0.0,0.0,,,
Net Investment Purchase And Sale,-510933000.0,124144000.0,-443117000.0,1666085000.0,
Sale Of Investment,,,,1666085000.0,0.0
Purchase Of Investment,,,-443117000.0,,-1581502000.0
Net Business Purchase And Sale,-23251000.0,-23341000.0,-1868000.0,-84473000.0,
Sale Of Business,587000.0,10283000.0,,,
Purchase Of Business,-23838000.0,-33624000.0,-1868000.0,-84473000.0,
Net Intangibles Purchase And Sale,-7000.0,-868000.0,-8945000.0,-4912000.0,
Purchase Of Intangibles,-7000.0,-868000.0,-8945000.0,-4912000.0,
Operating Cash Flow,450645000.0,36236000.0,125875000.0,-693606000.0,
Taxes Refund Paid,-16677000.0,-10142000.0,0.0,-6080000.0,
Interest Paid Cfo,-381737000.0,-336891000.0,-306498000.0,-238503000.0,
Change In Working Capital,442721000.0,-238044000.0,-185585000.0,-39496000.0,
Change In Other Current Liabilities,,,13625000.0,-351000.0,
Change In Other Current Assets,22103000.0,-21042000.0,-55330000.0,-4482000.0,
Change In Accrued Expense,,,,,7952000.0
Change In Payable,306336000.0,20662000.0,-77101000.0,67609000.0,
Change In Inventory,-6218000.0,-18736000.0,-21714000.0,-9507000.0,
Change In Receivables,136406000.0,-222747000.0,-63961000.0,-107536000.0,
Other Non Cash Items,356049000.0,325979000.0,345409000.0,255084000.0,
Stock Based Compensation,-2538000.0,2192000.0,4841000.0,4814000.0,
Provisionand Write Offof Assets,12680000.0,11712000.0,10873000.0,5266000.0,
Depreciation And Amortization,240443000.0,203479000.0,185652000.0,137166000.0,
Amortization Cash Flow,16048000.0,15244000.0,,,
Depreciation,224395000.0,188235000.0,185652000.0,137166000.0,
Gain Loss On Investment Securities,-33933000.0,-20265000.0,-32074000.0,,7480000.0
Gain Loss On Sale Of Business,6113000.0,1594000.0,,,
Net Income From Continuing Operations,46625000.0,225843000.0,198835000.0,167991000.0,
