,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,48139000.0,90247000.0,24147000.0,91725000.0,244519000.0,
Repayment Of Debt,-101651000.0,-1763000.0,-3503000.0,-4088000.0,-4317000.0,
Issuance Of Debt,149731000.0,496618000.0,-246000.0,,,971316000.0
Capital Expenditure,-343000.0,,,,,
End Cash Position,161967000.0,239639000.0,512001000.0,363919000.0,470640000.0,
Beginning Cash Position,239639000.0,512001000.0,363919000.0,470640000.0,210912000.0,
Changes In Cash,-77672000.0,-272361000.0,148082000.0,-106721000.0,259728000.0,
Financing Cash Flow,-101167000.0,475957000.0,-3148000.0,-198565000.0,-161970000.0,
Net Other Financing Charges,-139193000.0,-15856000.0,5595000.0,-172072000.0,-146160000.0,
Cash Dividends Paid,-4318000.0,945000.0,-1073000.0,-19882000.0,-9054000.0,
Net Common Stock Issuance,,-779000.0,,,,
Net Issuance Payments Of Debt,48080000.0,494855000.0,-3749000.0,-3842000.0,-4317000.0,
Net Long Term Debt Issuance,48080000.0,494855000.0,-3749000.0,-3842000.0,-4317000.0,
Long Term Debt Payments,-101651000.0,-1763000.0,-3503000.0,-4088000.0,-4317000.0,
Long Term Debt Issuance,149731000.0,496618000.0,-246000.0,,,971316000.0
Investing Cash Flow,-24987000.0,-838565000.0,127083000.0,112000.0,177179000.0,
Net Other Investing Changes,,,,,,0.0
Dividends Received Cfi,,0.0,0.0,,,
Net Investment Purchase And Sale,41740000.0,-833652000.0,136549000.0,119000.0,186051000.0,
Net Business Purchase And Sale,-66384000.0,-4913000.0,-9466000.0,0.0,-8872000.0,
Purchase Of Business,-66384000.0,-5500000.0,-9466000.0,0.0,-8872000.0,
Net Intangibles Purchase And Sale,-343000.0,0.0,0.0,-7000.0,0.0,
Purchase Of Intangibles,-343000.0,0.0,0.0,-7000.0,0.0,
Operating Cash Flow,48482000.0,90247000.0,24147000.0,91732000.0,244519000.0,
Taxes Refund Paid,-2596000.0,-14081000.0,0.0,-2083000.0,-513000.0,
Interest Paid Cfo,-159064000.0,-61980000.0,-133993000.0,-70321000.0,-115443000.0,
Change In Working Capital,172194000.0,253765000.0,-81168000.0,28085000.0,242039000.0,
Change In Other Current Assets,2630000.0,39190000.0,9781000.0,-23129000.0,-3739000.0,
Change In Payable,102065000.0,240952000.0,-92380000.0,69641000.0,88123000.0,
Change In Inventory,-2950000.0,-979000.0,652000.0,-3630000.0,-2261000.0,
Change In Receivables,77318000.0,-949000.0,-6237000.0,-18880000.0,162472000.0,
Other Non Cash Items,135583000.0,36666000.0,112668000.0,102391000.0,104324000.0,
Stock Based Compensation,1687000.0,2716000.0,-180000.0,179000.0,-5253000.0,
Provisionand Write Offof Assets,902000.0,-1193000.0,5845000.0,-331000.0,8359000.0,
Depreciation And Amortization,93037000.0,66921000.0,58043000.0,59153000.0,56326000.0,
Amortization Cash Flow,,-613000.0,5996000.0,,,
Depreciation,93037000.0,67534000.0,52047000.0,48488000.0,56326000.0,
Gain Loss On Investment Securities,-30028000.0,7024000.0,-25949000.0,-8598000.0,-6410000.0,
Gain Loss On Sale Of Business,-46773000.0,,,2998000.0,0.0,
Net Income From Continuing Operations,10045000.0,6939000.0,50091000.0,-17663000.0,7258000.0,
