,2026-03-31
Treasury Shares Number,3113385.0
Ordinary Shares Number,857680426.0
Share Issued,860793811.0
Net Debt,256718000.0
Total Debt,386382000.0
Tangible Book Value,2066119000.0
Invested Capital,3689219000.0
Working Capital,630818000.0
Net Tangible Assets,2066119000.0
Common Stock Equity,3302837000.0
Total Capitalization,3502729000.0
Total Equity Gross Minority Interest,3302837000.0
Stockholders Equity,3302837000.0
Other Equity Interest,27375000.0
Treasury Stock,15445000.0
Additional Paid In Capital,471469000.0
Capital Stock,1324219000.0
Common Stock,1324219000.0
Total Liabilities Net Minority Interest,1885068000.0
Total Non Current Liabilities Net Minority Interest,250721000.0
Non Current Pension And Other Postretirement Benefit Plans,34323000.0
Tradeand Other Payables Non Current,16506000.0
Long Term Debt And Capital Lease Obligation,199892000.0
Long Term Debt,199892000.0
Current Liabilities,1634347000.0
Other Current Liabilities,21166000.0
Current Debt And Capital Lease Obligation,186490000.0
Current Debt,186490000.0
Payables,1243393000.0
Other Payable,160978000.0
Dividends Payable,26005000.0
Total Tax Payable,69711000.0
Accounts Payable,986699000.0
Total Assets,5187905000.0
Total Non Current Assets,2921540000.0
Non Current Deferred Taxes Assets,82046000.0
Financial Assets,2072000.0
Investmentin Financial Assets,568000.0
Goodwill And Other Intangible Assets,1236718000.0
Net PPE,1416378000.0
Current Assets,2265165000.0
Other Current Assets,-1200000.0
Inventory,833946000.0
Other Receivables,64262000.0
Taxes Receivable,156872000.0
Accounts Receivable,666971000.0
Cash Cash Equivalents And Short Term Investments,544314000.0
Other Short Term Investments,414650000.0
Cash And Cash Equivalents,129664000.0
