,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,424530000.0,332887000.0,2571055000.0,-1155861000.0,
Repurchase Of Capital Stock,-5543000.0,-53617000.0,0.0,-78537000.0,
Repayment Of Debt,-8597828000.0,-2137464000.0,-755694000.0,-180257000.0,
Issuance Of Debt,5432764000.0,10009688000.0,990795000.0,1032175000.0,
Issuance Of Capital Stock,125386000.0,84776000.0,0.0,1500000000.0,
Capital Expenditure,-970265000.0,-248264000.0,-2090790000.0,-1572630000.0,
End Cash Position,3826127000.0,7200549000.0,3238394000.0,3125959000.0,
Beginning Cash Position,7200549000.0,3238394000.0,3125959000.0,1595818000.0,
Changes In Cash,-3374422000.0,3962155000.0,112435000.0,1530141000.0,
Other Cash Adjustment Inside Changein Cash,,,0.0,58929000.0,0.0
Financing Cash Flow,-3425792000.0,7884282000.0,-2783954000.0,2151111000.0,
Net Other Financing Charges,,516374000.0,,,
Cash Dividends Paid,-241835000.0,-399950000.0,-2999626000.0,-99994000.0,
Common Stock Dividend Paid,-241835000.0,-399950000.0,-2999626000.0,-99994000.0,
Net Common Stock Issuance,119843000.0,31159000.0,0.0,1421463000.0,
Common Stock Payments,-5543000.0,-53617000.0,0.0,-78537000.0,
Common Stock Issuance,125386000.0,84776000.0,0.0,1500000000.0,
Net Issuance Payments Of Debt,-3165064000.0,7872224000.0,235101000.0,851918000.0,
Net Long Term Debt Issuance,-3165064000.0,7872224000.0,235101000.0,851918000.0,
Long Term Debt Payments,-8597828000.0,-2137464000.0,-755694000.0,-180257000.0,
Long Term Debt Issuance,5432764000.0,10009688000.0,990795000.0,1032175000.0,
Investing Cash Flow,-1343425000.0,-4503278000.0,-1765456000.0,-1096668000.0,
Net Other Investing Changes,-39725000.0,-15466000.0,-15878000.0,-34296000.0,
Dividends Received Cfi,232120000.0,230930000.0,229617000.0,235042000.0,
Net Investment Purchase And Sale,-558339000.0,562601000.0,111595000.0,275216000.0,
Sale Of Investment,,571858000.0,111595000.0,326596000.0,
Purchase Of Investment,-558339000.0,-9257000.0,0.0,-51380000.0,
Net Business Purchase And Sale,-17180000.0,-5068252000.0,0.0,,
Sale Of Business,63516000.0,0.0,,,
Purchase Of Business,-80696000.0,-5068252000.0,0.0,,
Net PPE Purchase And Sale,-960301000.0,-213091000.0,-2090790000.0,-1572630000.0,
Sale Of PPE,9964000.0,35173000.0,0.0,0.0,
Purchase Of PPE,-970265000.0,-248264000.0,-2090790000.0,-1572630000.0,
Operating Cash Flow,1394795000.0,581151000.0,4661845000.0,416769000.0,
Taxes Refund Paid,-252512000.0,-141120000.0,-736970000.0,-68357000.0,
Interest Paid Cfo,-2329673000.0,-702352000.0,-330422000.0,-266424000.0,
Change In Working Capital,-116170000.0,78562000.0,4105202000.0,-301903000.0,
Change In Other Current Liabilities,62098000.0,-259462000.0,-93408000.0,21572000.0,
Change In Other Current Assets,136684000.0,498143000.0,4212595000.0,9179000.0,
Change In Payable,34039000.0,151686000.0,49461000.0,30137000.0,
Change In Prepaid Assets,,,,,-1436000.0
Change In Inventory,,,,,157000.0
Change In Receivables,-348991000.0,-311805000.0,-63446000.0,-56776000.0,
Other Non Cash Items,3290763000.0,567208000.0,522100000.0,-1997043000.0,
Provisionand Write Offof Assets,303335000.0,95651000.0,-208131000.0,20307000.0,
Depreciation And Amortization,1550238000.0,637363000.0,641809000.0,615558000.0,
Amortization Cash Flow,,75827000.0,35466000.0,35466000.0,34959000.0
Depreciation,1550238000.0,637363000.0,641809000.0,580092000.0,
Pension And Employee Benefit Expense,91378000.0,142382000.0,175163000.0,199074000.0,
Gain Loss On Investment Securities,-79228000.0,-13033000.0,17601000.0,-167106000.0,
Gain Loss On Sale Of PPE,-9964000.0,-25624000.0,3944000.0,6366000.0,
Gain Loss On Sale Of Business,-1451000.0,-17891000.0,-10297000.0,,
Net Income From Continuing Operations,-117814000.0,530373000.0,835907000.0,3053340000.0,
