,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,17480800.0,-70994113.798957,213691360.0,-18316140.0,2214081.808912,
Tax Rate For Calcs,0.4,0.121819,0.34,0.34,0.112923,
Normalized EBITDA,543325000.0,872179000.0,1307026000.0,723460000.0,428840000.0,
Total Unusual Items,43702000.0,-582785000.0,628504000.0,-53871000.0,19607000.0,
Total Unusual Items Excluding Goodwill,43702000.0,-582785000.0,628504000.0,-53871000.0,19607000.0,
Net Income From Continuing Operation Net Minority Interest,-410947000.0,-621338000.0,339896000.0,-397034000.0,-615390000.0,
Reconciled Depreciation,465443000.0,466831000.0,104742000.0,465553000.0,521747000.0,
Reconciled Cost Of Revenue,2603261000.0,2587081000.0,3319390000.0,3200700000.0,2390092000.0,
EBITDA,587027000.0,289394000.0,1935530000.0,669589000.0,448447000.0,
EBIT,121584000.0,-177437000.0,1830788000.0,204036000.0,-73300000.0,
Net Interest Income,-678884000.0,-536414000.0,-526800000.0,-543516000.0,-637679000.0,
Interest Expense,468812000.0,507622000.0,1205155000.0,572362000.0,561203000.0,
Interest Income,148451000.0,205529000.0,212689000.0,220073000.0,199142000.0,
Normalized Income,-437168200.0,-109547113.798957,-74916640.0,-361479140.0,-632782918.191088,
Net Income From Continuing And Discontinued Operation,-410947000.0,-621338000.0,339896000.0,-397034000.0,-615390000.0,
Total Expenses,2807139000.0,2711882000.0,3480944000.0,3366523000.0,2916718000.0,
Rent Expense Supplemental,16757000.0,9160000.0,8789000.0,16805000.0,0.0,
Total Operating Income As Reported,345324000.0,,997428000.0,198771000.0,-4734000.0,
Diluted Average Shares,1050378000.0,1050378000.0,,1050378000.0,1050378000.0,1050378000.0
Basic Average Shares,1050378000.0,1050378000.0,,1050378000.0,1050378000.0,1050378000.0
Diluted EPS,-0.39339,-0.59485,,-0.96072,-0.5889,0.00813
Basic EPS,-0.39339,-0.59485,,-0.96072,-0.5889,0.00813
Diluted NI Availto Com Stockholders,-410947000.0,-621338000.0,339896000.0,-397034000.0,-615390000.0,
Net Income Common Stockholders,-410947000.0,-621338000.0,339896000.0,-397034000.0,-615390000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-410947000.0,-621338000.0,339896000.0,-397034000.0,-615390000.0,
Minority Interests,-31886000.0,-19732000.0,-14780000.0,6661000.0,-52537000.0,
Net Income Including Noncontrolling Interests,-379061000.0,-601606000.0,354676000.0,-403695000.0,-562853000.0,
Net Income Continuous Operations,-379061000.0,-601606000.0,354676000.0,-403695000.0,-562853000.0,
Tax Provision,31833000.0,-83453000.0,270957000.0,35369000.0,-71650000.0,
Pretax Income,-347228000.0,-685059000.0,625633000.0,-368326000.0,-634503000.0,
Special Income Charges,-61375000.0,-61150000.0,304563000.0,-24040000.0,-9992000.0,
Other Special Charges,56296000.0,58497000.0,-66285000.0,24418000.0,8683000.0,
Write Off,1294000.0,2594000.0,55000.0,4118000.0,1309000.0,
Impairment Of Capital Assets,3785000.0,59000.0,-238333000.0,-4496000.0,0.0,
Net Non Operating Interest Income Expense,-678884000.0,-536414000.0,-526800000.0,-543516000.0,-637679000.0,
Total Other Finance Cost,358523000.0,234321000.0,-465666000.0,191227000.0,275618000.0,
Interest Expense Non Operating,468812000.0,507622000.0,1205155000.0,572362000.0,561203000.0,
Interest Income Non Operating,148451000.0,205529000.0,212689000.0,220073000.0,199142000.0,
Operating Income,248360000.0,362653000.0,320785000.0,170868000.0,-31189000.0,
Operating Expense,203878000.0,124801000.0,161554000.0,165823000.0,526626000.0,
Other Operating Expenses,23684000.0,13977000.0,52350000.0,6220000.0,362112000.0,
Depreciation And Amortization In Income Statement,10834000.0,12538000.0,11289000.0,7475000.0,7964000.0,
Depreciation Income Statement,10834000.0,12538000.0,11289000.0,7475000.0,7964000.0,
Selling General And Administration,60719000.0,54226000.0,79316000.0,55397000.0,142146000.0,
General And Administrative Expense,60719000.0,54226000.0,79316000.0,55397000.0,142146000.0,
Rent And Landing Fees,1287000.0,729000.0,431000.0,3715000.0,561000.0,
Gross Profit,452238000.0,487454000.0,482339000.0,336691000.0,495437000.0,
Cost Of Revenue,2603261000.0,2587081000.0,3319390000.0,3200700000.0,2390092000.0,
Total Revenue,3055499000.0,3074535000.0,3801729000.0,3537391000.0,2885529000.0,
Operating Revenue,3055499000.0,3074535000.0,3801729000.0,3537391000.0,2885529000.0,
