,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,691230000.0,-55006000.0,177391000.0,-94893000.0,
Repurchase Of Capital Stock,-166755000.0,0.0,-11248000.0,-26057000.0,
Repayment Of Debt,-1154880000.0,-968544000.0,-273847000.0,-336067000.0,
Issuance Of Debt,1781181000.0,658468000.0,968219000.0,214941000.0,
Issuance Of Capital Stock,,,0.0,835474000.0,2569000.0
Capital Expenditure,-383747000.0,-418962000.0,-235201000.0,-233143000.0,
End Cash Position,320633000.0,181160000.0,73316000.0,28826000.0,
Other Cash Adjustment Outside Changein Cash,,-1000.0,,-1000.0,
Beginning Cash Position,181160000.0,73316000.0,28826000.0,33750000.0,
Effect Of Exchange Rate Changes,-3002000.0,10592000.0,2957000.0,1648000.0,
Changes In Cash,142475000.0,97252000.0,41533000.0,-6572000.0,
Financing Cash Flow,-398115000.0,-791772000.0,242930000.0,362426000.0,
Net Other Financing Charges,-56389000.0,-89867000.0,,,1000000.0
Interest Paid Cff,0.0,-118749000.0,-263342000.0,-103468000.0,
Cash Dividends Paid,-500000000.0,-60000000.0,-32960000.0,-76215000.0,
Common Stock Dividend Paid,-500000000.0,-60000000.0,-32960000.0,,
Net Common Stock Issuance,-166755000.0,0.0,-11248000.0,809417000.0,
Common Stock Payments,-166755000.0,0.0,-11248000.0,-26057000.0,
Common Stock Issuance,,,0.0,835474000.0,2569000.0
Net Issuance Payments Of Debt,626301000.0,-310076000.0,694372000.0,-121126000.0,
Net Long Term Debt Issuance,626301000.0,-310076000.0,694372000.0,-121126000.0,
Long Term Debt Payments,-1154880000.0,-968544000.0,-273847000.0,-336067000.0,
Long Term Debt Issuance,1781181000.0,658468000.0,968219000.0,214941000.0,
Investing Cash Flow,-534387000.0,525068000.0,-613989000.0,-507248000.0,
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,-126385000.0,477148000.0,-183922000.0,-184370000.0,
Sale Of Investment,10405993000.0,6039337000.0,3659954000.0,3895637000.0,
Purchase Of Investment,-10532378000.0,-5562189000.0,-3843876000.0,-4080007000.0,
Net Business Purchase And Sale,-24255000.0,466882000.0,-194866000.0,-89735000.0,
Sale Of Business,0.0,467861000.0,0.0,0.0,
Purchase Of Business,-24255000.0,-979000.0,-194866000.0,-89735000.0,
Net PPE Purchase And Sale,-383747000.0,-418962000.0,-235201000.0,-233143000.0,
Sale Of PPE,,,,0.0,1472000.0
Purchase Of PPE,-383747000.0,-418962000.0,-235201000.0,-233143000.0,
Operating Cash Flow,1074977000.0,363956000.0,412592000.0,138250000.0,
Taxes Refund Paid,-36796000.0,-6937000.0,-58926000.0,-80169000.0,
Interest Paid Cfo,-239740000.0,-162314000.0,-28230000.0,-18867000.0,
Change In Working Capital,-224629000.0,-472747000.0,-108762000.0,-412649000.0,
Change In Other Current Liabilities,-119740000.0,117077000.0,-1397000.0,-20923000.0,
Change In Other Current Assets,758000.0,-171397000.0,-52712000.0,-30862000.0,
Change In Accrued Expense,-96797000.0,-14518000.0,-19796000.0,-33000000.0,
Change In Payable,-148674000.0,323679000.0,179027000.0,61098000.0,
Change In Inventory,48244000.0,-273352000.0,-29144000.0,-310601000.0,
Change In Receivables,91580000.0,-454236000.0,-184740000.0,-78361000.0,
Other Non Cash Items,371859000.0,348613000.0,-11212000.0,-14869000.0,
Stock Based Compensation,33279000.0,17916000.0,17348000.0,16543000.0,
Provisionand Write Offof Assets,25016000.0,89591000.0,-4679000.0,10184000.0,
Deferred Tax,-554933000.0,-348607000.0,-22732000.0,50333000.0,
Depreciation And Amortization,697506000.0,414855000.0,222944000.0,166030000.0,
Depreciation,697506000.0,414855000.0,222944000.0,166030000.0,
Pension And Employee Benefit Expense,,,,,1132000.0
Gain Loss On Investment Securities,4783000.0,,,,
Net Foreign Currency Exchange Gain Loss,,,6136000.0,4605000.0,34056000.0
Gain Loss On Sale Of PPE,29067000.0,13156000.0,8168000.0,-824000.0,
Net Income From Continuing Operations,911249000.0,338549000.0,398673000.0,422538000.0,
