,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,-2203372457.147804,-1607964047.823275,
Tax Rate For Calcs,0.0,0.0,0.193977,0.199011,
Total Unusual Items,-13602976000.0,-16151230000.0,-11358949000.0,-8079775000.0,
Total Unusual Items Excluding Goodwill,-13602976000.0,-16151230000.0,-11358949000.0,-8079775000.0,
Net Income From Continuing Operation Net Minority Interest,13698124000.0,26358860000.0,29860965000.0,35080770000.0,
Reconciled Depreciation,5978276000.0,5109556000.0,5192367000.0,2833098000.0,
Net Interest Income,101010718000.0,104514447000.0,88748731000.0,82269433000.0,
Interest Expense,218451386000.0,168990827000.0,176689874000.0,158439298000.0,
Interest Income,319462104000.0,273505274000.0,265438605000.0,240708731000.0,
Normalized Income,27301100000.0,42510090000.0,39016541542.852196,41552580952.17673,
Net Income From Continuing And Discontinued Operation,13698124000.0,26358860000.0,29860965000.0,35080770000.0,
Diluted Average Shares,5708696148.0,5708392262.0,5707985480.0,5707542822.0,
Basic Average Shares,5708696148.0,5708392262.0,5707985480.0,5707542822.0,
Diluted EPS,2.4,4.62,5.23,5.415,
Basic EPS,2.4,4.62,5.23,5.415,
Diluted NI Availto Com Stockholders,13698124000.0,26358860000.0,29860965000.0,30897625000.0,
Net Income Common Stockholders,13698124000.0,26358860000.0,29860965000.0,30897625000.0,
Otherunder Preferred Stock Dividend,,,204099000.0,214617000.0,135983000.0
Net Income,13698124000.0,26358860000.0,29860965000.0,31112242000.0,
Minority Interests,-3083814000.0,-2812704000.0,-3304626000.0,-2682890000.0,
Net Income Including Noncontrolling Interests,16781938000.0,29171564000.0,33165591000.0,33795132000.0,
Net Income Extraordinary,,,-4328027000.0,-3968528000.0,-2535833000.0
Net Income Continuous Operations,16781938000.0,29171564000.0,33165591000.0,37763660000.0,
Tax Provision,-11168302000.0,-1460975000.0,7981600000.0,9382630000.0,
Pretax Income,5613636000.0,27710589000.0,41147191000.0,47146290000.0,
Other Non Operating Income Expenses,,,253527000.0,719202000.0,246057000.0
Special Income Charges,-13602976000.0,-16151230000.0,-11358949000.0,-8079775000.0,
Other Special Charges,13602976000.0,16151230000.0,11358949000.0,8079724000.0,
Write Off,,,71567000.0,51000.0,959231000.0
Gain On Sale Of Security,922700000.0,-948356000.0,-367207000.0,,
Operating Expense,65382993000.0,64482456000.0,56905103000.0,50469821000.0,
Other Operating Expenses,19572238000.0,19315970000.0,16372362000.0,13955403000.0,
Depreciation And Amortization In Income Statement,5978276000.0,5109556000.0,5192367000.0,2833098000.0,
Amortization,2709568000.0,2467259000.0,2356219000.0,1361750000.0,
Depreciation Income Statement,3268708000.0,2642297000.0,2836148000.0,1471348000.0,
Selling General And Administration,8733131000.0,8805462000.0,7315605000.0,8129221000.0,
Selling And Marketing Expense,873438000.0,890653000.0,763111000.0,660810000.0,
General And Administrative Expense,7859693000.0,7914809000.0,6552494000.0,7468411000.0,
Insurance And Claims,562927000.0,485399000.0,424365000.0,294194000.0,
Rent And Landing Fees,202886000.0,313932000.0,147872000.0,1429655000.0,
Total Revenue,147119627000.0,144836573000.0,125465944000.0,123248268000.0,
Operating Revenue,147119627000.0,144836573000.0,125465944000.0,123248268000.0,
