,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-1244238000.0,-1299677200.0,-1099085020.0,-1189898340.0,-1087016040.0
Tax Rate For Calcs,0.4,0.34,0.34,0.34,0.34
Total Unusual Items,-3110595000.0,-3822580000.0,-3232603000.0,-3499701000.0,-3197106000.0
Total Unusual Items Excluding Goodwill,-3110595000.0,-3822580000.0,-3232603000.0,-3499701000.0,-3197106000.0
Net Income From Continuing Operation Net Minority Interest,2397165000.0,5239936000.0,2237301000.0,2782083000.0,3438804000.0
Reconciled Depreciation,1608712000.0,1606252000.0,1508013000.0,1406452000.0,1457559000.0
Net Interest Income,23257447000.0,27723470000.0,25322953000.0,24196415000.0,23767880000.0
Interest Expense,55195131000.0,57718998000.0,59444112000.0,53336067000.0,47952209000.0
Interest Income,78452578000.0,85442468000.0,84767065000.0,77532482000.0,71720089000.0
Normalized Income,4263522000.0,7762838800.0,4370818980.0,5091885660.0,5548893960.0
Net Income From Continuing And Discontinued Operation,2397165000.0,5239936000.0,2237301000.0,2782083000.0,3438804000.0
Diluted Average Shares,5709057927.0,,5709057927.0,5709024632.0,5709128303.0
Basic Average Shares,5709057927.0,,5709057927.0,5709024632.0,5709128303.0
Diluted EPS,0.42,,0.39,0.49,0.6
Basic EPS,0.42,,0.39,0.49,0.6
Diluted NI Availto Com Stockholders,2397165000.0,5239936000.0,2237301000.0,2782083000.0,3438804000.0
Net Income Common Stockholders,2397165000.0,5239936000.0,2237301000.0,2782083000.0,3438804000.0
Net Income,2397165000.0,5239936000.0,2237301000.0,2782083000.0,3438804000.0
Minority Interests,-709112000.0,-775143000.0,-769442000.0,-800179000.0,-739050000.0
Net Income Including Noncontrolling Interests,3106277000.0,6015079000.0,3006743000.0,3582262000.0,4177854000.0
Net Income Continuous Operations,3106277000.0,6015079000.0,3006743000.0,3582262000.0,4177854000.0
Tax Provision,-2083450000.0,-2974188000.0,-2077368000.0,-2220731000.0,-3896015000.0
Pretax Income,1022827000.0,3040891000.0,929375000.0,1361531000.0,281839000.0
Special Income Charges,-3110595000.0,-3822580000.0,-3232603000.0,-3499701000.0,-3197106000.0
Other Special Charges,3110595000.0,3822580000.0,3232603000.0,3499701000.0,3197106000.0
Gain On Sale Of Security,-960555000.0,3748898000.0,-965429000.0,-768520000.0,-1092249000.0
Operating Expense,16241668000.0,19250374000.0,15269449000.0,15983523000.0,16074529000.0
Other Operating Expenses,4856324000.0,6879421000.0,4520469000.0,4221735000.0,4840752000.0
Depreciation And Amortization In Income Statement,1608712000.0,1606252000.0,1508013000.0,1406452000.0,1457559000.0
Amortization,719557000.0,709009000.0,693102000.0,670294000.0,637163000.0
Depreciation Income Statement,889155000.0,897243000.0,814911000.0,736158000.0,820396000.0
Selling General And Administration,2135641000.0,2806186000.0,1987921000.0,2010164000.0,2081594000.0
Selling And Marketing Expense,149170000.0,282174000.0,219172000.0,207485000.0,164607000.0
General And Administrative Expense,1986471000.0,2524012000.0,1768749000.0,1802679000.0,1916987000.0
Insurance And Claims,132402000.0,149587000.0,144144000.0,138155000.0,131041000.0
Rent And Landing Fees,12192000.0,-58235000.0,132712000.0,57457000.0,70952000.0
Total Revenue,34743740000.0,41015625000.0,35419525000.0,34677579000.0,37350794000.0
Operating Revenue,34743740000.0,41015625000.0,35419525000.0,34677579000.0,37350794000.0
