,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-74164468000.0,42180027000.0,-9318258000.0,40355463000.0,
Repurchase Of Capital Stock,-222621000.0,-568728000.0,0.0,-224377000.0,
Repayment Of Debt,-124418265000.0,-63444563000.0,-92261242000.0,-70935669000.0,
Issuance Of Debt,164528149000.0,63735057000.0,106389734000.0,111488599000.0,
Capital Expenditure,-11630468000.0,-8048458000.0,-9140630000.0,-9412240000.0,
End Cash Position,193516834000.0,208023801000.0,186790580000.0,126185421000.0,
Beginning Cash Position,208023801000.0,186790580000.0,126185421000.0,71386319000.0,
Effect Of Exchange Rate Changes,-88334000.0,-305225000.0,239325000.0,892293000.0,
Changes In Cash,-14418633000.0,21538446000.0,60365834000.0,53906809000.0,
Financing Cash Flow,-11714849000.0,-23676490000.0,-23062770000.0,21917788000.0,
Cash Flow From Continuing Financing Activities,-11714849000.0,-23676490000.0,-23062770000.0,21917788000.0,
Net Other Financing Charges,-251292000.0,-439572000.0,-44182000.0,-209470000.0,
Interest Paid Cff,-51350820000.0,-22958684000.0,-37147080000.0,-18201295000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,-222621000.0,-568728000.0,0.0,-224377000.0,
Common Stock Payments,-222621000.0,-568728000.0,0.0,-224377000.0,
Net Issuance Payments Of Debt,40109884000.0,290494000.0,14128492000.0,40552930000.0,
Net Long Term Debt Issuance,40109884000.0,290494000.0,14128492000.0,40552930000.0,
Long Term Debt Payments,-124418265000.0,-63444563000.0,-92261242000.0,-70935669000.0,
Long Term Debt Issuance,164528149000.0,63735057000.0,106389734000.0,111488599000.0,
Investing Cash Flow,59830216000.0,-5013549000.0,83606232000.0,-17778682000.0,
Cash Flow From Continuing Investing Activities,59830216000.0,-5013549000.0,83606232000.0,-17778682000.0,
Net Other Investing Changes,1120065000.0,614125000.0,640484000.0,442888000.0,
Interest Received Cfi,51446230000.0,26763769000.0,45540986000.0,50719425000.0,
Dividends Received Cfi,401192000.0,479427000.0,978932000.0,720069000.0,
Net Investment Purchase And Sale,17357650000.0,-25201842000.0,44321167000.0,-60221272000.0,
Sale Of Investment,233449830000.0,133171731000.0,153621240000.0,174307911000.0,
Purchase Of Investment,-216092180000.0,-158373573000.0,-109300073000.0,-234529183000.0,
Net Business Purchase And Sale,0.0,-211140000.0,-84767000.0,-623966000.0,
Purchase Of Business,0.0,-211140000.0,-84767000.0,-623966000.0,
Net Intangibles Purchase And Sale,-6608243000.0,-5752383000.0,-7187567000.0,-6971601000.0,
Purchase Of Intangibles,-6608243000.0,-5752383000.0,-7187567000.0,-6971601000.0,
Net PPE Purchase And Sale,-3886678000.0,-1705505000.0,-603003000.0,-1844225000.0,
Sale Of PPE,1135547000.0,590570000.0,1350060000.0,596414000.0,
Purchase Of PPE,-5022225000.0,-2296075000.0,-1953063000.0,-2440639000.0,
Operating Cash Flow,,,,49767703000.0,-101992672000.0
Cash Flow From Continuing Operating Activities,-62534000000.0,50228485000.0,-177628000.0,49767703000.0,
Taxes Refund Paid,-7636799000.0,-7130346000.0,-7383749000.0,-9292937000.0,
Interest Received Cfo,119910827000.0,102544122000.0,102617786000.0,101166625000.0,
Interest Paid Cfo,-106027455000.0,-80755464000.0,-88961324000.0,-72121352000.0,
Change In Working Capital,-171767259000.0,-56086550000.0,-99715518000.0,-60067791000.0,
Change In Other Working Capital,64931603000.0,141565286000.0,69228100000.0,113866900000.0,
Change In Other Current Liabilities,61600252000.0,56371933000.0,25391847000.0,36223928000.0,
Change In Other Current Assets,-32916064000.0,-65848252000.0,-47499078000.0,-55230652000.0,
Other Non Cash Items,47395976000.0,42945456000.0,48795682000.0,41606495000.0,
Asset Impairment Charge,930103000.0,889156000.0,1940035000.0,-2579233000.0,
Depreciation Amortization Depletion,7063267000.0,6734480000.0,6520116000.0,5663220000.0,
Depreciation And Amortization,7063267000.0,6734480000.0,6520116000.0,5663220000.0,
Amortization Cash Flow,4617792000.0,4110451000.0,3894031000.0,3132310000.0,
Amortization Of Intangibles,4617792000.0,4110451000.0,3894031000.0,3132310000.0,
Depreciation,2445475000.0,2624029000.0,2626085000.0,2530910000.0,
Operating Gains Losses,-2105101000.0,-2449660000.0,-4375996000.0,-5575002000.0,
Earnings Losses From Equity Investments,-2162627000.0,-1531585000.0,-2101681000.0,-1355926000.0,
Gain Loss On Investment Securities,99338000.0,-1031353000.0,-1841022000.0,-2663816000.0,
Net Foreign Currency Exchange Gain Loss,88334000.0,305225000.0,-239325000.0,-892293000.0,
Gain Loss On Sale Of PPE,128824000.0,-206129000.0,-139024000.0,-12649000.0,
Gain Loss On Sale Of Business,-75760000.0,9572000.0,14350000.0,-422188000.0,
Net Income From Continuing Operations,21024584000.0,16900515000.0,10208351000.0,24621610000.0,
