,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,11126000.0,206408000.0,21382000.0,-117861000.0,24204000.0,
Repurchase Of Capital Stock,,0.0,0.0,,,0.0
Repayment Of Debt,-23855000.0,0.0,0.0,-50000000.0,-1871000.0,
Issuance Of Debt,,40607000.0,,,,0.0
Capital Expenditure,-21655000.0,,-117495000.0,-148929000.0,-22786000.0,
End Cash Position,56287000.0,45601000.0,43203000.0,58797000.0,46501000.0,
Beginning Cash Position,45601000.0,43203000.0,58797000.0,46501000.0,33317000.0,
Effect Of Exchange Rate Changes,-1314000.0,4003000.0,-8343000.0,2376000.0,-1564000.0,
Changes In Cash,12000000.0,-1605000.0,-7251000.0,9920000.0,14748000.0,
Financing Cash Flow,-60718000.0,-3567000.0,-4659000.0,-62846000.0,-49234000.0,
Interest Paid Cff,-31874000.0,-8241000.0,-30023000.0,-9762000.0,-23491000.0,
Cash Dividends Paid,-3062000.0,-34700000.0,-24957000.0,0.0,-22343000.0,
Common Stock Dividend Paid,-3062000.0,,,0.0,-22343000.0,
Net Common Stock Issuance,49000.0,0.0,0.0,0.0,0.0,
Common Stock Payments,,0.0,0.0,,,0.0
Net Issuance Payments Of Debt,-23855000.0,40607000.0,51498000.0,-50000000.0,-1871000.0,
Net Short Term Debt Issuance,-23855000.0,,0.0,0.0,-1871000.0,
Short Term Debt Payments,-23855000.0,,0.0,0.0,-1871000.0,
Net Long Term Debt Issuance,,38736000.0,51498000.0,,,0.0
Long Term Debt Payments,,-1871000.0,0.0,,,0.0
Long Term Debt Issuance,,40607000.0,,,,0.0
Investing Cash Flow,39937000.0,-71946000.0,-141469000.0,41698000.0,16992000.0,
Net Other Investing Changes,-14923000.0,,,,-32811000.0,-142708000.0
Net Investment Purchase And Sale,76515000.0,-272943000.0,-23974000.0,157816000.0,72589000.0,
Sale Of Investment,,,-23974000.0,,,
Net Business Purchase And Sale,0.0,,,,0.0,35000.0
Purchase Of Business,0.0,,,,0.0,0.0
Net Intangibles Purchase And Sale,-21655000.0,-36334000.0,-61567000.0,-36023000.0,-22786000.0,
Purchase Of Intangibles,-21655000.0,-36334000.0,-61567000.0,-36023000.0,-22786000.0,
Net PPE Purchase And Sale,,168834000.0,-55928000.0,,,
Purchase Of PPE,,168834000.0,-55928000.0,,,
Operating Cash Flow,32781000.0,73908000.0,138877000.0,31068000.0,46990000.0,
Taxes Refund Paid,-7190000.0,-30943000.0,0.0,874000.0,-8916000.0,
Change In Working Capital,-48671000.0,-9048000.0,7043000.0,-124886000.0,-87955000.0,
Change In Other Current Assets,-5942000.0,-43000.0,1044000.0,99000.0,1407000.0,
Change In Payable,-67440000.0,-11619000.0,2394000.0,12502000.0,-59782000.0,
Change In Inventory,46867000.0,-7137000.0,-44839000.0,-979000.0,-82894000.0,
Change In Receivables,-21952000.0,28662000.0,37207000.0,-126821000.0,47383000.0,
Other Non Cash Items,20403000.0,-7680000.0,6228000.0,16150000.0,17641000.0,
Provisionand Write Offof Assets,-4934000.0,1501000.0,-10520000.0,12853000.0,-34000.0,
Deferred Tax,-968000.0,-1167000.0,1426000.0,6178000.0,325000.0,
Depreciation And Amortization,18624000.0,20192000.0,16187000.0,18644000.0,14388000.0,
Depreciation,18624000.0,20192000.0,16187000.0,18644000.0,14388000.0,
Pension And Employee Benefit Expense,-862000.0,4080000.0,0.0,-686000.0,2817000.0,
Gain Loss On Investment Securities,-12040000.0,22919000.0,-6921000.0,-3642000.0,-11163000.0,
Net Foreign Currency Exchange Gain Loss,16723000.0,-18772000.0,-43957000.0,-4463000.0,6060000.0,
Net Income From Continuing Operations,52204000.0,44189000.0,138333000.0,91124000.0,114826000.0,
