,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-24618000.0,20838000.0,10531000.0,13433000.0,16197000.0,
Repurchase Of Capital Stock,0.0,0.0,1000.0,0.0,-22579000.0,
Repayment Of Debt,-111000.0,-111000.0,,,0.0,
Issuance Of Debt,21391000.0,0.0,0.0,19002000.0,0.0,
Capital Expenditure,-13277000.0,-13355000.0,-15219000.0,-14800000.0,-13237000.0,
End Cash Position,229828000.0,241156000.0,300522000.0,302792000.0,338700000.0,
Beginning Cash Position,241156000.0,300522000.0,302792000.0,338700000.0,378610000.0,
Effect Of Exchange Rate Changes,-8471000.0,10633000.0,-7738000.0,-5239000.0,-7123000.0,
Changes In Cash,-2857000.0,-69999000.0,5468000.0,-30669000.0,-32787000.0,
Financing Cash Flow,20586000.0,-129709000.0,-27420000.0,-38791000.0,-75139000.0,
Net Other Financing Charges,,,,,,-4513000.0
Cash Dividends Paid,,-129598000.0,-26570000.0,-58494000.0,-50762000.0,0.0
Common Stock Dividend Paid,0.0,-129598000.0,-26570000.0,-58494000.0,-50762000.0,
Net Common Stock Issuance,0.0,0.0,1000.0,0.0,-22579000.0,
Common Stock Payments,0.0,0.0,1000.0,0.0,-22579000.0,
Net Issuance Payments Of Debt,21280000.0,-111000.0,-58000.0,19002000.0,0.0,
Net Long Term Debt Issuance,21280000.0,-111000.0,-58000.0,19002000.0,0.0,
Long Term Debt Payments,-111000.0,-111000.0,,,0.0,
Long Term Debt Issuance,21391000.0,0.0,0.0,19002000.0,0.0,
Investing Cash Flow,-12102000.0,25517000.0,7138000.0,-20111000.0,12918000.0,
Net Investment Purchase And Sale,2612000.0,55903000.0,22357000.0,-5311000.0,26155000.0,
Sale Of Investment,2612000.0,55903000.0,22358000.0,-5312000.0,28416000.0,
Purchase Of Investment,0.0,0.0,-1000.0,1000.0,-2261000.0,
Net Business Purchase And Sale,,,,,0.0,-2129000.0
Sale Of Business,,,,,,0.0
Purchase Of Business,,,,,0.0,-2129000.0
Net PPE Purchase And Sale,-13277000.0,-13355000.0,-15219000.0,-14800000.0,-13237000.0,
Purchase Of PPE,-13277000.0,-13355000.0,-15219000.0,-14800000.0,-13237000.0,
Operating Cash Flow,-11341000.0,34193000.0,25750000.0,28233000.0,29434000.0,
Taxes Refund Paid,-17619000.0,-22605000.0,-18858000.0,-11745000.0,-7823000.0,
Interest Paid Cfo,-238000.0,-4000.0,-253000.0,-210000.0,-164000.0,
Change In Working Capital,-67223000.0,-11134000.0,-31112000.0,-27240000.0,-18129000.0,
Change In Other Current Liabilities,1154000.0,-139171000.0,158103000.0,-6493000.0,3123000.0,
Change In Other Current Assets,1877000.0,,,-4000.0,-10000.0,
Change In Payable,99673000.0,293887000.0,-66651000.0,11493000.0,54557000.0,
Change In Prepaid Assets,-2197000.0,-1320000.0,-1647000.0,-1100000.0,1149000.0,
Change In Inventory,-3321000.0,581000.0,5995000.0,36000.0,-6411000.0,
Change In Receivables,-166782000.0,-156948000.0,-138998000.0,-26858000.0,-70942000.0,
Other Non Cash Items,1690000.0,477000.0,273000.0,228000.0,66000.0,
Stock Based Compensation,2675000.0,2164000.0,4873000.0,2206000.0,1865000.0,
Provisionand Write Offof Assets,,3546000.0,3858000.0,1127000.0,1028000.0,-4489000.0
Depreciation And Amortization,19258000.0,17147000.0,17341000.0,17512000.0,17403000.0,
Depreciation,19258000.0,17147000.0,17341000.0,17512000.0,17403000.0,
Gain Loss On Investment Securities,-7807000.0,-1210000.0,-6040000.0,-6688000.0,-8654000.0,
Net Foreign Currency Exchange Gain Loss,,,,,0.0,
Gain Loss On Sale Of PPE,23000.0,,,0.0,0.0,
Net Income From Continuing Operations,57860000.0,45837000.0,55680000.0,52043000.0,44894000.0,
