,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,4224891.0,-1154279.0,-2677873.0,16472904.0
Tax Rate For Calcs,0.187,0.269,0.341,0.372
Normalized EBITDA,246532000.0,236110000.0,203319000.0,166890000.0
Total Unusual Items,22593000.0,-4291000.0,-7853000.0,44282000.0
Total Unusual Items Excluding Goodwill,22593000.0,-4291000.0,-7853000.0,44282000.0
Net Income From Continuing Operation Net Minority Interest,156660000.0,119467000.0,86600000.0,85566000.0
Reconciled Depreciation,69403000.0,66625000.0,58652000.0,63540000.0
Reconciled Cost Of Revenue,1259622000.0,1153457000.0,997409000.0,1158813000.0
EBITDA,269125000.0,231819000.0,195466000.0,211172000.0
EBIT,199722000.0,165194000.0,136814000.0,147632000.0
Net Interest Income,-813000.0,-1547000.0,-5277000.0,-14560000.0
Interest Expense,1268000.0,904000.0,4911000.0,11402000.0
Interest Income,7847000.0,5950000.0,4231000.0,2897000.0
Normalized Income,138291891.0,122603721.0,91775127.0,57756904.0
Net Income From Continuing And Discontinued Operation,156660000.0,119467000.0,86600000.0,85566000.0
Total Expenses,1556083000.0,1380853000.0,1214982000.0,1377143000.0
Rent Expense Supplemental,2909000.0,2932000.0,4202000.0,4874000.0
Total Operating Income As Reported,143651000.0,120024000.0,94832000.0,98681000.0
Diluted Average Shares,84668000.0,86093000.0,86786000.0,87692000.0
Basic Average Shares,84373000.0,85911000.0,86786000.0,87692000.0
Diluted EPS,1.85,1.39,0.997857,0.98
Basic EPS,1.86,1.39,0.997857,0.98
Diluted NI Availto Com Stockholders,156660000.0,119467000.0,86600000.0,85566000.0
Net Income Common Stockholders,156660000.0,119467000.0,86600000.0,85566000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,156660000.0,119467000.0,86600000.0,85566000.0
Minority Interests,-4602000.0,-696000.0,-289000.0,0.0
Net Income Including Noncontrolling Interests,161262000.0,120163000.0,86889000.0,85566000.0
Net Income Continuous Operations,161262000.0,120163000.0,86889000.0,85566000.0
Tax Provision,37192000.0,44127000.0,45014000.0,50664000.0
Pretax Income,198454000.0,164290000.0,131903000.0,136230000.0
Net Non Operating Interest Income Expense,-813000.0,-1547000.0,-5277000.0,-14560000.0
Total Other Finance Cost,7392000.0,6593000.0,4597000.0,6055000.0
Interest Expense Non Operating,1268000.0,904000.0,4911000.0,11402000.0
Interest Income Non Operating,7847000.0,5950000.0,4231000.0,2897000.0
Operating Income,140324000.0,117212000.0,92862000.0,98681000.0
Operating Expense,296461000.0,227396000.0,217573000.0,218330000.0
Other Operating Expenses,3229000.0,2798000.0,1970000.0,2491000.0
Depreciation And Amortization In Income Statement,17179000.0,18544000.0,14620000.0,19811000.0
Depreciation Income Statement,17179000.0,18544000.0,14620000.0,19811000.0
Selling General And Administration,124992000.0,90727000.0,93715000.0,87584000.0
General And Administrative Expense,124992000.0,90727000.0,93715000.0,87584000.0
Rent And Landing Fees,2909000.0,2932000.0,4202000.0,4874000.0
Gross Profit,436785000.0,344608000.0,310435000.0,317011000.0
Cost Of Revenue,1259622000.0,1153457000.0,997409000.0,1158813000.0
Total Revenue,1696407000.0,1498065000.0,1307844000.0,1475824000.0
Operating Revenue,1696407000.0,1498065000.0,1307844000.0,1475824000.0
