,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-26533279000.0,2287129000.0,-19198745000.0,20327813000.0,
Repurchase Of Capital Stock,-109771000.0,-101531000.0,-301176000.0,-231252000.0,
Repayment Of Debt,,-2400505000.0,,,
Issuance Of Debt,15754521000.0,31824379000.0,17486205000.0,10646501000.0,
Issuance Of Capital Stock,,,,0.0,5797288000.0
Capital Expenditure,-1864079000.0,-647524000.0,-534173000.0,-1573628000.0,
End Cash Position,89033044000.0,102525846000.0,72878828000.0,76556439000.0,
Other Cash Adjustment Outside Changein Cash,1000.0,,-1000.0,,
Beginning Cash Position,102525847000.0,72878828000.0,76556439000.0,47434579000.0,
Effect Of Exchange Rate Changes,889275000.0,-373895000.0,-101835000.0,55676000.0,
Changes In Cash,-14382079000.0,30020913000.0,-3575776000.0,29066184000.0,
Financing Cash Flow,11853665000.0,27749099000.0,14653786000.0,7682271000.0,
Net Other Financing Charges,286290000.0,1421756000.0,313757000.0,-707978000.0,
Interest Paid Cff,,,-2845000000.0,-2025000000.0,-1746000000.0
Cash Dividends Paid,-4019818000.0,-2995000000.0,-2845000000.0,-2025000000.0,
Common Stock Dividend Paid,-4019818000.0,-2995000000.0,-2845000000.0,-2025000000.0,
Net Common Stock Issuance,-109771000.0,-101531000.0,-301176000.0,-231252000.0,
Common Stock Payments,-109771000.0,-101531000.0,-301176000.0,-231252000.0,
Common Stock Issuance,,,,0.0,5797288000.0
Net Issuance Payments Of Debt,15754521000.0,29423874000.0,17486205000.0,10646501000.0,
Net Long Term Debt Issuance,15754521000.0,29423874000.0,17486205000.0,10646501000.0,
Long Term Debt Payments,,-2400505000.0,,,
Long Term Debt Issuance,15754521000.0,31824379000.0,17486205000.0,10646501000.0,
Investing Cash Flow,-1566544000.0,-662839000.0,435010000.0,-517528000.0,
Dividends Received Cfi,664230000.0,405441000.0,821140000.0,1676737000.0,
Net Investment Purchase And Sale,-366695000.0,51636000.0,-116228000.0,-161419000.0,
Purchase Of Investment,,,,-161419000.0,-388000.0
Net Business Purchase And Sale,,-472392000.0,264271000.0,-459218000.0,-178303000.0
Purchase Of Business,,0.0,-51642000.0,-1526092000.0,
Net Intangibles Purchase And Sale,-1600686000.0,-402070000.0,-395999000.0,-1296452000.0,
Net PPE Purchase And Sale,-263393000.0,-245454000.0,-138174000.0,-277176000.0,
Operating Cash Flow,-24669200000.0,2934653000.0,-18664572000.0,21901441000.0,
Change In Working Capital,-47886178000.0,-15527259000.0,-33190376000.0,8321721000.0,
Change In Other Current Liabilities,26659669000.0,72724274000.0,-21983391000.0,36145507000.0,
Change In Other Current Assets,-9298200000.0,307418000.0,-709669000.0,268593000.0,
Change In Receivables,,-65034768000.0,25577164000.0,-30119789000.0,-10119871000.0
Other Non Cash Items,2664950000.0,2334071000.0,1579920000.0,907320000.0,
Provisionand Write Offof Assets,6548195000.0,4104768000.0,2970924000.0,4765034000.0,
Deferred Tax,-2401839000.0,,,677193000.0,1191161000.0
Depreciation And Amortization,1142251000.0,1128129000.0,990460000.0,833666000.0,
Depreciation,1142251000.0,1128129000.0,990460000.0,833666000.0,
Net Foreign Currency Exchange Gain Loss,-871461000.0,496040000.0,101669000.0,-19700000.0,
Net Income From Continuing Operations,15947050000.0,11789387000.0,9924566000.0,7841837000.0,
