,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.119217,0.133458,0.109778,0.133099
Total Unusual Items,0.0,,,
Total Unusual Items Excluding Goodwill,0.0,,,
Net Income From Continuing Operation Net Minority Interest,15947050000.0,11789387000.0,9924566000.0,7841837000.0
Reconciled Depreciation,1142251000.0,1128129000.0,990460000.0,833666000.0
Net Interest Income,30674068000.0,23596321000.0,21421049000.0,19762340000.0
Interest Expense,64672341000.0,42362998000.0,48322361000.0,50000966000.0
Interest Income,95346409000.0,65959319000.0,69743410000.0,69763306000.0
Normalized Income,15947050000.0,11789387000.0,9924566000.0,7841837000.0
Net Income From Continuing And Discontinued Operation,15947050000.0,11789387000.0,9924566000.0,7841837000.0
Diluted NI Availto Com Stockholders,15947050000.0,11789387000.0,9924566000.0,7841837000.0
Net Income Common Stockholders,15947050000.0,11789387000.0,9924566000.0,7841837000.0
Net Income,15947050000.0,11789387000.0,9924566000.0,7841837000.0
Minority Interests,-813255000.0,-491934000.0,-401639000.0,-398470000.0
Net Income Including Noncontrolling Interests,16760305000.0,12281321000.0,10326205000.0,8240307000.0
Net Income Continuous Operations,16760305000.0,12281321000.0,10326205000.0,8240307000.0
Tax Provision,2775311000.0,2324052000.0,1590849000.0,1581338000.0
Pretax Income,23279510000.0,17414151000.0,14491458000.0,11880929000.0
Other Non Operating Income Expenses,15941000.0,6102000.0,-22307000.0,245303000.0
Special Income Charges,0.0,,,
Gain On Sale Of Security,4268466000.0,2110116000.0,1904247000.0,1642363000.0
Operating Expense,23648545000.0,19257603000.0,16591395000.0,13772281000.0
Other Operating Expenses,8685402000.0,5683972000.0,4838441000.0,3610341000.0
Depreciation And Amortization In Income Statement,1142251000.0,1128129000.0,990460000.0,833666000.0
Amortization,0.0,0.0,0.0,0.0
Depreciation Income Statement,1142251000.0,1128129000.0,990460000.0,833666000.0
Selling General And Administration,9614120000.0,8491428000.0,7270458000.0,6164998000.0
Selling And Marketing Expense,622781000.0,600948000.0,667268000.0,666627000.0
General And Administrative Expense,8991339000.0,7890480000.0,6603190000.0,5498371000.0
Rent And Landing Fees,299891000.0,278936000.0,262762000.0,225320000.0
Total Revenue,51966892000.0,37783193000.0,32229615000.0,29400308000.0
Operating Revenue,51966892000.0,37783193000.0,32229615000.0,29400308000.0
