,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,542715000.0,7279000.0,238062000.0,1406000.0,423268000.0,
End Cash Position,256000000.0,18402000.0,532025000.0,294061000.0,711201000.0,
Beginning Cash Position,18402000.0,532025000.0,294061000.0,711201000.0,287950000.0,
Changes In Cash,237598000.0,-513623000.0,237964000.0,-417140000.0,423251000.0,
Financing Cash Flow,-305117000.0,-520902000.0,-98000.0,-418546000.0,-17000.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,0.0,
Interest Paid Cff,-305117000.0,,-98000.0,-418546000.0,-17000.0,
Cash Dividends Paid,0.0,-939563000.0,0.0,0.0,0.0,
Common Stock Dividend Paid,0.0,-939563000.0,0.0,0.0,0.0,
Investing Cash Flow,,0.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Purchase Of PPE,,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,542715000.0,7279000.0,238062000.0,1406000.0,423268000.0,
Taxes Refund Paid,0.0,-24685000.0,-28922000.0,-669000.0,-263000.0,
Interest Received Cfo,546640000.0,0.0,263177000.0,0.0,422157000.0,
Change In Working Capital,-2037000.0,52434000.0,34301000.0,-3666000.0,-523000.0,
Change In Other Current Liabilities,-274000.0,1420000.0,-2050000.0,507000.0,-714000.0,
Change In Other Current Assets,-1763000.0,51014000.0,36351000.0,-4173000.0,191000.0,
Other Non Cash Items,-555394000.0,721481000.0,-546702000.0,-448483000.0,-316615000.0,
Net Income From Continuing Operations,553506000.0,-741951000.0,516208000.0,454224000.0,318512000.0,
