,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.34
Net Income From Continuing Operation Net Minority Interest,546993000.0,1192208000.0,1896619000.0,3727675000.0
Net Interest Income,19579000.0,15327000.0,12668000.0,21862000.0
Interest Expense,530000.0,528000.0,528000.0,583000.0
Interest Income,20109000.0,15855000.0,13196000.0,22445000.0
Normalized Income,546993000.0,1192208000.0,1896619000.0,3727675000.0
Net Income From Continuing And Discontinued Operation,546993000.0,1192208000.0,1896619000.0,3727675000.0
Diluted Average Shares,418606413.0,418607950.0,418679691.0,418607067.0
Basic Average Shares,418606413.0,418607950.0,418679691.0,418607067.0
Diluted EPS,1.3067,2.84803,4.53,8.90495
Basic EPS,1.3067,2.84803,4.53,8.90495
Diluted NI Availto Com Stockholders,546993000.0,1192208000.0,1896619000.0,3727675000.0
Net Income Common Stockholders,546993000.0,1192208000.0,1896619000.0,3727675000.0
Net Income,546993000.0,1192208000.0,1896619000.0,3727675000.0
Net Income Including Noncontrolling Interests,546993000.0,1192208000.0,1896619000.0,3727675000.0
Net Income Continuous Operations,546993000.0,1192208000.0,1896619000.0,3727675000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,546993000.0,1192208000.0,1896619000.0,3727675000.0
Operating Expense,99356000.0,69109000.0,65247000.0,51947000.0
Other Operating Expenses,64815000.0,42823000.0,43833000.0,31502000.0
Selling General And Administration,34541000.0,26286000.0,21414000.0,20445000.0
General And Administrative Expense,34541000.0,26286000.0,21414000.0,20445000.0
Total Revenue,646349000.0,1261317000.0,1961866000.0,3779622000.0
Operating Revenue,646349000.0,1261317000.0,1961866000.0,3779622000.0
