,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,3997360000.0,1050490000.0,-4335209000.0,-1461673000.0,
Repurchase Of Capital Stock,,-167399000.0,0.0,0.0,
Repayment Of Debt,-4120596000.0,-3929463000.0,-122773000.0,-3052000.0,
Issuance Of Debt,3165854000.0,3884350000.0,8854087000.0,1000000000.0,
Issuance Of Capital Stock,193330000.0,7336000.0,901377000.0,13790000.0,
Capital Expenditure,-874614000.0,-803570000.0,-5343907000.0,-1551978000.0,
End Cash Position,889391000.0,3171958000.0,1754106000.0,800442000.0,
Beginning Cash Position,3171958000.0,1754106000.0,800442000.0,118725000.0,
Effect Of Exchange Rate Changes,915000.0,45168000.0,-127566000.0,-8878000.0,
Changes In Cash,-2283482000.0,1372684000.0,1081230000.0,690595000.0,
Financing Cash Flow,-1721847000.0,-1456986000.0,8691277000.0,957331000.0,
Net Other Financing Charges,1352197000.0,79328000.0,-307356000.0,-19274000.0,
Interest Paid Cff,-1707904000.0,-1086380000.0,-614031000.0,-26906000.0,
Cash Dividends Paid,,-94531000.0,,,
Net Common Stock Issuance,193330000.0,-160063000.0,901377000.0,13790000.0,
Common Stock Payments,,-167399000.0,0.0,0.0,
Common Stock Issuance,193330000.0,7336000.0,901377000.0,13790000.0,
Net Issuance Payments Of Debt,-954742000.0,-45113000.0,8731314000.0,996948000.0,
Net Long Term Debt Issuance,-954742000.0,-45113000.0,8731314000.0,996948000.0,
Long Term Debt Payments,-4120596000.0,-3929463000.0,-122773000.0,-3052000.0,
Long Term Debt Issuance,3165854000.0,3884350000.0,8854087000.0,1000000000.0,
Investing Cash Flow,-5433609000.0,975610000.0,-8618745000.0,-357041000.0,
Net Other Investing Changes,-2802775000.0,-2662658000.0,-1098025000.0,-454683000.0,
Interest Received Cfi,0.0,0.0,0.0,0.0,
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,-2065158000.0,2753185000.0,-2176813000.0,2241569000.0,
Sale Of Investment,0.0,2753185000.0,,,
Purchase Of Investment,-2065158000.0,,,,-1913198000.0
Net Business Purchase And Sale,-26314000.0,0.0,,0.0,0.0
Purchase Of Business,-26314000.0,0.0,,0.0,0.0
Net Intangibles Purchase And Sale,-85987000.0,-330105000.0,-35551000.0,-1316216000.0,
Purchase Of Intangibles,-85987000.0,-330105000.0,-35551000.0,-1316216000.0,
Net PPE Purchase And Sale,-453375000.0,1222201000.0,-5308356000.0,-235762000.0,
Sale Of PPE,335252000.0,1695666000.0,0.0,0.0,
Purchase Of PPE,-788627000.0,-473465000.0,-5308356000.0,-235762000.0,
Operating Cash Flow,4871974000.0,1854060000.0,1008698000.0,90305000.0,
Taxes Refund Paid,-242692000.0,-243434000.0,-209388000.0,-86741000.0,
Change In Working Capital,41780000.0,-774534000.0,-554087000.0,-448474000.0,
Change In Other Current Liabilities,158714000.0,19837000.0,-108094000.0,64930000.0,
Change In Other Current Assets,-441545000.0,174877000.0,-3916000.0,-337595000.0,
Change In Accrued Expense,-5787000.0,16006000.0,47886000.0,39518000.0,
Change In Payable,-734359000.0,311853000.0,302190000.0,193059000.0,
Change In Prepaid Assets,-148019000.0,-403388000.0,-65882000.0,-308180000.0,
Change In Inventory,24944000.0,-185378000.0,-580177000.0,-113217000.0,
Change In Receivables,1187832000.0,-708341000.0,-146094000.0,13011000.0,
Other Non Cash Items,2068423000.0,1758004000.0,1002687000.0,125262000.0,
Stock Based Compensation,11553000.0,-16066000.0,21002000.0,33793000.0,
Provisionand Write Offof Assets,523798000.0,-232527000.0,68921000.0,23097000.0,
Deferred Tax,42221000.0,-420102000.0,-43809000.0,-428590000.0,
Depreciation And Amortization,2435759000.0,1246205000.0,620100000.0,279302000.0,
Amortization Cash Flow,731515000.0,525325000.0,328522000.0,158741000.0,
Depreciation,1704244000.0,720880000.0,620100000.0,279302000.0,
Gain Loss On Investment Securities,-1681216000.0,328556000.0,-276170000.0,353808000.0,
Net Foreign Currency Exchange Gain Loss,-886082000.0,1096603000.0,-88667000.0,-13349000.0,
Net Income From Continuing Operations,1411225000.0,-909691000.0,425215000.0,127716000.0,
