,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,30363618.764646,-86378202.505202,-54727120.0,-41928120.0,
Tax Rate For Calcs,0.029049,0.315915,0.28,0.34,
Normalized EBITDA,4929552000.0,1406624000.0,2103524000.0,993494000.0,
Total Unusual Items,1045259000.0,-273422000.0,-195454000.0,-123318000.0,
Total Unusual Items Excluding Goodwill,1045259000.0,-273422000.0,-195454000.0,-123318000.0,
Net Income From Continuing Operation Net Minority Interest,1411225000.0,-909691000.0,405234000.0,149569000.0,
Reconciled Depreciation,2435759000.0,1246205000.0,620100000.0,279302000.0,
Reconciled Cost Of Revenue,8520457000.0,6397784000.0,3862029000.0,835544000.0,
EBITDA,5974811000.0,1133202000.0,1908070000.0,870176000.0,
EBIT,3539052000.0,-113003000.0,1287970000.0,590874000.0,
Net Interest Income,-3337343000.0,-2251938000.0,-903414000.0,-485190000.0,
Interest Expense,2085606000.0,1216790000.0,697176000.0,805007000.0,
Interest Income,84537000.0,71619000.0,82300000.0,319817000.0,
Normalized Income,396329618.764646,-722647202.505202,545960880.0,230958880.0,
Net Income From Continuing And Discontinued Operation,1411225000.0,-909691000.0,405234000.0,149569000.0,
Total Expenses,9396315000.0,6939591000.0,4279170000.0,1328047000.0,
Rent Expense Supplemental,82926000.0,76287000.0,48489000.0,29164000.0,
Diluted Average Shares,466606060.0,334547956.0,227217452.0,204479315.0,
Basic Average Shares,464241700.0,334547956.0,223804059.0,202651341.0,
Diluted EPS,3.02,-2.72,1.78,0.73,
Basic EPS,3.04,-2.72,1.81,0.74,
Diluted NI Availto Com Stockholders,1411225000.0,-909691000.0,405234000.0,149569000.0,
Net Income Common Stockholders,1411225000.0,-909691000.0,405234000.0,149569000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1411225000.0,-909691000.0,405234000.0,149569000.0,
Minority Interests,,0.0,-19981000.0,21853000.0,-16896000.0
Net Income Including Noncontrolling Interests,1411225000.0,-909691000.0,425215000.0,127716000.0,
Net Income Continuous Operations,1411225000.0,-909691000.0,425215000.0,127716000.0,
Tax Provision,42221000.0,-420102000.0,165579000.0,-341849000.0,
Pretax Income,1453446000.0,-1329793000.0,590794000.0,-214133000.0,
Special Income Charges,-155089000.0,517511000.0,-216826000.0,-123318000.0,
Other Special Charges,-13165000.0,-720450000.0,-17000.0,-92000.0,
Write Off,0.0,28705000.0,42752000.0,123318000.0,
Restructuring And Mergern Acquisition,168254000.0,174234000.0,174091000.0,203273000.0,
Net Non Operating Interest Income Expense,-3337343000.0,-2251938000.0,-903414000.0,-485190000.0,
Total Other Finance Cost,1336274000.0,1106767000.0,288538000.0,159000.0,
Interest Expense Non Operating,2085606000.0,1216790000.0,697176000.0,805007000.0,
Interest Income Non Operating,84537000.0,71619000.0,82300000.0,319817000.0,
Operating Income,2226676000.0,1786770000.0,1340819000.0,394375000.0,
Operating Expense,875858000.0,541807000.0,417141000.0,492503000.0,
Other Operating Expenses,364697000.0,15785000.0,37938000.0,153500000.0,
Depreciation And Amortization In Income Statement,64700000.0,41218000.0,68605000.0,30555000.0,
Depreciation Income Statement,64700000.0,41218000.0,68605000.0,30555000.0,
Selling General And Administration,221599000.0,159634000.0,126008000.0,339003000.0,
General And Administrative Expense,221599000.0,159634000.0,126008000.0,339003000.0,
Rent And Landing Fees,,230603000.0,0.0,,1171000.0
Gross Profit,3102534000.0,2328577000.0,1757960000.0,886878000.0,
Cost Of Revenue,8520457000.0,6397784000.0,3862029000.0,835544000.0,
Total Revenue,11622991000.0,8726361000.0,5619989000.0,1722422000.0,
Operating Revenue,11622991000.0,8726361000.0,5619989000.0,1722422000.0,
