,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-521206000.0,-163125086.905942,106674320.0,228212762.447421,86797721.636249,
Tax Rate For Calcs,0.4,0.325745,,0.314593,0.339197,0.363702
Normalized EBITDA,2027789000.0,913507000.0,526449000.0,1980355000.0,1851407000.0,
Total Unusual Items,-1303015000.0,-500775000.0,313748000.0,725422000.0,255892000.0,
Total Unusual Items Excluding Goodwill,-1303015000.0,-500775000.0,313748000.0,725422000.0,255892000.0,
Net Income From Continuing Operation Net Minority Interest,-349686000.0,-587702000.0,,1049055000.0,829174000.0,-1028148000.0
Reconciled Depreciation,748047000.0,729672000.0,,549041000.0,462054000.0,225868000.0
Reconciled Cost Of Revenue,2002173000.0,2338740000.0,,2076033000.0,1943860000.0,1514032000.0
EBITDA,724774000.0,412732000.0,,2705777000.0,2107299000.0,-82601000.0
EBIT,-23273000.0,-316940000.0,,2156736000.0,1645245000.0,-308469000.0
Net Interest Income,-678585000.0,-630243000.0,,-611217000.0,-367347000.0,-2151360000.0
Interest Expense,602553000.0,554692000.0,,626178000.0,390448000.0,1307359000.0
Interest Income,0.0,0.0,,35434000.0,35528000.0,71619000.0
Normalized Income,432123000.0,-250052086.905942,-86375680.0,551845762.447421,660079721.636249,
Net Income From Continuing And Discontinued Operation,-349686000.0,-587702000.0,,1049055000.0,829174000.0,-1028148000.0
Total Expenses,2244985000.0,2224658000.0,,2245119000.0,2254530000.0,2411372000.0
Rent Expense Supplemental,20542000.0,21231000.0,,18116000.0,25379000.0,20883000.0
Diluted Average Shares,467742628.0,,,466545456.0,466544888.0,
Basic Average Shares,464557268.0,,,464181096.0,464180528.0,
Diluted EPS,-0.75,,,2.26,1.78,
Basic EPS,-0.75,,,2.26,1.79,
Diluted NI Availto Com Stockholders,-349686000.0,-587702000.0,,1049055000.0,829174000.0,-1028148000.0
Net Income Common Stockholders,-349686000.0,-587702000.0,,1049055000.0,829174000.0,-1028148000.0
Otherunder Preferred Stock Dividend,0.0,0.0,,0.0,0.0,0.0
Net Income,-349686000.0,-587702000.0,,1049055000.0,829174000.0,-1028148000.0
Minority Interests,,,,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,-349686000.0,-587702000.0,,1049055000.0,829174000.0,-1028148000.0
Net Income Continuous Operations,-349686000.0,-587702000.0,,1049055000.0,829174000.0,-1028148000.0
Tax Provision,-276140000.0,-283930000.0,,481503000.0,425623000.0,-587680000.0
Pretax Income,-625826000.0,-871632000.0,,1530558000.0,1254797000.0,-1615828000.0
Special Income Charges,-25476000.0,-355844000.0,,-14494000.0,-59232000.0,678539000.0
Other Special Charges,,284377000.0,,,,
Write Off,,,,,,28705000.0
Restructuring And Mergern Acquisition,25476000.0,71467000.0,,14494000.0,59232000.0,13206000.0
Net Non Operating Interest Income Expense,-678585000.0,-630243000.0,,-611217000.0,-367347000.0,-2151360000.0
Total Other Finance Cost,76032000.0,75551000.0,,20473000.0,12427000.0,915620000.0
Interest Expense Non Operating,602553000.0,554692000.0,,626178000.0,390448000.0,1307359000.0
Interest Income Non Operating,0.0,0.0,,35434000.0,35528000.0,71619000.0
Operating Income,890071000.0,323004000.0,,897252000.0,619789000.0,-461615000.0
Operating Expense,242812000.0,-114082000.0,,169086000.0,310670000.0,897340000.0
Other Operating Expenses,170479000.0,-237961000.0,318190000.0,50267000.0,162806000.0,
Depreciation And Amortization In Income Statement,18478000.0,18199000.0,,14925000.0,14697000.0,11679000.0
Depreciation Income Statement,18478000.0,18199000.0,,14925000.0,14697000.0,11679000.0
Selling General And Administration,46854000.0,62511000.0,,35082000.0,47279000.0,29033000.0
Selling And Marketing Expense,19746000.0,,,,,
General And Administrative Expense,27108000.0,62511000.0,,35082000.0,47279000.0,29033000.0
Gross Profit,1132883000.0,208922000.0,,1066338000.0,930459000.0,435725000.0
Cost Of Revenue,2002173000.0,2338740000.0,,2076033000.0,1943860000.0,1514032000.0
Total Revenue,3135056000.0,2547662000.0,,3142371000.0,2874319000.0,1949757000.0
Operating Revenue,3135056000.0,2547662000.0,,3142371000.0,2874319000.0,1949757000.0
