,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,111680000.0,-13229000.0,-330824000.0,109631000.0,-74701000.0,,
Repayment Of Debt,-1932000.0,-1931000.0,-197332000.0,-4081000.0,-3000.0,,
Capital Expenditure,,-2972000.0,,-268000.0,-391000.0,-468000.0,
Interest Paid Supplemental Data,620480000.0,490520000.0,498321000.0,52550000.0,441130000.0,,
End Cash Position,195789000.0,118420000.0,137792000.0,516143000.0,450544000.0,,
Beginning Cash Position,118420000.0,137792000.0,516143000.0,450544000.0,549479000.0,,
Effect Of Exchange Rate Changes,-3336000.0,11354000.0,15495000.0,12074000.0,-4084000.0,,
Changes In Cash,80705000.0,-30726000.0,-393846000.0,53525000.0,-94851000.0,,
Financing Cash Flow,-30975000.0,-17497000.0,-63022000.0,-56112000.0,-20150000.0,,
Cash Flow From Continuing Financing Activities,-30975000.0,-17497000.0,-63022000.0,-56112000.0,-20150000.0,,
Net Other Financing Charges,,,50100000.0,20100000.0,34500000.0,89700000.0,0.0
Interest Paid Cff,-10144000.0,-15566000.0,-4336000.0,-34333000.0,-3899000.0,,
Cash Dividends Paid,-18899000.0,0.0,88546000.0,-37798000.0,-50748000.0,,
Net Issuance Payments Of Debt,-1932000.0,-1931000.0,-197332000.0,-4081000.0,-3000.0,,
Net Long Term Debt Issuance,-1932000.0,-1931000.0,-197332000.0,-4081000.0,-3000.0,,
Long Term Debt Payments,-1932000.0,-1931000.0,-197332000.0,-4081000.0,-3000.0,,
Investing Cash Flow,1624000.0,-2972000.0,555000.0,-262000.0,-391000.0,,
Cash Flow From Continuing Investing Activities,1624000.0,-2972000.0,555000.0,-262000.0,-391000.0,,
Dividends Received Cfi,0.0,0.0,0.0,0.0,0.0,,
Net Business Purchase And Sale,0.0,0.0,0.0,6000.0,0.0,,
Purchase Of Business,0.0,0.0,0.0,6000.0,0.0,,
Net PPE Purchase And Sale,1624000.0,-2972000.0,555000.0,-268000.0,-391000.0,,
Purchase Of PPE,1624000.0,-2972000.0,555000.0,-268000.0,-391000.0,,
Operating Cash Flow,110056000.0,-10257000.0,-331379000.0,109899000.0,-74310000.0,,
Cash Flow From Continuing Operating Activities,110056000.0,-10257000.0,-331379000.0,109899000.0,-74310000.0,,
Taxes Refund Paid,-5908000.0,-4896000.0,-4705000.0,-10294000.0,-3140000.0,,
Change In Working Capital,-13179000.0,85000.0,-384592000.0,37623000.0,-196369000.0,,
Change In Other Working Capital,-157884000.0,-385960000.0,-303849000.0,-331725000.0,-228392000.0,,
Change In Other Current Liabilities,324901000.0,998699000.0,728460000.0,1926140000.0,33384000.0,,
Change In Other Current Assets,-157880000.0,-639755000.0,-943634000.0,-1546224000.0,-116556000.0,,
Change In Payables And Accrued Expense,744000.0,1890000.0,13254000.0,-374000.0,-9986000.0,,
Change In Payable,744000.0,1890000.0,13254000.0,-374000.0,-9986000.0,,
Change In Account Payable,407000.0,-7879000.0,8554000.0,-105000.0,-13776000.0,,
Change In Tax Payable,4787000.0,-1859000.0,7972000.0,6287000.0,11398000.0,,
Change In Income Tax Payable,4787000.0,-1859000.0,7972000.0,6287000.0,11398000.0,,
Change In Receivables,-23060000.0,25211000.0,121177000.0,-10194000.0,125181000.0,,
Other Non Cash Items,83726000.0,-27913000.0,27632000.0,18451000.0,65772000.0,,
Provisionand Write Offof Assets,-80000.0,85000.0,-433000.0,37000.0,16000.0,,
Asset Impairment Charge,1403000.0,821000.0,821000.0,12834000.0,-1052000.0,,
Deferred Tax,3113000.0,-7336000.0,-2630000.0,18649000.0,8773000.0,,
Deferred Income Tax,3113000.0,-7336000.0,-2630000.0,18649000.0,8773000.0,,
Depreciation Amortization Depletion,2558000.0,2537000.0,3489000.0,2449000.0,2414000.0,,
Depreciation And Amortization,2558000.0,2537000.0,3489000.0,2449000.0,2414000.0,,
Operating Gains Losses,3336000.0,-11354000.0,-15495000.0,-12074000.0,4084000.0,,
Earnings Losses From Equity Investments,0.0,0.0,0.0,0.0,0.0,,
Net Foreign Currency Exchange Gain Loss,3336000.0,-11354000.0,-15495000.0,-12074000.0,4084000.0,,
Net Income From Continuing Operations,35087000.0,37714000.0,44534000.0,42224000.0,45192000.0,,
