,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.247487,0.191121,0.225467,0.366545
Normalized EBITDA,243488000.0,246939000.0,206956000.0,236678000.0
Net Income From Continuing Operation Net Minority Interest,175073000.0,193670000.0,155084000.0,147101000.0
Reconciled Depreciation,10837000.0,7509000.0,6727000.0,4458000.0
Reconciled Cost Of Revenue,12022894000.0,6977115000.0,6243390000.0,3349990000.0
EBITDA,243488000.0,246939000.0,206956000.0,236678000.0
EBIT,232651000.0,239430000.0,200229000.0,232220000.0
Normalized Income,175073000.0,193670000.0,155084000.0,147101000.0
Net Income From Continuing And Discontinued Operation,175073000.0,193670000.0,155084000.0,147101000.0
Total Expenses,12195096000.0,7175003000.0,6356474000.0,3445995000.0
Rent Expense Supplemental,3933000.0,4457000.0,3805000.0,3126000.0
Diluted NI Availto Com Stockholders,175073000.0,193670000.0,155084000.0,147101000.0
Net Income Common Stockholders,175073000.0,193670000.0,155084000.0,147101000.0
Net Income,175073000.0,193670000.0,155084000.0,147101000.0
Net Income Including Noncontrolling Interests,175073000.0,193670000.0,155084000.0,147101000.0
Net Income Continuous Operations,175073000.0,193670000.0,155084000.0,147101000.0
Tax Provision,57578000.0,45760000.0,45145000.0,85119000.0
Pretax Income,232651000.0,239430000.0,200229000.0,232220000.0
Earnings From Equity Interest,0.0,,,
Operating Income,232651000.0,239430000.0,200229000.0,232220000.0
Operating Expense,172202000.0,197888000.0,113084000.0,96005000.0
Other Operating Expenses,-1306000.0,1823000.0,2844000.0,3900000.0
Other Taxes,47845000.0,48012000.0,40062000.0,40809000.0
Provision For Doubtful Accounts,13124000.0,14355000.0,1490000.0,-249000.0
Depreciation Amortization Depletion Income Statement,10837000.0,7509000.0,6727000.0,4458000.0
Depreciation And Amortization In Income Statement,10837000.0,7509000.0,6727000.0,4458000.0
Selling General And Administration,101702000.0,126189000.0,61961000.0,47087000.0
Selling And Marketing Expense,3206000.0,2472000.0,1624000.0,3163000.0
General And Administrative Expense,98496000.0,123717000.0,60337000.0,43924000.0
Other Gand A,94563000.0,119260000.0,56532000.0,40561000.0
Insurance And Claims,,255000.0,299000.0,237000.0
Rent And Landing Fees,3933000.0,4457000.0,3805000.0,3126000.0
Gross Profit,404853000.0,437318000.0,313313000.0,328225000.0
Cost Of Revenue,12022894000.0,6977115000.0,6243390000.0,3349990000.0
Total Revenue,12427747000.0,7414433000.0,6556703000.0,3678215000.0
Operating Revenue,12427747000.0,7414433000.0,6556703000.0,3678215000.0
