,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,4964511.086219,0.0,
Tax Rate For Calcs,0.148422,0.04357,0.0728,0.34,
Total Unusual Items,,0.0,68194000.0,103832000.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,68194000.0,103832000.0,0.0
Net Income From Continuing Operation Net Minority Interest,1713913000.0,727253000.0,1122285000.0,898445000.0,
Reconciled Depreciation,407380000.0,408977000.0,370821000.0,353191000.0,
Net Interest Income,6379949000.0,5347624000.0,5512722000.0,5237093000.0,
Interest Expense,15349812000.0,10895458000.0,10245338000.0,8323715000.0,
Interest Income,21729761000.0,16243082000.0,15758060000.0,13560808000.0,
Normalized Income,1713913000.0,727253000.0,1059055511.086219,898445000.0,
Net Income From Continuing And Discontinued Operation,1713913000.0,727253000.0,1122285000.0,898445000.0,
Diluted Average Shares,408974477.0,408974477.0,408510350.0,408974477.0,
Basic Average Shares,408974477.0,408974477.0,408510350.0,408974477.0,
Diluted EPS,4.19,1.78,2.13,1.75,
Basic EPS,4.19,1.78,2.13,1.75,
Diluted NI Availto Com Stockholders,1713913000.0,727253000.0,870104000.0,714934000.0,
Net Income Common Stockholders,1713913000.0,727253000.0,870104000.0,714934000.0,
Net Income,1713913000.0,727253000.0,870104000.0,714934000.0,
Minority Interests,-638000.0,-545000.0,-980000.0,-419000.0,
Net Income Including Noncontrolling Interests,1714551000.0,727798000.0,871084000.0,715353000.0,
Net Income Extraordinary,,-244318000.0,-252181000.0,-183511000.0,-125616000.0
Net Income Continuous Operations,1714551000.0,727798000.0,1123265000.0,898864000.0,
Tax Provision,298830000.0,33155000.0,88194000.0,-131094000.0,
Pretax Income,2013381000.0,760953000.0,1211459000.0,767770000.0,
Special Income Charges,,0.0,68194000.0,103832000.0,0.0
Other Special Charges,,,-68194000.0,-103832000.0,
Gain On Sale Of Security,23530000.0,-122110000.0,,,
Operating Expense,6045761000.0,6570168000.0,5163407000.0,5534780000.0,
Other Operating Expenses,1099660000.0,1896642000.0,1533709000.0,1447275000.0,
Depreciation And Amortization In Income Statement,407380000.0,408977000.0,275970000.0,254217000.0,
Depreciation Income Statement,407380000.0,408977000.0,275970000.0,254217000.0,
Selling General And Administration,1723633000.0,1664295000.0,982603000.0,1474212000.0,
Selling And Marketing Expense,174609000.0,176074000.0,139352000.0,116255000.0,
General And Administrative Expense,1549024000.0,1488221000.0,843251000.0,1357957000.0,
Insurance And Claims,,6995000.0,6619000.0,6304000.0,6911000.0
Rent And Landing Fees,59350000.0,54144000.0,160551000.0,147363000.0,
Total Revenue,8841695000.0,8411365000.0,7533871000.0,7190172000.0,
Operating Revenue,8841695000.0,8411365000.0,7533871000.0,7190172000.0,
