,2026-02-28,2025-02-28,2024-02-29,2023-02-28,2022-02-28
Tax Effect Of Unusual Items,52988800.0,78337700.0,55892940.0,30474585.8,
Tax Rate For Calcs,0.4,0.34,0.34,0.1051,
Normalized EBITDA,860984000.0,850243000.0,904632000.0,738822000.0,
Total Unusual Items,132472000.0,230405000.0,164391000.0,289958000.0,
Total Unusual Items Excluding Goodwill,132472000.0,230405000.0,164391000.0,289958000.0,
Net Income From Continuing Operation Net Minority Interest,148369000.0,216950000.0,360337000.0,353421000.0,
Reconciled Depreciation,285923000.0,266276000.0,261947000.0,234032000.0,
Reconciled Cost Of Revenue,8622717000.0,9872991000.0,8973675000.0,8085625000.0,
EBITDA,993456000.0,1080648000.0,1069023000.0,1028780000.0,
EBIT,707533000.0,814372000.0,807076000.0,794748000.0,
Net Interest Income,-731379000.0,-688600000.0,-579524000.0,-397738000.0,
Interest Expense,669825000.0,637740000.0,578708000.0,399523000.0,
Interest Income,24925000.0,23064000.0,25974000.0,30998000.0,
Normalized Income,68885800.0,64882700.0,251838940.0,93937585.8,
Net Income From Continuing And Discontinued Operation,148369000.0,216950000.0,360337000.0,353421000.0,
Total Expenses,10503519000.0,11620527000.0,10620982000.0,9717346000.0,
Rent Expense Supplemental,,,,35459000.0,20431000.0
Total Operating Income As Reported,,,,685788000.0,636929000.0
Diluted Average Shares,360215699.0,352925143.0,353710002.0,352940500.0,
Basic Average Shares,341071232.0,341071232.0,344986267.0,346274517.0,
Diluted EPS,0.4119,0.6147,1.0187,1.0014,
Basic EPS,0.435,0.6361,1.0445,1.0206,
Diluted NI Availto Com Stockholders,148369000.0,216950000.0,360337000.0,353421000.0,
Net Income Common Stockholders,148369000.0,216950000.0,360337000.0,353421000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,148369000.0,216950000.0,360337000.0,353421000.0,
Minority Interests,-102000.0,-51000.0,-124000.0,-263000.0,
Net Income Including Noncontrolling Interests,148471000.0,217001000.0,360461000.0,353684000.0,
Net Income Continuous Operations,148471000.0,217001000.0,360461000.0,353684000.0,
Tax Provision,-110763000.0,-40369000.0,-132093000.0,41541000.0,
Pretax Income,37708000.0,176632000.0,228368000.0,395225000.0,
Other Non Operating Income Expenses,6805000.0,2753000.0,4293000.0,,
Special Income Charges,6272000.0,0.0,18057000.0,198280000.0,
Other Special Charges,-6272000.0,,3728000.0,,-69418000.0
Restructuring And Mergern Acquisition,,0.0,-18057000.0,-198280000.0,-46328000.0
Net Non Operating Interest Income Expense,-731379000.0,-688600000.0,-579524000.0,-397738000.0,
Total Other Finance Cost,86479000.0,73924000.0,26790000.0,29213000.0,
Interest Expense Non Operating,669825000.0,637740000.0,578708000.0,399523000.0,
Interest Income Non Operating,24925000.0,23064000.0,25974000.0,30998000.0,
Operating Income,611484000.0,642412000.0,628665000.0,488142000.0,
Operating Expense,1880802000.0,1747536000.0,1647307000.0,1631721000.0,
Other Operating Expenses,13268000.0,,-11890000.0,,10509000.0
Selling General And Administration,1937809000.0,1803074000.0,1682191000.0,1646910000.0,
Selling And Marketing Expense,1245548000.0,1193881000.0,1096006000.0,1060306000.0,
General And Administrative Expense,692261000.0,609193000.0,586185000.0,586604000.0,
Gross Profit,2492286000.0,2389948000.0,2275972000.0,2119863000.0,
Cost Of Revenue,8622717000.0,9872991000.0,8973675000.0,8085625000.0,
Total Revenue,11115003000.0,12262939000.0,11249647000.0,10205488000.0,
Operating Revenue,11115003000.0,12262939000.0,11249647000.0,10205488000.0,
