,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,2911000.0,21969000.0,-4207000.0,-317238000.0,-19978000.0,
Repurchase Of Capital Stock,-48000.0,-16000.0,0.0,-5052000.0,0.0,
Repayment Of Debt,-41000.0,-29000.0,-51000.0,-43000.0,-41000.0,
Issuance Of Capital Stock,,12000.0,282000.0,,,
Capital Expenditure,-2744000.0,,-10982000.0,-324231000.0,-26916000.0,-8312000.0
End Cash Position,64323000.0,72857000.0,67301000.0,71469000.0,70022000.0,
Beginning Cash Position,72857000.0,67301000.0,71469000.0,70022000.0,37365000.0,
Effect Of Exchange Rate Changes,-455000.0,225000.0,-173000.0,-3967000.0,3990000.0,
Changes In Cash,-8079000.0,5331000.0,-3995000.0,5414000.0,28667000.0,
Financing Cash Flow,-193000.0,-189000.0,180000.0,161876000.0,-41000.0,
Net Other Financing Charges,,0.0,111000.0,,,2667000.0
Cash Dividends Paid,-104000.0,-156000.0,,,,-5000.0
Common Stock Dividend Paid,-104000.0,,,0.0,0.0,
Net Common Stock Issuance,-48000.0,-4000.0,282000.0,161970000.0,0.0,
Common Stock Payments,-48000.0,-16000.0,0.0,-5052000.0,0.0,
Common Stock Issuance,,12000.0,282000.0,,,
Net Issuance Payments Of Debt,-41000.0,-29000.0,-51000.0,-43000.0,-41000.0,
Net Long Term Debt Issuance,-41000.0,-29000.0,-51000.0,-43000.0,-41000.0,
Long Term Debt Payments,-41000.0,-29000.0,-51000.0,-43000.0,-41000.0,
Investing Cash Flow,-13541000.0,-14456000.0,-10950000.0,-163455000.0,21770000.0,
Net Investment Purchase And Sale,-10797000.0,-16245000.0,0.0,160768000.0,48738000.0,
Sale Of Investment,0.0,-16245000.0,0.0,157151000.0,52355000.0,
Purchase Of Investment,-10797000.0,,0.0,3617000.0,-3617000.0,
Net Business Purchase And Sale,,,,,,-2904000.0
Sale Of Business,,,,,,-4000.0
Purchase Of Business,,,,,,-2900000.0
Net Intangibles Purchase And Sale,-2730000.0,1972000.0,-10961000.0,-324231000.0,-26916000.0,
Purchase Of Intangibles,-2730000.0,1972000.0,-10961000.0,-324231000.0,-26916000.0,
Net PPE Purchase And Sale,-14000.0,33000.0,,,0.0,58000.0
Sale Of PPE,,12000.0,,,0.0,0.0
Purchase Of PPE,-14000.0,,,,0.0,
Operating Cash Flow,5655000.0,19976000.0,6775000.0,6993000.0,6938000.0,
Taxes Refund Paid,-4855000.0,-541000.0,-1617000.0,-10894000.0,-75000.0,
Interest Received Cfo,,,,,,19000.0
Interest Paid Cfo,0.0,-1000.0,-1000.0,-2000.0,-2000.0,
Change In Working Capital,-5307000.0,-30118000.0,-13302000.0,11727000.0,-17288000.0,
Change In Other Current Liabilities,674000.0,,,-8710000.0,-661000.0,2317000.0
Change In Other Current Assets,1030000.0,6288000.0,357000.0,-8553000.0,69000.0,
Change In Payable,-2650000.0,-1608000.0,-1844000.0,4358000.0,1961000.0,
Change In Receivables,2348000.0,-27390000.0,-21186000.0,11542000.0,-5567000.0,
Other Non Cash Items,-1958000.0,-1085000.0,-1022000.0,3924000.0,-6613000.0,
Stock Based Compensation,581000.0,750000.0,370000.0,1200000.0,505000.0,
Provisionand Write Offof Assets,51384000.0,68618000.0,56262000.0,52113000.0,52323000.0,
Deferred Tax,6000.0,-203000.0,-615000.0,-556000.0,-757000.0,
Depreciation And Amortization,4520000.0,3131000.0,5287000.0,5095000.0,4155000.0,
Depreciation,4520000.0,3131000.0,5287000.0,5095000.0,4155000.0,
Net Foreign Currency Exchange Gain Loss,,442000.0,681000.0,4991000.0,-4930000.0,-220000.0
Gain Loss On Sale Of PPE,148000.0,1508000.0,0.0,-1396000.0,1635000.0,
Net Income From Continuing Operations,-50759000.0,-19361000.0,22842000.0,9851000.0,17333000.0,
