,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,232619654.7,78414880.0,-36015211.7,66074826.132461,
Tax Rate For Calcs,0.3489,0.34,0.1739,0.167508,
Normalized EBITDA,865059000.0,481988000.0,93978000.0,1541646000.0,
Total Unusual Items,666723000.0,230632000.0,-207103000.0,394457000.0,
Total Unusual Items Excluding Goodwill,666723000.0,230632000.0,-207103000.0,394457000.0,
Net Income From Continuing Operation Net Minority Interest,121040000.0,-180671000.0,-907637000.0,851290000.0,
Reconciled Depreciation,758235000.0,643335000.0,570292000.0,539511000.0,
Reconciled Cost Of Revenue,8047183000.0,7314060000.0,7272308000.0,7175365000.0,
EBITDA,1531782000.0,712620000.0,-113125000.0,1936103000.0,
EBIT,773547000.0,69285000.0,-683417000.0,1396592000.0,
Net Interest Income,-555192000.0,-588833000.0,-419012000.0,-381362000.0,
Interest Expense,420516000.0,427950000.0,296582000.0,266266000.0,
Interest Income,9561000.0,18811000.0,15644000.0,107980000.0,
Normalized Income,-313063345.3,-332888120.0,-736549211.7,522907826.132461,
Net Income From Continuing And Discontinued Operation,121040000.0,-180671000.0,-907637000.0,867549000.0,
Total Expenses,8733124000.0,8015425000.0,7838905000.0,7753986000.0,
Rent Expense Supplemental,,51878000.0,33291000.0,57427000.0,64426000.0
Total Operating Income As Reported,445087000.0,530549000.0,-953131000.0,,
Diluted Average Shares,651073000.0,650812000.0,645477321.0,595833000.0,
Basic Average Shares,651073000.0,650812000.0,645477321.0,595833000.0,
Diluted EPS,0.18591,-0.27761,-1.406149,1.456027,
Basic EPS,0.18591,-0.27761,-1.406149,1.456027,
Diluted NI Availto Com Stockholders,121040000.0,-180671000.0,-907637000.0,867549000.0,
Net Income Common Stockholders,121040000.0,-180671000.0,-907637000.0,867549000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,121040000.0,-180671000.0,-907637000.0,867549000.0,
Minority Interests,-108814000.0,-107782000.0,-98108000.0,-89697000.0,
Net Income Including Noncontrolling Interests,229854000.0,-72889000.0,-809529000.0,957246000.0,
Net Income Discontinuous Operations,,,,16259000.0,-631000.0
Net Income Continuous Operations,229854000.0,-72889000.0,-809529000.0,940987000.0,
Tax Provision,123177000.0,-285776000.0,-170470000.0,189339000.0,
Pretax Income,353031000.0,-358665000.0,-979999000.0,1130326000.0,
Other Non Operating Income Expenses,,,4670000.0,6398000.0,22506000.0
Special Income Charges,74678000.0,208060000.0,17847000.0,222664000.0,
Other Special Charges,-113941000.0,-218448000.0,23690000.0,-12101000.0,
Write Off,9033000.0,10388000.0,-41537000.0,15444000.0,
Impairment Of Capital Assets,,,-41183000.0,-226007000.0,-603945000.0
Restructuring And Mergern Acquisition,30230000.0,,,,-17143000.0
Net Non Operating Interest Income Expense,-555192000.0,-588833000.0,-419012000.0,-381362000.0,
Total Other Finance Cost,144237000.0,179694000.0,138074000.0,223076000.0,
Interest Expense Non Operating,420516000.0,427950000.0,296582000.0,266266000.0,
Interest Income Non Operating,9561000.0,18811000.0,15644000.0,107980000.0,
Operating Income,55673000.0,158224000.0,-490838000.0,1070641000.0,
Operating Expense,685941000.0,701365000.0,566597000.0,578621000.0,
Other Operating Expenses,182191000.0,228584000.0,173886000.0,154480000.0,
Depreciation And Amortization In Income Statement,32300000.0,13159000.0,15088000.0,13720000.0,
Depreciation Income Statement,32300000.0,13159000.0,15088000.0,13720000.0,
Selling General And Administration,201706000.0,205632000.0,169592000.0,203359000.0,
Selling And Marketing Expense,15822000.0,19346000.0,14041000.0,17774000.0,
General And Administrative Expense,185884000.0,186286000.0,155551000.0,185585000.0,
Rent And Landing Fees,,6106000.0,7667000.0,2502000.0,6885000.0
Gross Profit,741614000.0,859589000.0,75759000.0,1649262000.0,
Cost Of Revenue,8047183000.0,7314060000.0,7272308000.0,7175365000.0,
Total Revenue,8788797000.0,8173649000.0,7348067000.0,8824627000.0,
Operating Revenue,8788797000.0,8173649000.0,7348067000.0,8824627000.0,
