,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,85879100.0,409032000.0,140165200.0,1638000.0,
Tax Rate For Calcs,0.1361,0.2392,0.1582,0.0063,
Normalized EBITDA,8075000000.0,10013000000.0,8252000000.0,5970000000.0,
Total Unusual Items,631000000.0,1710000000.0,886000000.0,260000000.0,
Total Unusual Items Excluding Goodwill,631000000.0,1710000000.0,886000000.0,260000000.0,
Net Income From Continuing Operation Net Minority Interest,4897000000.0,7117000000.0,5764000000.0,4092000000.0,
Reconciled Depreciation,1533000000.0,1376000000.0,1274000000.0,1182000000.0,
Reconciled Cost Of Revenue,34011000000.0,30638000000.0,27219000000.0,26541000000.0,
EBITDA,8706000000.0,11723000000.0,9138000000.0,6230000000.0,
EBIT,7173000000.0,10347000000.0,7864000000.0,5048000000.0,
Net Interest Income,-1353000000.0,-845000000.0,-680000000.0,-495000000.0,
Interest Expense,1503000000.0,989000000.0,1013000000.0,928000000.0,
Interest Income,431000000.0,424000000.0,408000000.0,414000000.0,
Normalized Income,4351879100.0,5816032000.0,5018165200.0,3833638000.0,
Net Income From Continuing And Discontinued Operation,4897000000.0,7117000000.0,5764000000.0,4092000000.0,
Total Expenses,36423000000.0,31877000000.0,30637000000.0,30947000000.0,
Total Operating Income As Reported,,,,5686000000.0,6951000000.0
Diluted Average Shares,,2860681883.0,2860681883.0,2860681883.0,2860681881.0
Basic Average Shares,,2860681883.0,2860681883.0,2860681883.0,2860681881.0
Diluted EPS,,2.49,2.01,1.86,1.307692
Basic EPS,,2.49,2.01,1.86,1.307692
Diluted NI Availto Com Stockholders,4897000000.0,7117000000.0,5764000000.0,4092000000.0,
Net Income Common Stockholders,4897000000.0,7117000000.0,5764000000.0,4092000000.0,
Net Income,4897000000.0,7117000000.0,5764000000.0,4092000000.0,
Minority Interests,-2000000.0,-2000000.0,-3000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,4899000000.0,7119000000.0,5767000000.0,4094000000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,4899000000.0,7119000000.0,5767000000.0,4094000000.0,
Tax Provision,771000000.0,2239000000.0,1084000000.0,26000000.0,
Pretax Income,5670000000.0,9358000000.0,6851000000.0,4120000000.0,
Other Income Expense,695000000.0,1934000000.0,1318000000.0,1103000000.0,
Other Non Operating Income Expenses,-199000000.0,,4000000.0,5000000.0,1032000000.0
Special Income Charges,52000000.0,11000000.0,9000000.0,-167000000.0,
Gain On Sale Of Ppe,40000000.0,43000000.0,0.0,0.0,
Gain On Sale Of Business,,,0.0,0.0,0.0
Other Special Charges,,,,,-1032000000.0
Write Off,0.0,46000000.0,0.0,172000000.0,
Restructuring And Mergern Acquisition,-12000000.0,-14000000.0,-9000000.0,-5000000.0,
Earnings From Equity Interest,263000000.0,224000000.0,432000000.0,843000000.0,
Gain On Sale Of Security,579000000.0,1699000000.0,877000000.0,427000000.0,
Net Non Operating Interest Income Expense,-1353000000.0,-845000000.0,-680000000.0,-495000000.0,
Total Other Finance Cost,281000000.0,280000000.0,75000000.0,-19000000.0,
Interest Expense Non Operating,1503000000.0,989000000.0,1013000000.0,928000000.0,
Interest Income Non Operating,431000000.0,424000000.0,408000000.0,414000000.0,
Operating Income,6328000000.0,7943000000.0,6213000000.0,3516000000.0,
Operating Expense,909000000.0,-113000000.0,2171000000.0,3296000000.0,
Other Operating Expenses,349000000.0,191000000.0,283000000.0,251000000.0,
Other Taxes,245000000.0,-1763000000.0,258000000.0,1451000000.0,
Provision For Doubtful Accounts,161000000.0,175000000.0,175000000.0,109000000.0,
Depreciation Amortization Depletion Income Statement,30000000.0,24000000.0,27000000.0,72000000.0,
Depreciation And Amortization In Income Statement,30000000.0,24000000.0,27000000.0,72000000.0,
Selling General And Administration,124000000.0,1260000000.0,1428000000.0,1413000000.0,
Selling And Marketing Expense,0.0,0.0,0.0,0.0,
General And Administrative Expense,124000000.0,1260000000.0,1428000000.0,1413000000.0,
Other Gand A,414000000.0,404000000.0,372000000.0,337000000.0,
Insurance And Claims,0.0,0.0,0.0,0.0,
Salaries And Wages,-290000000.0,856000000.0,1056000000.0,1076000000.0,
Gross Profit,7237000000.0,7830000000.0,8384000000.0,4154000000.0,
Cost Of Revenue,35514000000.0,31990000000.0,28466000000.0,27651000000.0,
Total Revenue,42751000000.0,39820000000.0,36850000000.0,31805000000.0,
Excise Taxes,0.0,-513000000.0,-1909000000.0,-2360000000.0,
Operating Revenue,52135000000.0,49525000000.0,45500000000.0,43696000000.0,
