,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Share Issued,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Net Debt,31239057000.0,29300631000.0,25142029000.0,24439388000.0,
Total Debt,33468377000.0,31274032000.0,29577215000.0,28185546000.0,
Tangible Book Value,15596936000.0,12907329000.0,9905702000.0,6349256000.0,
Invested Capital,55958152000.0,52005794000.0,48456681000.0,44442146000.0,
Working Capital,-1259649000.0,-818989000.0,-1710755000.0,300865000.0,
Net Tangible Assets,15596936000.0,12907329000.0,9905702000.0,6349256000.0,
Common Stock Equity,22489775000.0,20731762000.0,18879466000.0,16256600000.0,
Total Capitalization,51043031000.0,46602822000.0,40804018000.0,39756520000.0,
Total Equity Gross Minority Interest,23504510000.0,21795029000.0,19998753000.0,17539944000.0,
Minority Interest,1014735000.0,1063267000.0,1119287000.0,1283345000.0,
Stockholders Equity,22489775000.0,20731762000.0,18879466000.0,16256600000.0,
Other Equity Interest,1000.0,-1000.0,,,3735932000.0
Retained Earnings,0.0,0.0,,,
Capital Stock,9388071000.0,9388071000.0,9388071000.0,9388071000.0,
Common Stock,9388071000.0,9388071000.0,9388071000.0,9388071000.0,
Total Liabilities Net Minority Interest,57595420000.0,55334165000.0,54972474000.0,53606137000.0,
Total Non Current Liabilities Net Minority Interest,39719457000.0,37963630000.0,35210366000.0,38726965000.0,
Other Non Current Liabilities,,1000.0,3000.0,184801000.0,198086000.0
Derivative Product Liabilities,170854000.0,272377000.0,495825000.0,265858000.0,
Non Current Pension And Other Postretirement Benefit Plans,501738000.0,451514000.0,1503118000.0,1586390000.0,
Non Current Accrued Expenses,,,0.0,0.0,0.0
Tradeand Other Payables Non Current,4667660000.0,6190706000.0,6831864000.0,9316686000.0,
Non Current Deferred Revenue,,,,,56970000.0
Non Current Deferred Taxes Liabilities,4742680000.0,4227282000.0,3831913000.0,3471891000.0,
Long Term Debt And Capital Lease Obligation,28553256000.0,25871060000.0,21924552000.0,23499920000.0,
Long Term Debt,28553256000.0,25871060000.0,21924552000.0,23499920000.0,
Long Term Provisions,170123000.0,151778000.0,164655000.0,138613000.0,
Current Liabilities,17875963000.0,17370535000.0,19762108000.0,14879172000.0,
Other Current Liabilities,1142643000.0,820952000.0,785047000.0,869052000.0,
Current Debt And Capital Lease Obligation,4915121000.0,5402972000.0,7652663000.0,4685626000.0,
Current Debt,4915121000.0,5402972000.0,7652663000.0,4685626000.0,
Pensionand Other Post Retirement Benefit Plans Current,250489000.0,663488000.0,692054000.0,1010422000.0,
Current Provisions,5153000.0,12699000.0,6106000.0,5687000.0,
Payables,9981984000.0,9277105000.0,9167819000.0,7914757000.0,
Other Payable,983194000.0,864992000.0,968877000.0,992486000.0,
Dividends Payable,1506041000.0,1510207000.0,570319000.0,1421994000.0,
Total Tax Payable,2470793000.0,2297728000.0,3457341000.0,1840854000.0,
Accounts Payable,5021956000.0,4604178000.0,4171282000.0,3659423000.0,
Total Assets,81099930000.0,77129194000.0,74971227000.0,71146081000.0,
Total Non Current Assets,64483616000.0,60577648000.0,56919874000.0,55966044000.0,
Other Non Current Assets,220108000.0,274468000.0,292603000.0,252970000.0,
Non Current Prepaid Assets,22028000.0,34986000.0,76324000.0,14095000.0,
Non Current Deferred Taxes Assets,202046000.0,266798000.0,325404000.0,247816000.0,
Financial Assets,591350000.0,193542000.0,590935000.0,305862000.0,
Other Investments,3408000.0,3974000.0,,,116654000.0
Investmentin Financial Assets,30713341000.0,25692251000.0,21857067000.0,18505181000.0,
Available For Sale Securities,30713341000.0,25692251000.0,21857067000.0,18505181000.0,
Long Term Equity Investment,377395000.0,577389000.0,520662000.0,622508000.0,
Investmentsin Joint Venturesat Cost,,581364000.0,520662000.0,622508000.0,1202944000.0
Goodwill And Other Intangible Assets,6892839000.0,7824433000.0,8973764000.0,9907344000.0,
Other Intangible Assets,6892839000.0,7824433000.0,8967649000.0,9471197000.0,
Goodwill,0.0,0.0,6115000.0,436147000.0,
Net PPE,9375879000.0,9752282000.0,10135749000.0,10614068000.0,
Accumulated Depreciation,-9636147000.0,-8877964000.0,-8488467000.0,-8014978000.0,
Gross PPE,19012026000.0,18630246000.0,18624216000.0,18629046000.0,
Construction In Progress,704721000.0,1153402000.0,1021728000.0,712301000.0,
Machinery Furniture Equipment,11750332000.0,11404795000.0,11514357000.0,11505908000.0,
Buildings And Improvements,1905574000.0,1824015000.0,1825633000.0,1889777000.0,
Land And Improvements,260517000.0,240581000.0,247816000.0,250014000.0,
Properties,4390882000.0,4007453000.0,4014682000.0,4271046000.0,
Current Assets,16616314000.0,16551546000.0,18051353000.0,15180037000.0,
Other Current Assets,588510000.0,606444000.0,784196000.0,463311000.0,
Hedging Assets Current,4513000.0,915621000.0,88315000.0,201698000.0,
Restricted Cash,178448000.0,85749000.0,80396000.0,67582000.0,
Prepaid Assets,343501000.0,338104000.0,255313000.0,201312000.0,
Inventory,236566000.0,221573000.0,151744000.0,190310000.0,
Other Receivables,1611551000.0,1306436000.0,1075649000.0,1188948000.0,
Taxes Receivable,3061439000.0,3253227000.0,3599920000.0,2962528000.0,
Accounts Receivable,6244460000.0,5883894000.0,6190130000.0,5071130000.0,
Allowance For Doubtful Accounts Receivable,-473013000.0,-449676000.0,-401822000.0,-430718000.0,
Gross Accounts Receivable,6717472000.0,6333570000.0,6591951000.0,5501848000.0,
Cash Cash Equivalents And Short Term Investments,4347326000.0,3940498000.0,5825690000.0,4833218000.0,
Other Short Term Investments,2118006000.0,1967097000.0,1390504000.0,1087060000.0,
Cash And Cash Equivalents,2229320000.0,1973401000.0,4435186000.0,3746158000.0,
Cash Equivalents,2131249000.0,1767570000.0,4202569000.0,3609908000.0,
Cash Financial,98072000.0,205831000.0,232617000.0,136250000.0,
