,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-6909076000.0,3156170000.0,2884489000.0,-3333535000.0,
Repurchase Of Capital Stock,0.0,-336162000.0,0.0,-410568000.0,
Repayment Of Debt,-12089239000.0,-7235584000.0,-10132253000.0,-10938853000.0,
Issuance Of Debt,11121708000.0,10148426000.0,15638624000.0,20187894000.0,
Issuance Of Capital Stock,,,,,1347862000.0
Capital Expenditure,-5935897000.0,-5494335000.0,-4408119000.0,-5376328000.0,
End Cash Position,14421022000.0,23310197000.0,16046218000.0,11991356000.0,
Beginning Cash Position,23310197000.0,16046218000.0,11991356000.0,16646480000.0,
Effect Of Exchange Rate Changes,-16376000.0,-162955000.0,27797000.0,9589000.0,
Changes In Cash,-8872799000.0,7426934000.0,4027065000.0,-4664713000.0,
Financing Cash Flow,-1776251000.0,-103832000.0,1323583000.0,4747026000.0,
Cash Flow From Continuing Financing Activities,-1776251000.0,-103832000.0,1323583000.0,4747026000.0,
Net Other Financing Charges,-113488000.0,-145187000.0,-201917000.0,-334709000.0,
Cash Dividends Paid,-695232000.0,-2535325000.0,-3980871000.0,-3756738000.0,
Common Stock Dividend Paid,-695232000.0,-2535325000.0,-3980871000.0,-3756738000.0,
Net Common Stock Issuance,0.0,-336162000.0,0.0,-410568000.0,
Common Stock Payments,0.0,-336162000.0,0.0,-410568000.0,
Common Stock Issuance,,,,,1347862000.0
Net Issuance Payments Of Debt,-967531000.0,2912842000.0,5506371000.0,9249041000.0,
Net Long Term Debt Issuance,-967531000.0,2912842000.0,5506371000.0,9249041000.0,
Long Term Debt Payments,-12089239000.0,-7235584000.0,-10132253000.0,-10938853000.0,
Long Term Debt Issuance,11121708000.0,10148426000.0,15638624000.0,20187894000.0,
Investing Cash Flow,-6123369000.0,-1119735000.0,-4589126000.0,-11454532000.0,
Cash Flow From Continuing Investing Activities,-6123369000.0,-1119735000.0,-4591126000.0,-11454532000.0,
Net Other Investing Changes,-63844000.0,-83521000.0,-93880000.0,-119536000.0,
Net Investment Purchase And Sale,188276000.0,38335000.0,-201890000.0,-641193000.0,
Sale Of Investment,211876000.0,70335000.0,136678000.0,21568000.0,
Purchase Of Investment,-23600000.0,-32000000.0,-338568000.0,-662761000.0,
Net Business Purchase And Sale,-311904000.0,4419786000.0,114763000.0,-5317475000.0,
Sale Of Business,105221000.0,4419786000.0,114763000.0,1205666000.0,
Purchase Of Business,-417125000.0,0.0,0.0,-6523141000.0,
Net Intangibles Purchase And Sale,,,,-2024118000.0,
Purchase Of Intangibles,,,,-2024118000.0,
Net PPE Purchase And Sale,-5935897000.0,-5494335000.0,-4408119000.0,-3352210000.0,
Purchase Of PPE,-5935897000.0,-5494335000.0,-4408119000.0,-3352210000.0,
Operating Cash Flow,-973179000.0,8650505000.0,7292608000.0,2042793000.0,
Cash Flow From Continuing Operating Activities,-973189000.0,8650505000.0,7323138000.0,2042793000.0,
Interest Paid Cfo,-4267926000.0,-4052226000.0,-3428721000.0,-2315586000.0,
Dividend Paid Cfo,-7663000.0,-44859000.0,-52516000.0,-113697000.0,
Change In Working Capital,-1249204000.0,4478756000.0,4689666000.0,-4666683000.0,
Change In Other Working Capital,-494938000.0,7165560000.0,4698951000.0,-763116000.0,
Change In Other Current Liabilities,-14801000.0,335433000.0,,,
Change In Payables And Accrued Expense,-298289000.0,-2331797000.0,-576795000.0,-1663340000.0,
Change In Accrued Expense,-41573000.0,87140000.0,48200000.0,31894000.0,
Change In Payable,-256716000.0,-2418937000.0,-624995000.0,-1695234000.0,
Change In Account Payable,-191359000.0,-2178844000.0,-340006000.0,789409000.0,
Change In Tax Payable,-72179000.0,-215862000.0,-214330000.0,-2505758000.0,
Change In Income Tax Payable,-72179000.0,-215862000.0,-214330000.0,-2505758000.0,
Change In Inventory,-388797000.0,-906034000.0,1303288000.0,-734991000.0,
Change In Receivables,-67180000.0,551027000.0,-735778000.0,-1505236000.0,
Changes In Account Receivables,939984000.0,36788000.0,238509000.0,-1403313000.0,
Other Non Cash Items,3334966000.0,3894695000.0,2388095000.0,3031217000.0,
Unrealized Gain Loss On Investment Securities,57562000.0,632612000.0,-292346000.0,1293784000.0,
Provisionand Write Offof Assets,319204000.0,294063000.0,311423000.0,-12807000.0,
Asset Impairment Charge,102480000.0,62081000.0,,-387989000.0,
Deferred Tax,-1597735000.0,-1278429000.0,-543415000.0,513036000.0,
Deferred Income Tax,-1597735000.0,-1278429000.0,-543415000.0,513036000.0,
Depreciation Amortization Depletion,4150475000.0,3791413000.0,3379141000.0,2877656000.0,
Operating Gains Losses,-206132000.0,2472621000.0,438632000.0,-343836000.0,
Earnings Losses From Equity Investments,-518744000.0,-456499000.0,-443569000.0,-237917000.0,
Gain Loss On Investment Securities,,,,,-2978341000.0
Net Foreign Currency Exchange Gain Loss,312612000.0,2929120000.0,882201000.0,-105919000.0,
Net Income From Continuing Operations,-1506726000.0,-1538141000.0,402649000.0,2167698000.0,
