,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,4202060.0,3853900.0,9407460.0,-14066480.0,
Tax Rate For Calcs,0.34,0.34,0.34,0.34,
Normalized EBITDA,540996000.0,395727000.0,35237000.0,210359000.0,
Total Unusual Items,12359000.0,11335000.0,27669000.0,-41372000.0,
Total Unusual Items Excluding Goodwill,12359000.0,11335000.0,27669000.0,-41372000.0,
Net Income From Continuing Operation Net Minority Interest,-40935000.0,-103341000.0,-456880000.0,-433441000.0,
Reconciled Depreciation,229717000.0,222503000.0,218496000.0,203180000.0,
Reconciled Cost Of Revenue,42699000.0,105947000.0,139793000.0,0.0,
EBITDA,553355000.0,407062000.0,62906000.0,168987000.0,
EBIT,323638000.0,184559000.0,-155590000.0,-34193000.0,
Net Interest Income,-252174000.0,-203881000.0,-368408000.0,-353679000.0,
Interest Expense,324362000.0,267926000.0,296914000.0,312881000.0,
Interest Income,73876000.0,19103000.0,11628000.0,7696000.0,
Normalized Income,-49091940.0,-110822100.0,-475141540.0,-406135480.0,
Net Income From Continuing And Discontinued Operation,-40935000.0,-103341000.0,-456880000.0,-433441000.0,
Total Expenses,1258996000.0,1355908000.0,1573477000.0,1221964000.0,
Diluted Average Shares,525583000.0,525583000.0,373870000.0,252301000.0,
Basic Average Shares,525583000.0,525583000.0,373870000.0,252301000.0,
Diluted EPS,-0.08,-0.2,-1.22,-1.72,
Basic EPS,-0.08,-0.2,-1.22,-1.72,
Diluted NI Availto Com Stockholders,-40935000.0,-103341000.0,-456880000.0,-433441000.0,
Net Income Common Stockholders,-40935000.0,-103341000.0,-456880000.0,-433441000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-40935000.0,-103341000.0,-456880000.0,-433441000.0,
Minority Interests,,,,0.0,10299000.0
Net Income Including Noncontrolling Interests,-40935000.0,-103341000.0,-456880000.0,-433441000.0,
Net Income Continuous Operations,-40935000.0,-103341000.0,-456880000.0,-433441000.0,
Tax Provision,40211000.0,19974000.0,4376000.0,86367000.0,
Pretax Income,-724000.0,-83367000.0,-452504000.0,-347074000.0,
Special Income Charges,,,-58699000.0,-48399000.0,1835000.0
Write Off,,,58699000.0,48399000.0,-1835000.0
Net Non Operating Interest Income Expense,-252174000.0,-203881000.0,-368408000.0,-353679000.0,
Total Other Finance Cost,1688000.0,-44942000.0,83122000.0,48494000.0,
Interest Expense Non Operating,324362000.0,267926000.0,296914000.0,312881000.0,
Interest Income Non Operating,73876000.0,19103000.0,11628000.0,7696000.0,
Operating Income,229497000.0,64855000.0,-140787000.0,-369000.0,
Operating Expense,1216297000.0,1249961000.0,1433684000.0,1221964000.0,
Other Operating Expenses,-48185000.0,32274000.0,154775000.0,12132000.0,
Depreciation And Amortization In Income Statement,,,218496000.0,203180000.0,208588000.0
Depreciation Income Statement,,,218496000.0,203180000.0,208588000.0
Selling General And Administration,1264482000.0,1217687000.0,1278909000.0,1103311000.0,
Selling And Marketing Expense,288500000.0,253824000.0,304028000.0,194865000.0,
General And Administrative Expense,975982000.0,963863000.0,974881000.0,908446000.0,
Gross Profit,1445794000.0,1314816000.0,1292897000.0,1221595000.0,
Cost Of Revenue,42699000.0,105947000.0,139793000.0,0.0,
Total Revenue,1488493000.0,1420763000.0,1432690000.0,1221595000.0,
Operating Revenue,1488493000.0,1420763000.0,1432690000.0,1221595000.0,
