,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,25803720.0,17583576.0,0.0,16433784.0,
Tax Rate For Calcs,0.1252,0.0816,0.114412,0.152,
Normalized EBITDA,1047577000.0,722947000.0,785459000.0,401185000.0,
Total Unusual Items,206100000.0,215485000.0,111437000.0,108117000.0,
Total Unusual Items Excluding Goodwill,206100000.0,215485000.0,111437000.0,108117000.0,
Net Income From Continuing Operation Net Minority Interest,789342000.0,638378000.0,331560000.0,190020000.0,
Reconciled Depreciation,80743000.0,70067000.0,60555000.0,53425000.0,
Reconciled Cost Of Revenue,2620591000.0,2130127000.0,1550208000.0,1428891000.0,
EBITDA,1253677000.0,938432000.0,785459000.0,509302000.0,
EBIT,1172934000.0,868365000.0,724904000.0,455877000.0,
Net Interest Income,-126241000.0,-88169000.0,14124000.0,-156374000.0,
Interest Expense,94439000.0,76067000.0,288045000.0,154342000.0,
Interest Income,73149000.0,47903000.0,302169000.0,6202000.0,
Normalized Income,609045720.0,440476576.0,331560000.0,98336784.0,
Net Income From Continuing And Discontinued Operation,789342000.0,638378000.0,331560000.0,190020000.0,
Total Expenses,3407003000.0,2770016000.0,1986149000.0,1834582000.0,
Diluted Average Shares,526119649.0,518975586.0,518080518.0,449234415.0,
Basic Average Shares,519779930.0,518975586.0,518080518.0,447276237.0,
Diluted EPS,1.5,1.230073,0.639978,0.423333,
Basic EPS,1.52,1.230073,0.639978,0.423333,
Diluted NI Availto Com Stockholders,789342000.0,638378000.0,331560000.0,190020000.0,
Net Income Common Stockholders,789342000.0,638378000.0,331560000.0,190020000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,789342000.0,638378000.0,331560000.0,190020000.0,
Minority Interests,-190350000.0,-89290000.0,-55317000.0,-65669000.0,
Net Income Including Noncontrolling Interests,979692000.0,727668000.0,386877000.0,255689000.0,
Net Income Continuous Operations,979692000.0,727668000.0,386877000.0,255689000.0,
Tax Provision,98803000.0,64630000.0,49982000.0,45846000.0,
Pretax Income,1078495000.0,792298000.0,436859000.0,301535000.0,
Other Non Operating Income Expenses,,,,,-18387000.0
Special Income Charges,-8412000.0,81900000.0,-61798000.0,-62553000.0,
Other Special Charges,8412000.0,-79002000.0,64404000.0,62553000.0,
Impairment Of Capital Assets,0.0,-2898000.0,-2606000.0,0.0,
Net Non Operating Interest Income Expense,-126241000.0,-88169000.0,14124000.0,-156374000.0,
Total Other Finance Cost,104951000.0,60005000.0,25027000.0,8234000.0,
Interest Expense Non Operating,94439000.0,76067000.0,288045000.0,154342000.0,
Interest Income Non Operating,73149000.0,47903000.0,302169000.0,6202000.0,
Operating Income,936005000.0,578454000.0,369034000.0,328034000.0,
Operating Expense,786412000.0,639889000.0,435941000.0,405691000.0,
Other Operating Expenses,123594000.0,139876000.0,266852000.0,50978000.0,
Depreciation And Amortization In Income Statement,,,4809000.0,4582000.0,
Depreciation Income Statement,,,4809000.0,4582000.0,
Selling General And Administration,662818000.0,500013000.0,376952000.0,354713000.0,
Selling And Marketing Expense,408037000.0,289706000.0,202242000.0,203082000.0,
General And Administrative Expense,254781000.0,210307000.0,174710000.0,151631000.0,
Gross Profit,1722417000.0,1218343000.0,804975000.0,733725000.0,
Cost Of Revenue,2620591000.0,2130127000.0,1550208000.0,1428891000.0,
Total Revenue,4343008000.0,3348470000.0,2355183000.0,2162616000.0,
Operating Revenue,4343008000.0,3348470000.0,2355183000.0,2162616000.0,
