,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,34006000.0,144853000.0,215002000.0,107151000.0,24614000.0,,
Repayment Of Debt,-1066513000.0,-293343000.0,-443486000.0,-4143405000.0,-457100000.0,,
Issuance Of Debt,2354203000.0,581631000.0,1549749000.0,5911934000.0,192682000.0,,
Capital Expenditure,-1380699000.0,-833909000.0,-1283690000.0,-1285811000.0,-964067000.0,,
End Cash Position,3205802000.0,2365368000.0,1186197000.0,1400718000.0,2409899000.0,,
Beginning Cash Position,2365368000.0,1186197000.0,1400718000.0,2409899000.0,3355146000.0,,
Changes In Cash,840434000.0,1179171000.0,-214521000.0,-1009181000.0,-945247000.0,,
Financing Cash Flow,528382000.0,-259447000.0,744131000.0,936565000.0,-866487000.0,,
Net Other Financing Charges,,,14000000.0,0.0,11200000.0,-9122000.0,-24368000.0
Interest Paid Cff,-585670000.0,-547735000.0,-376132000.0,-617244000.0,-613269000.0,,
Cash Dividends Paid,,,0.0,,,,1000.0
Net Issuance Payments Of Debt,1287690000.0,288288000.0,1106263000.0,1768529000.0,-264418000.0,,
Net Long Term Debt Issuance,1287690000.0,288288000.0,1106263000.0,1768529000.0,-264418000.0,,
Long Term Debt Payments,-1066513000.0,-293343000.0,-443486000.0,-4143405000.0,-457100000.0,,
Long Term Debt Issuance,2354203000.0,581631000.0,1549749000.0,5911934000.0,192682000.0,,
Investing Cash Flow,-1102653000.0,459856000.0,-2457344000.0,-3338708000.0,-1067441000.0,,
Net Other Investing Changes,-64059000.0,-44335000.0,-301311000.0,177912000.0,-143935000.0,,
Net Investment Purchase And Sale,342105000.0,1343968000.0,-766770000.0,-2227174000.0,36926000.0,,
Net Business Purchase And Sale,0.0,-5868000.0,,,3635000.0,0.0,
Purchase Of Business,0.0,-5868000.0,,,0.0,0.0,
Net Intangibles Purchase And Sale,-1380699000.0,-833909000.0,-1478990000.0,-1090511000.0,-964067000.0,,
Purchase Of Intangibles,-1380699000.0,-833909000.0,-1478990000.0,-1090511000.0,-964067000.0,,
Operating Cash Flow,1414705000.0,978762000.0,1498692000.0,1392962000.0,988681000.0,,
Taxes Refund Paid,-134590000.0,-199296000.0,-234742000.0,-178374000.0,-171141000.0,,
Change In Working Capital,103214000.0,-272494000.0,434956000.0,34708000.0,-205585000.0,,
Change In Other Current Assets,73878000.0,-4559000.0,33327000.0,39826000.0,-23615000.0,,
Change In Payable,31344000.0,-165074000.0,74863000.0,18455000.0,49982000.0,,
Change In Prepaid Assets,1824000.0,-14080000.0,2859000.0,8762000.0,-3202000.0,,
Change In Receivables,-20706000.0,-55521000.0,309987000.0,-63319000.0,-244310000.0,,
Other Non Cash Items,954425000.0,937691000.0,792521000.0,773384000.0,735509000.0,,
Provisionand Write Offof Assets,86767000.0,8291000.0,290417000.0,-159796000.0,37448000.0,,
Deferred Tax,150365000.0,93248000.0,327036000.0,238622000.0,189841000.0,,
Depreciation And Amortization,342758000.0,549254000.0,370783000.0,356981000.0,327207000.0,,
Depreciation,342758000.0,549254000.0,1227197000.0,-499433000.0,327207000.0,,
Gain Loss On Investment Securities,-15520000.0,-14810000.0,-12741000.0,-13168000.0,-9862000.0,,
Net Income From Continuing Operations,10146000.0,-21886000.0,99047000.0,431325000.0,199767000.0,,
