,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1179664000.0,1259525000.0,704492000.0,,347829000.0,114618000.0,
Repayment Of Debt,-401682000.0,-200680000.0,-614141000.0,,-316821000.0,-151668000.0,
Issuance Of Debt,107361000.0,2289344000.0,0.0,,809250000.0,1955869000.0,
Capital Expenditure,-74377000.0,-14489000.0,-340876000.0,,-412433000.0,-755308000.0,
End Cash Position,6448868000.0,6465375000.0,3358552000.0,,5660413000.0,5574639000.0,
Beginning Cash Position,6465375000.0,3358552000.0,4625662000.0,,5574639000.0,3958758000.0,
Changes In Cash,-16507000.0,3106823000.0,-1267110000.0,,85774000.0,1615881000.0,
Financing Cash Flow,-1116852000.0,2048682000.0,-2083546000.0,,-496141000.0,1532198000.0,
Net Other Financing Charges,-822531000.0,-39982000.0,67102000.0,,-988570000.0,-272003000.0,
Cash Dividends Paid,,,-1536507000.0,,,,3000.0
Common Stock Dividend Paid,,,-1536507000.0,,,,3000.0
Net Issuance Payments Of Debt,-294321000.0,2088664000.0,-614141000.0,,492429000.0,1804201000.0,
Net Long Term Debt Issuance,-294321000.0,2088664000.0,-614141000.0,,492429000.0,1804201000.0,
Long Term Debt Payments,-401682000.0,-200680000.0,-614141000.0,,-316821000.0,-151668000.0,
Long Term Debt Issuance,107361000.0,2289344000.0,0.0,,809250000.0,1955869000.0,
Investing Cash Flow,-153696000.0,-215873000.0,-228932000.0,,-178347000.0,-786243000.0,
Net Other Investing Changes,-215400000.0,-221053000.0,-221412000.0,,-203414000.0,-209068000.0,
Dividends Received Cfi,140000000.0,15750000.0,343664000.0,,203187000.0,157500000.0,
Net Business Purchase And Sale,-3919000.0,3919000.0,-10308000.0,,234313000.0,20633000.0,
Sale Of Business,-3919000.0,3919000.0,0.0,,234313000.0,20633000.0,
Purchase Of Business,,0.0,-10308000.0,,0.0,0.0,0.0
Net PPE Purchase And Sale,-74377000.0,-14489000.0,-340876000.0,,-412433000.0,-755308000.0,
Purchase Of PPE,-74377000.0,-14489000.0,-340876000.0,,-412433000.0,-755308000.0,
Operating Cash Flow,1254041000.0,1274014000.0,1045368000.0,,760262000.0,869926000.0,
Taxes Refund Paid,-111111000.0,-222645000.0,-86108000.0,,-99151000.0,-324490000.0,
Interest Paid Cfo,-511637000.0,-343399000.0,-469978000.0,,-440004000.0,-265458000.0,
Change In Working Capital,503514000.0,224400000.0,378610000.0,,279191000.0,239021000.0,
Change In Other Current Liabilities,206000.0,41264000.0,31184000.0,,-15843000.0,-10840000.0,
Change In Other Current Assets,-1185000.0,111706000.0,181695000.0,,132429000.0,131047000.0,
Change In Payable,210615000.0,-148122000.0,34738000.0,,-75375000.0,-57631000.0,
Change In Receivables,305797000.0,232012000.0,142610000.0,,249477000.0,188351000.0,
Other Non Cash Items,-1625455000.0,330444000.0,160425000.0,,-11849000.0,35694000.0,
Depreciation And Amortization,417964000.0,384320000.0,383840000.0,,330369000.0,321925000.0,
Amortization Cash Flow,,77533000.0,,,68252000.0,67178000.0,
Depreciation,495497000.0,306787000.0,383840000.0,356037000.0,397547000.0,,
Gain Loss On Investment Securities,-7102000.0,48000.0,1337000.0,,172000000.0,-64555000.0,
Gain Loss On Sale Of Business,3919000.0,-3919000.0,0.0,,-5256000.0,-4313000.0,
Net Income From Continuing Operations,2806530000.0,1038183000.0,832762000.0,,733994000.0,1098881000.0,
