,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,55374.655535,-8209680.0,35474686.880525,,-56286900.745783,12904386.393067,
Tax Rate For Calcs,0.300949,0.237,0.128191,,0.226893,0.248009,
Normalized EBITDA,4310413000.0,2258604000.0,1513657000.0,1968990000.0,1962007000.0,,
Total Unusual Items,184000.0,-34640000.0,276732000.0,,-248077000.0,52032000.0,
Total Unusual Items Excluding Goodwill,184000.0,-34640000.0,276732000.0,,-248077000.0,52032000.0,
Net Income From Continuing Operation Net Minority Interest,1910006000.0,751482000.0,617451000.0,,516281000.0,768703000.0,
Reconciled Depreciation,417964000.0,384320000.0,383840000.0,,330369000.0,321925000.0,
Reconciled Cost Of Revenue,1791352000.0,1575153000.0,1977004000.0,,1657946000.0,1372321000.0,
EBITDA,4310597000.0,2223964000.0,1790389000.0,1877903000.0,1713930000.0,,
EBIT,3892633000.0,1839644000.0,1406549000.0,1521866000.0,1383561000.0,,
Net Interest Income,-1069632000.0,-920646000.0,-816794000.0,-663828000.0,-769643000.0,,
Interest Expense,1086103000.0,801461000.0,573787000.0,560984000.0,649567000.0,,
Interest Income,22769000.0,32572000.0,6473000.0,,20010000.0,15776000.0,
Normalized Income,1909877374.655535,777912320.0,376193686.880525,,708071099.254217,729575386.393067,
Net Income From Continuing And Discontinued Operation,1910006000.0,751482000.0,617451000.0,,516281000.0,768703000.0,
Total Expenses,1880617000.0,1680547000.0,2094941000.0,1992697000.0,1744684000.0,,
Diluted Average Shares,1151252586.0,1151247877.0,1151251148.0,1151243870.0,1151242664.0,,
Basic Average Shares,1151252586.0,1151247877.0,1151251148.0,1151243870.0,1151242664.0,,
Diluted EPS,1.659068,0.652754,0.536297,0.591018,0.448455,,
Basic EPS,1.659068,0.652754,0.536297,0.591018,0.448455,,
Diluted NI Availto Com Stockholders,1910006000.0,751482000.0,617451000.0,,516281000.0,768703000.0,
Net Income Common Stockholders,1910006000.0,751482000.0,617451000.0,,516281000.0,768703000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,,0.0,0.0,
Net Income,1910006000.0,751482000.0,617451000.0,,516281000.0,768703000.0,
Minority Interests,-51901000.0,-40576000.0,-108558000.0,,-51175000.0,-57646000.0,
Net Income Including Noncontrolling Interests,1961907000.0,792058000.0,726009000.0,,567456000.0,826349000.0,
Net Income Continuous Operations,1961907000.0,792058000.0,726009000.0,,567456000.0,826349000.0,
Tax Provision,844623000.0,246125000.0,106753000.0,,166538000.0,272532000.0,
Pretax Income,2806530000.0,1038183000.0,832762000.0,,733994000.0,1098881000.0,
Special Income Charges,12440000.0,9228000.0,6137000.0,,10648000.0,9370000.0,
Other Special Charges,-12440000.0,-9228000.0,-6137000.0,,-10648000.0,-9370000.0,
Write Off,,,,,0.0,,
Restructuring And Mergern Acquisition,,0.0,0.0,,,0.0,0.0
Net Non Operating Interest Income Expense,-1069632000.0,-920646000.0,-816794000.0,-663828000.0,-769643000.0,,
Total Other Finance Cost,6298000.0,151757000.0,249480000.0,,140086000.0,200528000.0,
Interest Expense Non Operating,1086103000.0,801461000.0,573787000.0,560984000.0,649567000.0,,
Interest Income Non Operating,22769000.0,32572000.0,6473000.0,,20010000.0,15776000.0,
Operating Income,1630816000.0,1728110000.0,1322688000.0,1350559000.0,1341437000.0,,
Operating Expense,89265000.0,105394000.0,117937000.0,146454000.0,86738000.0,,
Other Operating Expenses,,1522000.0,2960000.0,6080000.0,14499000.0,-10132000.0,
Depreciation And Amortization In Income Statement,10050000.0,9747000.0,9306000.0,,11350000.0,10274000.0,
Depreciation Income Statement,10050000.0,9747000.0,9306000.0,,11350000.0,10274000.0,
Selling General And Administration,60619000.0,38792000.0,75751000.0,,63419000.0,38044000.0,
Selling And Marketing Expense,5255000.0,2050000.0,27905000.0,,5972000.0,5015000.0,
General And Administrative Expense,55364000.0,36742000.0,47846000.0,,57447000.0,33029000.0,
Gross Profit,1720081000.0,1833504000.0,1440625000.0,,1428175000.0,1640748000.0,
Cost Of Revenue,1791352000.0,1575153000.0,1977004000.0,,1657946000.0,1372321000.0,
Total Revenue,3511433000.0,3408657000.0,3417629000.0,,3086121000.0,3013069000.0,
Operating Revenue,3511433000.0,3408657000.0,3417629000.0,,3086121000.0,3013069000.0,
