,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,386100000.0,405000000.0,186200000.0,495300000.0,
Repurchase Of Capital Stock,-186800000.0,0.0,0.0,0.0,
Repayment Of Debt,-2838200000.0,-1174100000.0,-2345500000.0,-973700000.0,
Issuance Of Debt,2957200000.0,775200000.0,2000700000.0,145400000.0,
Issuance Of Capital Stock,0.0,0.0,9500000.0,0.0,
Capital Expenditure,-483900000.0,-466200000.0,-430800000.0,-256000000.0,
End Cash Position,1949800000.0,1563000000.0,1626300000.0,1815600000.0,
Beginning Cash Position,1563000000.0,1626300000.0,1815600000.0,1838600000.0,
Effect Of Exchange Rate Changes,-17700000.0,900000.0,-10000000.0,4400000.0,
Changes In Cash,404500000.0,-64200000.0,-179300000.0,-27400000.0,
Financing Cash Flow,146100000.0,-335700000.0,-348700000.0,-669200000.0,
Cash Flow From Continuing Financing Activities,146100000.0,-335700000.0,-348700000.0,-669200000.0,
Net Other Financing Charges,237500000.0,63200000.0,,159100000.0,
Proceeds From Stock Option Exercised,,,,0.0,0.0
Cash Dividends Paid,-23600000.0,0.0,-13400000.0,0.0,
Common Stock Dividend Paid,-23600000.0,0.0,-13400000.0,0.0,
Net Common Stock Issuance,-186800000.0,0.0,9500000.0,0.0,
Common Stock Payments,-186800000.0,0.0,0.0,0.0,
Common Stock Issuance,0.0,0.0,9500000.0,0.0,
Net Issuance Payments Of Debt,119000000.0,-398900000.0,-344800000.0,-828300000.0,
Net Long Term Debt Issuance,119000000.0,-398900000.0,-344800000.0,-828300000.0,
Long Term Debt Payments,-2838200000.0,-1174100000.0,-2345500000.0,-973700000.0,
Long Term Debt Issuance,2957200000.0,775200000.0,2000700000.0,145400000.0,
Investing Cash Flow,-611700000.0,-599700000.0,-447600000.0,-109500000.0,
Cash Flow From Continuing Investing Activities,-611700000.0,-599700000.0,-447600000.0,-109500000.0,
Net Other Investing Changes,-93500000.0,60500000.0,-60500000.0,,
Dividends Received Cfi,0.0,600000.0,5800000.0,900000.0,
Net Investment Purchase And Sale,-39100000.0,-188500000.0,42600000.0,140600000.0,
Sale Of Investment,384500000.0,49500000.0,101400000.0,158200000.0,
Purchase Of Investment,-423600000.0,-238000000.0,-58800000.0,-17600000.0,
Net Business Purchase And Sale,-12300000.0,-18300000.0,-24000000.0,-400000.0,
Sale Of Business,,,,158200000.0,0.0
Purchase Of Business,-12300000.0,-18300000.0,-24000000.0,-400000.0,
Net Intangibles Purchase And Sale,-296700000.0,-265800000.0,-192100000.0,-119800000.0,
Purchase Of Intangibles,-296700000.0,-265800000.0,-192100000.0,-119800000.0,
Net PPE Purchase And Sale,-170100000.0,-188200000.0,-219400000.0,-130800000.0,
Sale Of PPE,17100000.0,12200000.0,19300000.0,5400000.0,
Purchase Of PPE,-187200000.0,-200400000.0,-238700000.0,-136200000.0,
Operating Cash Flow,870000000.0,871200000.0,617000000.0,751300000.0,
Cash Flow From Continuing Operating Activities,870000000.0,871200000.0,617000000.0,751300000.0,
Taxes Refund Paid,-73600000.0,-101200000.0,-120800000.0,-50200000.0,
Interest Paid Cfo,-157900000.0,-176300000.0,-172800000.0,-183700000.0,
Change In Working Capital,398500000.0,94600000.0,439500000.0,591800000.0,
Change In Other Working Capital,157700000.0,751000000.0,579600000.0,435800000.0,
Change In Other Current Liabilities,,,-3000000.0,-15700000.0,-55000000.0
Change In Other Current Assets,1100000.0,-208600000.0,-68300000.0,186200000.0,
Change In Payables And Accrued Expense,513400000.0,170700000.0,217900000.0,277500000.0,
Change In Payable,513400000.0,170700000.0,217900000.0,277500000.0,
Change In Account Payable,174300000.0,204800000.0,50200000.0,257600000.0,
Change In Tax Payable,-67200000.0,-58200000.0,98600000.0,39100000.0,
Change In Income Tax Payable,-67200000.0,-58200000.0,98600000.0,39100000.0,
Change In Prepaid Assets,,,,,-1400000.0
Change In Inventory,-382200000.0,-370200000.0,-287100000.0,-294300000.0,
Change In Receivables,108500000.0,-248300000.0,-2600000.0,-13400000.0,
Changes In Account Receivables,25900000.0,-159300000.0,-4600000.0,-1100000.0,
Other Non Cash Items,72200000.0,131500000.0,163800000.0,428400000.0,
Stock Based Compensation,,,,2900000.0,0.0
Unrealized Gain Loss On Investment Securities,11800000.0,19300000.0,-400000.0,-1700000.0,
Provisionand Write Offof Assets,37300000.0,76500000.0,-17500000.0,56100000.0,
Asset Impairment Charge,3600000.0,7000000.0,-4800000.0,-16500000.0,
Deferred Tax,-91400000.0,202400000.0,-43600000.0,-87500000.0,
Deferred Income Tax,-91400000.0,202400000.0,-43600000.0,-87500000.0,
Depreciation Amortization Depletion,259500000.0,243600000.0,241700000.0,210300000.0,
Depreciation And Amortization,259500000.0,243600000.0,241700000.0,210300000.0,
Amortization Cash Flow,,128100000.0,131900000.0,103700000.0,86600000.0
Amortization Of Intangibles,,128100000.0,131900000.0,103700000.0,86600000.0
Depreciation,,115500000.0,109800000.0,106600000.0,122000000.0
Operating Gains Losses,51000000.0,19200000.0,-32400000.0,7800000.0,
Earnings Losses From Equity Investments,6900000.0,4300000.0,-10200000.0,-8500000.0,
Gain Loss On Investment Securities,,,5900000.0,-1400000.0,
Net Foreign Currency Exchange Gain Loss,36700000.0,8700000.0,7100000.0,-24800000.0,
Gain Loss On Sale Of PPE,7400000.0,6200000.0,-29300000.0,41100000.0,
Net Income From Continuing Operations,359000000.0,354600000.0,164300000.0,-203500000.0,
