,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,421394000.0,1539864000.0,2179516000.0,792777000.0,
Repayment Of Debt,-5632201000.0,-14947422000.0,-7138691000.0,-3904213000.0,
Issuance Of Debt,17041732000.0,17550632000.0,10550655000.0,6844446000.0,
Issuance Of Capital Stock,0.0,2493368000.0,0.0,813517000.0,
Capital Expenditure,-5644560000.0,-5678277000.0,-4502906000.0,-4893023000.0,
End Cash Position,1386005000.0,899139000.0,1298424000.0,916207000.0,
Beginning Cash Position,899139000.0,1298424000.0,916207000.0,773505000.0,
Changes In Cash,486866000.0,-399285000.0,382217000.0,142702000.0,
Financing Cash Flow,619215000.0,170104000.0,221296000.0,-448981000.0,
Net Other Financing Charges,-1760776000.0,807034000.0,593629000.0,-796082000.0,
Interest Paid Cff,-6267102000.0,-4084288000.0,-2513680000.0,-1807342000.0,
Cash Dividends Paid,-2723741000.0,-1596264000.0,-1256640000.0,-1581828000.0,
Net Common Stock Issuance,0.0,2493368000.0,0.0,813517000.0,
Common Stock Issuance,0.0,2493368000.0,0.0,813517000.0,
Net Issuance Payments Of Debt,11409531000.0,2603210000.0,3411964000.0,2940233000.0,
Net Long Term Debt Issuance,11409531000.0,2603210000.0,3411964000.0,2940233000.0,
Long Term Debt Payments,-5632201000.0,-14947422000.0,-7138691000.0,-3904213000.0,
Long Term Debt Issuance,17041732000.0,17550632000.0,10550655000.0,6844446000.0,
Investing Cash Flow,-6198303000.0,-7787530000.0,-6521501000.0,-5094117000.0,
Net Other Investing Changes,-276188000.0,-516201000.0,-384106000.0,-531271000.0,
Dividends Received Cfi,,0.0,0.0,,
Net Investment Purchase And Sale,-312831000.0,-784828000.0,-464898000.0,1101593000.0,
Sale Of Investment,,,,1101593000.0,550796000.0
Purchase Of Investment,-312831000.0,-784828000.0,-464898000.0,,
Net Business Purchase And Sale,-28825000.0,-975329000.0,-1349229000.0,-887972000.0,
Sale Of Business,501000.0,51493000.0,141112000.0,49523000.0,
Purchase Of Business,-29326000.0,-1026822000.0,-1490341000.0,-937495000.0,
Net PPE Purchase And Sale,-5580459000.0,-5511172000.0,-4323268000.0,-4776467000.0,
Sale Of PPE,64101000.0,167105000.0,179638000.0,116556000.0,
Purchase Of PPE,-5644560000.0,-5678277000.0,-4502906000.0,-4893023000.0,
Operating Cash Flow,6065954000.0,7218141000.0,6682422000.0,5685800000.0,
Taxes Refund Paid,-1097740000.0,-981383000.0,-768152000.0,-898049000.0,
Change In Working Capital,-1392106000.0,789001000.0,673483000.0,647617000.0,
Change In Other Current Liabilities,14186000.0,18091000.0,11850000.0,10383000.0,
Change In Other Current Assets,-2021089000.0,-822110000.0,-706505000.0,325630000.0,
Change In Payable,932408000.0,792295000.0,2446421000.0,-381455000.0,
Change In Inventory,-17411000.0,40408000.0,-18249000.0,-10863000.0,
Change In Receivables,-300200000.0,760317000.0,-1060034000.0,703922000.0,
Other Non Cash Items,1268447000.0,3097055000.0,1019743000.0,515080000.0,
Provisionand Write Offof Assets,440400000.0,477177000.0,288479000.0,320832000.0,
Deferred Tax,194836000.0,-261123000.0,986304000.0,710764000.0,
Depreciation And Amortization,2121832000.0,1858036000.0,1577181000.0,1274464000.0,
Depreciation,2121832000.0,1858036000.0,1577181000.0,1274464000.0,
Pension And Employee Benefit Expense,151349000.0,111154000.0,-18506000.0,-120373000.0,
Gain Loss On Investment Securities,1056766000.0,-2646614000.0,107415000.0,689619000.0,
Gain Loss On Sale Of PPE,277576000.0,130089000.0,232941000.0,117826000.0,
Net Income From Continuing Operations,3140072000.0,4636282000.0,2583534000.0,2428020000.0,
