,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1048869060.0,136727940.0,-91783282.813072,-261927130.0,
Tax Rate For Calcs,0.17,0.34,0.052229,0.29,
Normalized EBITDA,16738608000.0,9119359000.0,11477683000.0,8076984000.0,
Total Unusual Items,-6169818000.0,402141000.0,-1757313000.0,-903197000.0,
Total Unusual Items Excluding Goodwill,-6169818000.0,402141000.0,-1757313000.0,-903197000.0,
Net Income From Continuing Operation Net Minority Interest,1207660000.0,1943999000.0,2075593000.0,1373938000.0,
Reconciled Depreciation,3138652000.0,2757190000.0,2446807000.0,1725118000.0,
Reconciled Cost Of Revenue,38466548000.0,32222987000.0,28842545000.0,18565736000.0,
EBITDA,10568790000.0,9521500000.0,9720370000.0,7173787000.0,
EBIT,7430138000.0,6764310000.0,7273563000.0,5448669000.0,
Net Interest Income,-3599851000.0,-3324513000.0,-3208409000.0,-1641838000.0,
Interest Expense,4975134000.0,4021005000.0,4238774000.0,2755932000.0,
Interest Income,1532738000.0,1042763000.0,1210334000.0,1120112000.0,
Normalized Income,6328608940.0,1678585940.0,3741122717.186928,2015207870.0,
Net Income From Continuing And Discontinued Operation,1678352000.0,2811675000.0,2075593000.0,1373938000.0,
Total Expenses,38427518000.0,33990016000.0,31265567000.0,20772299000.0,
Diluted Average Shares,1258677000.0,1247297000.0,1156130894.0,1113488364.0,
Basic Average Shares,1258124000.0,1247297000.0,1147272623.0,1107570261.0,
Diluted EPS,1.33343,2.25421,1.795292,1.233902,
Basic EPS,1.33401,2.25421,1.80915,1.240497,
Diluted NI Availto Com Stockholders,1678352000.0,2811675000.0,2075593000.0,1373938000.0,
Net Income Common Stockholders,1678352000.0,2811675000.0,2075593000.0,1373938000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1678352000.0,2811675000.0,2075593000.0,1373938000.0,
Minority Interests,-825579000.0,-956130000.0,-800691000.0,-548065000.0,
Net Income Including Noncontrolling Interests,2503931000.0,3767805000.0,2876284000.0,1922003000.0,
Net Income Discontinuous Operations,470692000.0,867676000.0,,,
Net Income Continuous Operations,2033239000.0,2900129000.0,2876284000.0,1922003000.0,
Tax Provision,421765000.0,-156824000.0,158505000.0,770734000.0,
Pretax Income,2455004000.0,2743305000.0,3034789000.0,2692737000.0,
Special Income Charges,-4117101000.0,-767543000.0,-647260000.0,-467780000.0,
Other Special Charges,607709000.0,455798000.0,490856000.0,467780000.0,
Write Off,3509392000.0,311745000.0,156404000.0,0.0,
Net Non Operating Interest Income Expense,-3599851000.0,-3324513000.0,-3208409000.0,-1641838000.0,
Total Other Finance Cost,157455000.0,346271000.0,179969000.0,6018000.0,
Interest Expense Non Operating,4975134000.0,4021005000.0,4238774000.0,2755932000.0,
Interest Income Non Operating,1532738000.0,1042763000.0,1210334000.0,1120112000.0,
Operating Income,10825603000.0,7573098000.0,8220750000.0,5445168000.0,
Operating Expense,-39030000.0,1767029000.0,2423022000.0,2206563000.0,
Other Operating Expenses,1268464000.0,948069000.0,935395000.0,865741000.0,
Depreciation And Amortization In Income Statement,1327751000.0,590517000.0,769200000.0,669877000.0,
Amortization,,,,,314779000.0
Depreciation Income Statement,1327751000.0,590517000.0,769200000.0,669877000.0,
Selling General And Administration,1639727000.0,1771275000.0,1311030000.0,993243000.0,
Selling And Marketing Expense,972236000.0,1046804000.0,776202000.0,602643000.0,
General And Administrative Expense,667491000.0,724471000.0,534828000.0,390600000.0,
Gross Profit,10786573000.0,9340127000.0,10643772000.0,7651731000.0,
Cost Of Revenue,38466548000.0,32222987000.0,28842545000.0,18565736000.0,
Total Revenue,49253121000.0,41563114000.0,39486317000.0,26217467000.0,
Operating Revenue,49253121000.0,41563114000.0,39486317000.0,26217467000.0,
