,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1627705000.0,1442373000.0,1025493000.0,574047000.0,
Repurchase Of Capital Stock,0.0,-20915000.0,-19491000.0,0.0,
Repayment Of Debt,-221952000.0,-931304000.0,-695299000.0,-320207000.0,
Issuance Of Debt,116126000.0,2240437000.0,500000000.0,700000000.0,
Issuance Of Capital Stock,,0.0,111000.0,847493000.0,5050000.0
Capital Expenditure,-506070000.0,-488115000.0,-413811000.0,-413086000.0,
End Cash Position,21772000.0,21788000.0,21920000.0,17256000.0,
Beginning Cash Position,21788000.0,21920000.0,17256000.0,33722000.0,
Changes In Cash,-16000.0,-132000.0,4664000.0,-16466000.0,
Financing Cash Flow,-1617659000.0,126010000.0,-1417562000.0,380874000.0,
Net Other Financing Charges,-3714000.0,-5519000.0,13239000.0,-4585000.0,
Interest Paid Cff,-562446000.0,-411188000.0,-351343000.0,-270088000.0,
Cash Dividends Paid,-513055000.0,-343362000.0,-510109000.0,-337201000.0,
Common Stock Dividend Paid,-513055000.0,-343362000.0,-510109000.0,-337201000.0,
Net Common Stock Issuance,0.0,-20915000.0,-19380000.0,847493000.0,
Common Stock Payments,0.0,-20915000.0,-19491000.0,0.0,
Common Stock Issuance,,0.0,111000.0,847493000.0,5050000.0
Net Issuance Payments Of Debt,-105826000.0,1309133000.0,-195299000.0,379793000.0,
Net Long Term Debt Issuance,-105826000.0,1309133000.0,-195299000.0,379793000.0,
Long Term Debt Payments,-221952000.0,-931304000.0,-695299000.0,-320207000.0,
Long Term Debt Issuance,116126000.0,2240437000.0,500000000.0,700000000.0,
Investing Cash Flow,-516132000.0,-2056630000.0,-17078000.0,-1384473000.0,
Net Other Investing Changes,,-24467000.0,-37459000.0,15140000.0,-84000.0
Dividends Received Cfi,0.0,0.0,0.0,,
Net Investment Purchase And Sale,170932000.0,-1388478000.0,383926000.0,-586171000.0,
Sale Of Investment,,,383926000.0,,255532000.0
Purchase Of Investment,,,-19491000.0,-586171000.0,
Net Business Purchase And Sale,-180994000.0,-155570000.0,50266000.0,-400356000.0,
Sale Of Business,,0.0,176531000.0,,
Purchase Of Business,-180994000.0,-155570000.0,-126265000.0,-400356000.0,
Net PPE Purchase And Sale,-506070000.0,-488115000.0,-413811000.0,-413086000.0,
Purchase Of PPE,-506070000.0,-488115000.0,-413811000.0,-413086000.0,
Operating Cash Flow,2133775000.0,1930488000.0,1439304000.0,987133000.0,
Taxes Refund Paid,-76212000.0,-105091000.0,-126481000.0,-189142000.0,
Change In Working Capital,-284243000.0,-198693000.0,-340296000.0,-203849000.0,
Change In Other Current Liabilities,-62072000.0,-64280000.0,-61792000.0,-25307000.0,
Change In Other Current Assets,-21421000.0,-7877000.0,17901000.0,604000.0,
Change In Payable,79178000.0,80079000.0,4422000.0,5331000.0,
Change In Prepaid Assets,,,,,870000.0
Change In Inventory,-23943000.0,-19834000.0,3199000.0,-23966000.0,
Change In Receivables,-255985000.0,-186781000.0,-304026000.0,-160511000.0,
Other Non Cash Items,531965000.0,412791000.0,521200000.0,394325000.0,
Stock Based Compensation,29046000.0,21865000.0,18253000.0,16346000.0,
Provisionand Write Offof Assets,263630000.0,225926000.0,152377000.0,47253000.0,
Deferred Tax,159048000.0,185806000.0,118208000.0,100961000.0,
Depreciation And Amortization,900311000.0,779983000.0,675378000.0,455339000.0,
Amortization Cash Flow,320047000.0,234175000.0,185589000.0,119465000.0,
Depreciation,580264000.0,545808000.0,489789000.0,335874000.0,
Net Income From Continuing Operations,596671000.0,603654000.0,420823000.0,308731000.0,
