,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-4759594.0,-106146.635863,-1047395.0,2012296.389597,-2785919.584238,
Tax Rate For Calcs,0.218,0.042888,0.235,0.234999,0.235,
Normalized EBITDA,680960000.0,533049000.0,662243000.0,576675000.0,615506000.0,
Total Unusual Items,-21833000.0,-2475000.0,-4457000.0,8563000.0,-11855000.0,
Total Unusual Items Excluding Goodwill,-21833000.0,-2475000.0,-4457000.0,8563000.0,-11855000.0,
Net Income From Continuing Operation Net Minority Interest,201212000.0,96329000.0,184917000.0,152299000.0,179286000.0,
Reconciled Depreciation,233122000.0,236392000.0,229374000.0,222403000.0,212141000.0,
Reconciled Cost Of Revenue,1595052000.0,1570506000.0,1575129000.0,1496555000.0,1442955000.0,
EBITDA,659127000.0,530574000.0,657786000.0,585238000.0,603651000.0,
EBIT,426005000.0,294182000.0,428412000.0,362835000.0,391510000.0,
Net Interest Income,-178870000.0,-131347000.0,-125678000.0,-119268000.0,-169212000.0,
Interest Expense,173252000.0,195925000.0,192259000.0,173881000.0,161667000.0,
Interest Income,,84537000.0,87334000.0,77531000.0,6747000.0,66571000.0
Normalized Income,218285406.0,98697853.364137,188326605.0,145748296.389597,188355080.415762,
Net Income From Continuing And Discontinued Operation,201212000.0,96329000.0,184917000.0,152299000.0,179286000.0,
Total Expenses,1839464000.0,1823357000.0,1820998000.0,1722098000.0,1677281000.0,
Rent Expense Supplemental,285077000.0,279230000.0,290252000.0,268355000.0,260595000.0,
Total Operating Income As Reported,367813000.0,214641000.0,366383000.0,306911000.0,333213000.0,
Diluted Average Shares,544970225.0,,545015471.0,545015471.0,545015471.0,
Basic Average Shares,544970225.0,,545015471.0,545015471.0,545015471.0,
Diluted EPS,0.37,,0.339288,0.27944,0.328956,
Basic EPS,0.37,,0.339288,0.27944,0.328956,
Diluted NI Availto Com Stockholders,201212000.0,96329000.0,184917000.0,152299000.0,179286000.0,
Net Income Common Stockholders,201212000.0,96329000.0,184917000.0,152299000.0,179286000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,201212000.0,96329000.0,184917000.0,152299000.0,179286000.0,
Minority Interests,3559000.0,2286000.0,2669000.0,7749000.0,3456000.0,
Net Income Including Noncontrolling Interests,197653000.0,94043000.0,182248000.0,144550000.0,175830000.0,
Net Income Continuous Operations,197653000.0,94043000.0,182248000.0,144550000.0,175830000.0,
Tax Provision,55100000.0,4214000.0,53905000.0,44404000.0,54013000.0,
Pretax Income,252753000.0,98257000.0,236153000.0,188954000.0,229843000.0,
Special Income Charges,-19588000.0,-2501000.0,-3269000.0,9158000.0,-10317000.0,
Other Special Charges,3335000.0,6421000.0,-1115000.0,-5776000.0,1177000.0,
Write Off,4336000.0,-3920000.0,4384000.0,-3382000.0,-409000.0,
Restructuring And Mergern Acquisition,11917000.0,,,,9549000.0,
Net Non Operating Interest Income Expense,-178870000.0,-131347000.0,-125678000.0,-119268000.0,-169212000.0,
Total Other Finance Cost,5618000.0,19959000.0,20753000.0,22918000.0,7545000.0,
Interest Expense Non Operating,173252000.0,195925000.0,192259000.0,173881000.0,161667000.0,
Interest Income Non Operating,,84537000.0,87334000.0,77531000.0,6747000.0,66571000.0
Operating Income,383654000.0,237240000.0,369981000.0,302435000.0,337792000.0,
Operating Expense,244412000.0,252851000.0,245869000.0,225543000.0,234326000.0,
Other Operating Expenses,-1671000.0,15433000.0,7321000.0,5170000.0,1624000.0,
Depreciation And Amortization In Income Statement,55713000.0,,,,51268000.0,47620000.0
Depreciation Income Statement,55713000.0,,,,51268000.0,47620000.0
Selling General And Administration,61090000.0,-452377000.0,238548000.0,220373000.0,57770000.0,
Selling And Marketing Expense,16506000.0,-54835000.0,38133000.0,41424000.0,14008000.0,
General And Administrative Expense,44584000.0,-397542000.0,200415000.0,178949000.0,43762000.0,
Gross Profit,628066000.0,490091000.0,615850000.0,527978000.0,572118000.0,
Cost Of Revenue,1595052000.0,1570506000.0,1575129000.0,1496555000.0,1442955000.0,
Total Revenue,2223118000.0,2060597000.0,2190979000.0,2024533000.0,2015073000.0,
Operating Revenue,2223118000.0,2060597000.0,2190979000.0,2024533000.0,2015073000.0,
