,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1339551000.0,-51859000.0,903816000.0,-189207000.0,
Repayment Of Debt,-701030000.0,-313612000.0,-161210000.0,-199192000.0,
Issuance Of Debt,2331186000.0,500156000.0,94734000.0,157686000.0,
Issuance Of Capital Stock,247650000.0,0.0,0.0,629400000.0,
Capital Expenditure,-190491000.0,-165843000.0,-133700000.0,-84136000.0,
End Cash Position,1316248000.0,844881000.0,1050412000.0,567855000.0,
Beginning Cash Position,844881000.0,1050412000.0,567855000.0,363599000.0,
Effect Of Exchange Rate Changes,-83342000.0,0.0,,,
Changes In Cash,554709000.0,-205531000.0,482557000.0,204256000.0,
Financing Cash Flow,1305482000.0,-118433000.0,-318571000.0,396708000.0,
Interest Paid Cff,-494594000.0,-265733000.0,-220080000.0,-164523000.0,
Net Common Stock Issuance,247650000.0,0.0,0.0,629400000.0,
Common Stock Issuance,247650000.0,0.0,0.0,629400000.0,
Net Issuance Payments Of Debt,1630156000.0,186544000.0,-66476000.0,-41506000.0,
Net Long Term Debt Issuance,1630156000.0,186544000.0,-66476000.0,-41506000.0,
Long Term Debt Payments,-701030000.0,-313612000.0,-161210000.0,-199192000.0,
Long Term Debt Issuance,2331186000.0,500156000.0,94734000.0,157686000.0,
Investing Cash Flow,-2280815000.0,-201082000.0,-236388000.0,-87381000.0,
Dividends Received Cfi,,0.0,0.0,0.0,0.0
Net Business Purchase And Sale,-2090324000.0,-35239000.0,-102688000.0,-3245000.0,
Purchase Of Business,-2090324000.0,-35239000.0,-102688000.0,-3245000.0,
Net Intangibles Purchase And Sale,-13034000.0,-5976000.0,,,
Purchase Of Intangibles,-13034000.0,-5976000.0,,,
Net PPE Purchase And Sale,-177457000.0,-159867000.0,-133700000.0,-84136000.0,
Purchase Of PPE,-177457000.0,-159867000.0,-133700000.0,-84136000.0,
Operating Cash Flow,1530042000.0,113984000.0,1037516000.0,-105071000.0,
Taxes Refund Paid,,-92092000.0,-55894000.0,-18662000.0,-39303000.0
Change In Working Capital,585906000.0,-715640000.0,423523000.0,-512139000.0,
Change In Other Current Assets,488209000.0,-617351000.0,493775000.0,-495819000.0,
Change In Payable,-216131000.0,90543000.0,-88165000.0,-18690000.0,
Change In Inventory,233123000.0,-290695000.0,115724000.0,-37024000.0,
Change In Receivables,80705000.0,101863000.0,-97811000.0,39394000.0,
Other Non Cash Items,321067000.0,39337000.0,-39262000.0,-52397000.0,
Provisionand Write Offof Assets,13120000.0,16835000.0,879000.0,8184000.0,
Deferred Tax,37731000.0,168597000.0,137950000.0,45512000.0,
Depreciation And Amortization,246009000.0,158712000.0,124695000.0,120079000.0,
Amortization Cash Flow,44332000.0,34374000.0,36287000.0,,
Depreciation,201677000.0,124338000.0,88408000.0,120079000.0,
Gain Loss On Investment Securities,662000.0,-662000.0,300000.0,7137000.0,
Net Foreign Currency Exchange Gain Loss,20763000.0,55319000.0,106012000.0,84327000.0,
Gain Loss On Sale Of Business,-7999000.0,-2472000.0,-57620000.0,5960000.0,
Net Income From Continuing Operations,283166000.0,374703000.0,388732000.0,203329000.0,
