,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-688077.6,-14936334.997239,3016826.1,-35116.8,
Tax Rate For Calcs,0.1176,0.31032,0.2619,0.1829,
Normalized EBITDA,897101000.0,880484000.0,748952000.0,481126000.0,
Total Unusual Items,-5851000.0,-48132000.0,11519000.0,-192000.0,
Total Unusual Items Excluding Goodwill,-5851000.0,-48132000.0,11519000.0,-192000.0,
Net Income From Continuing Operation Net Minority Interest,276895000.0,367742000.0,377385000.0,204838000.0,
Reconciled Depreciation,246009000.0,158712000.0,124695000.0,120079000.0,
Reconciled Cost Of Revenue,3694967000.0,2635267000.0,2250056000.0,2154694000.0,
EBITDA,891250000.0,832352000.0,760471000.0,480934000.0,
EBIT,645241000.0,673640000.0,635776000.0,360855000.0,
Net Interest Income,-431679000.0,-125237000.0,-115885000.0,-136333000.0,
Interest Expense,324344000.0,130340000.0,109094000.0,112014000.0,
Interest Income,,,19661000.0,17242000.0,4203000.0
Normalized Income,282057922.4,400937665.002761,368882826.1,204994883.2,
Net Income From Continuing And Discontinued Operation,276895000.0,367742000.0,377385000.0,204838000.0,
Total Expenses,4792081000.0,3404981000.0,2871280000.0,2731415000.0,
Rent Expense Supplemental,,30155000.0,19868000.0,20485000.0,
Total Operating Income As Reported,,519171000.0,542553000.0,333040000.0,
Diluted Average Shares,277335000.0,268017024.0,268016679.0,253304750.0,
Basic Average Shares,277335000.0,268017024.0,268016679.0,253304750.0,
Diluted EPS,0.9984,1.372084,1.408023,0.808669,
Basic EPS,0.9984,1.372084,1.408023,0.808669,
Diluted NI Availto Com Stockholders,276895000.0,367742000.0,377385000.0,204838000.0,
Net Income Common Stockholders,276895000.0,367742000.0,377385000.0,204838000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,276895000.0,367742000.0,377385000.0,204838000.0,
Minority Interests,-6271000.0,-6961000.0,-11347000.0,1509000.0,
Net Income Including Noncontrolling Interests,283166000.0,374703000.0,388732000.0,203329000.0,
Net Income Continuous Operations,283166000.0,374703000.0,388732000.0,203329000.0,
Tax Provision,37731000.0,168597000.0,137950000.0,45512000.0,
Pretax Income,320897000.0,543300000.0,526682000.0,248841000.0,
Other Non Operating Income Expenses,291000.0,2654000.0,2966000.0,248000.0,
Special Income Charges,-5851000.0,-48132000.0,11519000.0,6945000.0,
Other Special Charges,17891000.0,4976000.0,43863000.0,6158000.0,
Write Off,-16936000.0,6099000.0,2238000.0,-2834000.0,
Restructuring And Mergern Acquisition,4896000.0,37057000.0,-57620000.0,-10269000.0,
Net Non Operating Interest Income Expense,-431679000.0,-125237000.0,-115885000.0,-136333000.0,
Total Other Finance Cost,107335000.0,-5103000.0,6791000.0,41561000.0,
Interest Expense Non Operating,324344000.0,130340000.0,109094000.0,112014000.0,
Interest Income Non Operating,,,19661000.0,17242000.0,4203000.0
Operating Income,698797000.0,560795000.0,517377000.0,326756000.0,
Operating Expense,1097114000.0,769714000.0,621224000.0,576721000.0,
Other Operating Expenses,23558000.0,821000.0,25717000.0,30454000.0,
Selling General And Administration,1067115000.0,737482000.0,577928000.0,517218000.0,
Selling And Marketing Expense,563965000.0,404731000.0,313025000.0,291596000.0,
General And Administrative Expense,503150000.0,332751000.0,264903000.0,225622000.0,
Gross Profit,1795911000.0,1330509000.0,1138601000.0,903477000.0,
Cost Of Revenue,3694967000.0,2635267000.0,2250056000.0,2154694000.0,
Total Revenue,5490878000.0,3965776000.0,3388657000.0,3058171000.0,
Operating Revenue,5490878000.0,3965776000.0,3388657000.0,3058171000.0,
