,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-135324000.0,-44836000.0,-158818000.0,8483000.0,-3604000.0,
Repayment Of Debt,-56849000.0,-399043000.0,5197000.0,-131598000.0,-180700000.0,
Issuance Of Debt,118843000.0,420295000.0,76775000.0,167309000.0,95267000.0,
Issuance Of Capital Stock,69841000.0,27214000.0,88592000.0,0.0,0.0,
Capital Expenditure,-6229000.0,-2890000.0,-2017000.0,-1621000.0,-6917000.0,
End Cash Position,27406000.0,17650000.0,24507000.0,3312000.0,5951000.0,
Beginning Cash Position,17650000.0,24507000.0,3312000.0,5951000.0,8951000.0,
Effect Of Exchange Rate Changes,,,,,0.0,
Changes In Cash,9756000.0,-6857000.0,21195000.0,-2639000.0,-3000000.0,
Financing Cash Flow,131835000.0,39241000.0,170564000.0,35711000.0,-85433000.0,
Net Common Stock Issuance,69841000.0,27214000.0,88592000.0,0.0,0.0,
Common Stock Issuance,69841000.0,27214000.0,88592000.0,0.0,0.0,
Net Issuance Payments Of Debt,61994000.0,21252000.0,81972000.0,35711000.0,-85433000.0,
Net Long Term Debt Issuance,61994000.0,21252000.0,81972000.0,35711000.0,-85433000.0,
Long Term Debt Payments,-56849000.0,-399043000.0,5197000.0,-131598000.0,-180700000.0,
Long Term Debt Issuance,118843000.0,420295000.0,76775000.0,167309000.0,95267000.0,
Investing Cash Flow,7016000.0,-4152000.0,7432000.0,-48454000.0,79120000.0,
Net Investment Purchase And Sale,13245000.0,-1262000.0,9449000.0,-46833000.0,86037000.0,
Sale Of Investment,14390000.0,-1262000.0,29063000.0,-25394000.0,132332000.0,
Purchase Of Investment,-1145000.0,0.0,-19614000.0,-21439000.0,-46295000.0,
Net Business Purchase And Sale,,,,-132332000.0,132332000.0,
Sale Of Business,,,,-132332000.0,132332000.0,
Net PPE Purchase And Sale,-6229000.0,-2890000.0,-2017000.0,-1621000.0,-6917000.0,
Purchase Of PPE,-6229000.0,-2890000.0,-2017000.0,-1621000.0,-6917000.0,
Operating Cash Flow,-129095000.0,-41946000.0,-156801000.0,10104000.0,3313000.0,
Taxes Refund Paid,-898000.0,-791000.0,-2530000.0,-6397000.0,0.0,
Change In Working Capital,-142791000.0,253277000.0,-122939000.0,7066000.0,575000.0,
Change In Other Current Liabilities,-62772000.0,-36100000.0,-106641000.0,25682000.0,-19859000.0,
Change In Other Current Assets,-7554000.0,-90208000.0,-38002000.0,29882000.0,30120000.0,
Change In Accrued Expense,,-587000.0,,,,-4134000.0
Change In Payable,25098000.0,138258000.0,-85473000.0,58397000.0,30667000.0,
Change In Prepaid Assets,-1000.0,75000.0,-1000.0,0.0,1000.0,
Change In Inventory,-12829000.0,269675000.0,36386000.0,28154000.0,68518000.0,
Change In Receivables,-90281000.0,-27836000.0,71352000.0,-133068000.0,-109874000.0,
Other Non Cash Items,65589000.0,73759000.0,77043000.0,78169000.0,56064000.0,
Stock Based Compensation,,0.0,0.0,0.0,0.0,0.0
Provisionand Write Offof Assets,-5626000.0,-11341000.0,8994000.0,-273000.0,7213000.0,
Depreciation And Amortization,5275000.0,4011000.0,5101000.0,1227000.0,5159000.0,
Depreciation,5275000.0,4011000.0,5101000.0,1227000.0,5159000.0,
Gain Loss On Investment Securities,,-16175000.0,0.0,-76760000.0,-7566000.0,-170366000.0
Net Income From Continuing Operations,-44771000.0,-470757000.0,-89520000.0,9882000.0,-52685000.0,
