,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2024-12-31
Free Cash Flow,432478000.0,304157000.0,1629834000.0,1161985000.0,-685958000.0,
Repurchase Of Capital Stock,-104882000.0,-206391000.0,-183492000.0,-213318000.0,-491612000.0,
Repayment Of Debt,-297879000.0,-411392000.0,-4940131000.0,-400282000.0,-2970898000.0,
Issuance Of Debt,226763000.0,81443000.0,318675000.0,758595000.0,6894932000.0,
Capital Expenditure,-1102538000.0,-1205150000.0,-1517240000.0,-1763063000.0,-1700430000.0,
End Cash Position,5155232000.0,5275885000.0,5929170000.0,9389572000.0,8500933000.0,
Beginning Cash Position,5275885000.0,5929170000.0,9389572000.0,8500933000.0,6479544000.0,
Effect Of Exchange Rate Changes,-19344000.0,-238287000.0,310535000.0,-203071000.0,-240502000.0,
Changes In Cash,-101309000.0,-414998000.0,-3770937000.0,1091710000.0,2261891000.0,
Financing Cash Flow,-539010000.0,-723381000.0,-5378935000.0,-103292000.0,3171655000.0,
Cash Flow From Continuing Financing Activities,-539010000.0,-723381000.0,-5378935000.0,-103292000.0,3171655000.0,
Cash Dividends Paid,-363012000.0,-187041000.0,-573987000.0,-248287000.0,-260767000.0,
Net Common Stock Issuance,-104882000.0,-206391000.0,-183492000.0,-213318000.0,-491612000.0,
Common Stock Payments,-104882000.0,-206391000.0,-183492000.0,-213318000.0,-491612000.0,
Net Issuance Payments Of Debt,-71116000.0,-329949000.0,-4621456000.0,358313000.0,3924034000.0,
Net Long Term Debt Issuance,-71116000.0,-329949000.0,-4621456000.0,358313000.0,3924034000.0,
Long Term Debt Payments,-297879000.0,-411392000.0,-4940131000.0,-400282000.0,-2970898000.0,
Long Term Debt Issuance,226763000.0,81443000.0,318675000.0,758595000.0,6894932000.0,
Investing Cash Flow,-1097315000.0,-1200924000.0,-1539076000.0,-1730046000.0,-1924236000.0,
Cash Flow From Continuing Investing Activities,-1097315000.0,-1200924000.0,-1539076000.0,-1730046000.0,-1924236000.0,
Net Business Purchase And Sale,0.0,-89000.0,-25846000.0,-2636000.0,-240093000.0,
Sale Of Business,,,,,,0.0
Purchase Of Business,0.0,-89000.0,-25846000.0,-2636000.0,-240093000.0,
Net Intangibles Purchase And Sale,-38275000.0,-37175000.0,-47129000.0,-49704000.0,-41000000.0,
Purchase Of Intangibles,-38275000.0,-37175000.0,-47129000.0,-49704000.0,-41000000.0,
Net PPE Purchase And Sale,-1059040000.0,-1163660000.0,-1466101000.0,-1677706000.0,-1643143000.0,
Sale Of PPE,5223000.0,4315000.0,4010000.0,35653000.0,16287000.0,
Purchase Of PPE,-1064263000.0,-1167975000.0,-1470111000.0,-1713359000.0,-1659430000.0,
Operating Cash Flow,1535016000.0,1509307000.0,3147074000.0,2925048000.0,1014472000.0,
Cash Flow From Continuing Operating Activities,1535016000.0,,,,,
Taxes Refund Paid,-656777000.0,-92534000.0,-286789000.0,-60088000.0,-458083000.0,
Interest Paid Cfo,-630349000.0,-70633000.0,-862656000.0,-107135000.0,-498577000.0,
Dividend Received Cfo,269612000.0,18254000.0,209105000.0,-881000.0,7486000.0,
Change In Working Capital,-802537000.0,-1302080000.0,1858121000.0,406761000.0,-419893000.0,
Change In Payables And Accrued Expense,238358000.0,,,,,
Change In Payable,238358000.0,819728000.0,-354163000.0,32148000.0,-841246000.0,
Change In Account Payable,94886000.0,1136909000.0,-633538000.0,-72355000.0,-712356000.0,
Change In Inventory,-995524000.0,-874987000.0,794610000.0,496032000.0,170341000.0,
Change In Receivables,-45371000.0,-1246821000.0,1417674000.0,-121419000.0,251012000.0,
Changes In Account Receivables,-31944000.0,-1241781000.0,1207362000.0,-118867000.0,256365000.0,
Other Non Cash Items,339667000.0,445201000.0,361951000.0,380679000.0,285242000.0,
Provisionand Write Offof Assets,-8398000.0,-25257000.0,21364000.0,9562000.0,-9981000.0,
Asset Impairment Charge,17318000.0,28413000.0,1968224000.0,-50000.0,2631000.0,
Deferred Tax,599483000.0,550495000.0,111422000.0,375210000.0,231114000.0,
Deferred Income Tax,599483000.0,550495000.0,111422000.0,375210000.0,231114000.0,
Depreciation Amortization Depletion,920775000.0,902394000.0,935652000.0,937554000.0,936543000.0,
Depreciation And Amortization,920775000.0,902394000.0,935652000.0,937554000.0,936543000.0,
Operating Gains Losses,20176000.0,41699000.0,124423000.0,-106444000.0,73493000.0,
Pension And Employee Benefit Expense,98739000.0,114959000.0,82987000.0,109446000.0,109047000.0,
Earnings Losses From Equity Investments,-54632000.0,-82063000.0,28835000.0,-88744000.0,-26443000.0,
Gain Loss On Investment Securities,-1854000.0,18975000.0,-21970000.0,28740000.0,7294000.0,
Net Foreign Currency Exchange Gain Loss,-30779000.0,-15388000.0,-25836000.0,-150616000.0,-28074000.0,
Gain Loss On Sale Of PPE,8702000.0,5216000.0,60407000.0,-5270000.0,11669000.0,
Net Income From Continuing Operations,1466046000.0,1013355000.0,-1293743000.0,1089880000.0,864497000.0,
