,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,752350487.0,750009979.0,750009978.0,750009978.0,750009978.0,
Share Issued,752350487.0,750009979.0,750009978.0,750009978.0,750009978.0,
Net Debt,2377838000.0,2328375000.0,2084285000.0,2254430000.0,3593723000.0,
Total Debt,6265290000.0,6331829000.0,4957764000.0,5190911000.0,5367651000.0,
Tangible Book Value,410974000.0,188852000.0,186303000.0,-18614000.0,-52028000.0,
Invested Capital,10266039000.0,10171627000.0,8758110000.0,8691230000.0,8737607000.0,
Working Capital,6090100000.0,5797556000.0,4015165000.0,4187871000.0,4390607000.0,
Net Tangible Assets,410974000.0,188852000.0,186303000.0,-18614000.0,-52028000.0,
Capital Lease Obligations,121429000.0,110840000.0,96333000.0,237165000.0,300541000.0,
Common Stock Equity,4122178000.0,3950638000.0,3896679000.0,3737484000.0,3670497000.0,
Total Capitalization,10085139000.0,9960909000.0,7996563000.0,8024649000.0,8174874000.0,
Total Equity Gross Minority Interest,4150747000.0,3975941000.0,3913593000.0,3753886000.0,3685383000.0,
Minority Interest,28569000.0,25303000.0,16914000.0,16402000.0,14886000.0,
Stockholders Equity,4122178000.0,3950638000.0,3896679000.0,3737484000.0,3670497000.0,
Other Equity Interest,21074000.0,2486000.0,-13175000.0,-14773000.0,34577000.0,
Retained Earnings,738171000.0,615579000.0,1947437000.0,1793176000.0,1673899000.0,
Capital Stock,3372181000.0,3332791000.0,1961116000.0,1961116000.0,1961116000.0,
Common Stock,3372181000.0,3332791000.0,1961116000.0,1961116000.0,1961116000.0,
Total Liabilities Net Minority Interest,11480667000.0,11645303000.0,10458592000.0,10463186000.0,10796779000.0,
Total Non Current Liabilities Net Minority Interest,8757708000.0,8713923000.0,6891494000.0,7309457000.0,7518249000.0,
Other Non Current Liabilities,41303000.0,40039000.0,32745000.0,174611000.0,200628000.0,
Derivative Product Liabilities,3679000.0,0.0,1533000.0,,,0.0
Tradeand Other Payables Non Current,67675000.0,68461000.0,81838000.0,90173000.0,95190000.0,
Long Term Debt And Capital Lease Obligation,6048205000.0,6085028000.0,4162851000.0,4459672000.0,4731541000.0,
Long Term Capital Lease Obligation,85244000.0,74757000.0,62967000.0,172507000.0,227164000.0,
Long Term Debt,5962961000.0,6010271000.0,4099884000.0,4287165000.0,4504377000.0,
Long Term Provisions,2596846000.0,2520395000.0,2612527000.0,2585001000.0,2490890000.0,
Current Liabilities,2722959000.0,2931380000.0,3567098000.0,3153729000.0,3278530000.0,
Other Current Liabilities,149192000.0,177085000.0,202190000.0,61255000.0,248399000.0,
Current Debt And Capital Lease Obligation,217085000.0,246801000.0,794913000.0,731239000.0,636110000.0,
