,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-18450222.0,1697831.716805,0.0,0.0,-20997680.4,
Tax Rate For Calcs,0.3242,0.283634,0.0,0.317337,0.2796,
Normalized EBITDA,604158000.0,743704000.0,640890000.0,584015000.0,595589000.0,
Total Unusual Items,-56910000.0,5986000.0,,,-75099000.0,104124000.0
Total Unusual Items Excluding Goodwill,-56910000.0,5986000.0,,,-75099000.0,104124000.0
Net Income From Continuing Operation Net Minority Interest,122592000.0,262066000.0,154260000.0,121699000.0,145997000.0,
Reconciled Depreciation,101411000.0,100536000.0,101233000.0,109117000.0,108903000.0,
Reconciled Cost Of Revenue,3813385000.0,3767596000.0,3804200000.0,3689258000.0,3493833000.0,
EBITDA,547248000.0,749690000.0,640890000.0,584015000.0,520490000.0,
EBIT,445837000.0,649154000.0,539657000.0,474898000.0,411587000.0,
Net Interest Income,-251119000.0,-176695000.0,-147502000.0,-134915000.0,-186427000.0,
Interest Expense,260732000.0,279741000.0,328158000.0,292893000.0,205944000.0,
Interest Income,3188000.0,65483000.0,180656000.0,157978000.0,3204000.0,
Normalized Income,161051778.0,257777831.716805,154260000.0,121699000.0,200098319.6,
Net Income From Continuing And Discontinued Operation,122592000.0,262066000.0,154260000.0,121699000.0,145997000.0,
Total Expenses,4152247000.0,3989868000.0,4103323000.0,3981452000.0,3789896000.0,
Diluted Average Shares,750097427.0,689473684.0,741465973.0,748708640.0,675312970.0,
Basic Average Shares,750097427.0,689473684.0,741465973.0,748708640.0,675312970.0,
Diluted EPS,0.16,0.38,0.207697,0.162545,0.22,
Basic EPS,0.16,0.38,0.207697,0.162545,0.22,
Diluted NI Availto Com Stockholders,122592000.0,262066000.0,154260000.0,121699000.0,145997000.0,
Net Income Common Stockholders,122592000.0,262066000.0,154260000.0,121699000.0,145997000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,122592000.0,262066000.0,154260000.0,121699000.0,145997000.0,
Minority Interests,-2508000.0,-2569000.0,-2864000.0,-2549000.0,-2139000.0,
Net Income Including Noncontrolling Interests,125100000.0,264635000.0,157124000.0,124248000.0,148136000.0,
Net Income Continuous Operations,125100000.0,264635000.0,157124000.0,124248000.0,148136000.0,
Tax Provision,60005000.0,104778000.0,54375000.0,57757000.0,57507000.0,
Pretax Income,185105000.0,369413000.0,211499000.0,182005000.0,205643000.0,
Net Non Operating Interest Income Expense,-251119000.0,-176695000.0,-147502000.0,-134915000.0,-186427000.0,
Total Other Finance Cost,-6425000.0,-37563000.0,,,-16313000.0,-19975000.0
Interest Expense Non Operating,260732000.0,279741000.0,328158000.0,292893000.0,205944000.0,
Interest Income Non Operating,3188000.0,65483000.0,180656000.0,157978000.0,3204000.0,
Operating Income,331637000.0,428508000.0,359001000.0,316920000.0,314191000.0,
Operating Expense,338862000.0,222272000.0,299123000.0,292194000.0,296063000.0,
Other Operating Expenses,54256000.0,-62253000.0,57893000.0,78804000.0,86081000.0,
Selling General And Administration,286249000.0,436405000.0,256775000.0,261081000.0,253491000.0,
General And Administrative Expense,286249000.0,436405000.0,256775000.0,261081000.0,253491000.0,
Gross Profit,670499000.0,650780000.0,658124000.0,609114000.0,610254000.0,
Cost Of Revenue,3813385000.0,3767596000.0,3804200000.0,3689258000.0,3493833000.0,
Total Revenue,4483884000.0,4418376000.0,4462324000.0,4298372000.0,4104087000.0,
Operating Revenue,4483884000.0,4418376000.0,4462324000.0,4298372000.0,4104087000.0,
