,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,814496000.0,192344000.0,-258245000.0,107248000.0,
Repurchase Of Capital Stock,-33210000.0,-10818000.0,-7465000.0,0.0,
Repayment Of Debt,-658056000.0,-500344000.0,-195462000.0,-222120000.0,
Issuance Of Debt,391778000.0,962076000.0,86595000.0,944512000.0,
Issuance Of Capital Stock,12934000.0,9703000.0,3275000.0,,0.0
Capital Expenditure,-1145137000.0,-1268652000.0,-1212623000.0,-870530000.0,
End Cash Position,1801712000.0,1664167000.0,1289138000.0,1795647000.0,
Beginning Cash Position,1664167000.0,1289138000.0,1795647000.0,877255000.0,
Changes In Cash,137545000.0,375029000.0,-506509000.0,918392000.0,
Financing Cash Flow,-943793000.0,47243000.0,-384834000.0,540179000.0,
Net Other Financing Charges,-19291000.0,18524000.0,6088000.0,5490000.0,
Interest Paid Cff,-145544000.0,-81047000.0,0.0,,
Net Common Stock Issuance,-20276000.0,-1115000.0,-4190000.0,0.0,
Common Stock Payments,-33210000.0,-10818000.0,-7465000.0,0.0,
Common Stock Issuance,12934000.0,9703000.0,3275000.0,,0.0
Net Issuance Payments Of Debt,-266278000.0,461732000.0,-108867000.0,722392000.0,
Net Long Term Debt Issuance,-266278000.0,461732000.0,-108867000.0,722392000.0,
Long Term Debt Payments,-658056000.0,-500344000.0,-195462000.0,-222120000.0,
Long Term Debt Issuance,391778000.0,962076000.0,86595000.0,944512000.0,
Investing Cash Flow,-878295000.0,-1133210000.0,-1076053000.0,-599565000.0,
Net Investment Purchase And Sale,180436000.0,-23070000.0,-18612000.0,1563000.0,
Sale Of Investment,193136000.0,836000.0,626000.0,1563000.0,
Purchase Of Investment,-12700000.0,-23906000.0,-19238000.0,,
Net Business Purchase And Sale,-35284000.0,0.0,,0.0,0.0
Purchase Of Business,-35284000.0,0.0,,0.0,0.0
Net Intangibles Purchase And Sale,-29740000.0,-31726000.0,-32331000.0,-2159000.0,
Purchase Of Intangibles,-29740000.0,-31726000.0,-32331000.0,-2159000.0,
Net PPE Purchase And Sale,-993707000.0,-1078414000.0,-1025110000.0,-598969000.0,
Sale Of PPE,121690000.0,158512000.0,155182000.0,269402000.0,
Purchase Of PPE,-1115397000.0,-1236926000.0,-1180292000.0,-868371000.0,
Operating Cash Flow,1959633000.0,1460996000.0,954378000.0,977778000.0,
Taxes Refund Paid,-325084000.0,-84340000.0,-42650000.0,-23519000.0,
Interest Paid Cfo,-107117000.0,-179053000.0,-143167000.0,-69734000.0,
Change In Working Capital,-154823000.0,-797890000.0,-928821000.0,-646812000.0,
Change In Other Current Liabilities,27818000.0,283731000.0,48560000.0,21309000.0,
Change In Other Current Assets,-145849000.0,-147365000.0,-73492000.0,-96973000.0,
Change In Payable,650543000.0,47799000.0,1029516000.0,920036000.0,
Change In Inventory,235925000.0,-865211000.0,-1112770000.0,-510277000.0,
Change In Receivables,-1264478000.0,-89656000.0,-994329000.0,-1091082000.0,
Other Non Cash Items,803295000.0,419857000.0,367638000.0,246692000.0,
Provisionand Write Offof Assets,-122695000.0,300011000.0,63459000.0,52580000.0,
Depreciation And Amortization,539596000.0,376746000.0,353392000.0,329168000.0,
Depreciation,539596000.0,376746000.0,353392000.0,329168000.0,
Gain Loss On Investment Securities,,,7239000.0,1089000.0,
Gain Loss On Sale Of PPE,-18908000.0,1133000.0,7239000.0,1089000.0,
Net Income From Continuing Operations,1345369000.0,1424532000.0,1277288000.0,1088314000.0,
