,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.34,0.34,0.087705,0.077
Normalized EBITDA,521825000.0,186942000.0,789094000.0,670093000.0,557682000.0
Net Income From Continuing Operation Net Minority Interest,212881000.0,324265000.0,850546000.0,343597000.0,272263000.0
Reconciled Depreciation,158449000.0,159044000.0,162165000.0,113093000.0,105294000.0
Reconciled Cost Of Revenue,7251758000.0,8175218000.0,8470764000.0,6756571000.0,6478662000.0
EBITDA,521825000.0,186942000.0,789094000.0,670093000.0,557682000.0
EBIT,363375000.0,27898000.0,626928000.0,557000000.0,452388000.0
Net Interest Income,-222136000.0,-306763000.0,-218549000.0,-209055000.0,-181253000.0
Interest Expense,200917000.0,-118795000.0,174420000.0,174230000.0,153003000.0
Interest Income,61047000.0,54193000.0,52552000.0,27748000.0,33869000.0
Normalized Income,212881000.0,324265000.0,850546000.0,343597000.0,272263000.0
Net Income From Continuing And Discontinued Operation,212881000.0,324265000.0,850546000.0,343597000.0,272263000.0
Total Expenses,9017676000.0,10096466000.0,10092483000.0,8187811000.0,7850667000.0
Rent Expense Supplemental,49113000.0,43292000.0,47137000.0,32136000.0,38272000.0
Total Operating Income As Reported,,453456000.0,671057000.0,591825000.0,
Diluted Average Shares,2271722000.0,2244824887.0,2244824887.0,2247074887.0,2245714887.0
Basic Average Shares,2271722000.0,2244824887.0,2244824887.0,2247074887.0,2245714887.0
Diluted EPS,0.09,0.14445,0.378892,0.155402,0.141856
Basic EPS,0.09,0.14445,0.378892,0.155402,0.141856
Diluted NI Availto Com Stockholders,212881000.0,324265000.0,850546000.0,343597000.0,272263000.0
Net Income Common Stockholders,212881000.0,324265000.0,850546000.0,343597000.0,272263000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,212881000.0,324265000.0,850546000.0,343597000.0,272263000.0
Minority Interests,21959000.0,-18687000.0,3973000.0,-5602000.0,-4057000.0
Net Income Including Noncontrolling Interests,190922000.0,342952000.0,846573000.0,349199000.0,276320000.0
Net Income Continuous Operations,190922000.0,342952000.0,846573000.0,349199000.0,276320000.0
Tax Provision,-28464000.0,-196259000.0,-394065000.0,33571000.0,23065000.0
Pretax Income,162458000.0,146693000.0,452508000.0,382770000.0,299385000.0
Net Non Operating Interest Income Expense,-222136000.0,-306763000.0,-218549000.0,-209055000.0,-181253000.0
Total Other Finance Cost,82266000.0,479751000.0,96681000.0,62573000.0,62119000.0
Interest Expense Non Operating,200917000.0,-118795000.0,174420000.0,174230000.0,153003000.0
Interest Income Non Operating,61047000.0,54193000.0,52552000.0,27748000.0,33869000.0
Operating Income,384594000.0,453458000.0,671055000.0,591825000.0,480638000.0
Operating Expense,1765918000.0,1921248000.0,1621719000.0,1431240000.0,1372005000.0
Other Operating Expenses,73446000.0,120005000.0,-76099000.0,64778000.0,58138000.0
Depreciation And Amortization In Income Statement,158450000.0,159043000.0,162166000.0,113093000.0,105294000.0
Depreciation Income Statement,158450000.0,159043000.0,162166000.0,113093000.0,105294000.0
Selling General And Administration,606402000.0,671575000.0,573484000.0,485721000.0,454331000.0
Selling And Marketing Expense,267662000.0,227369000.0,225196000.0,184578000.0,220547000.0
General And Administrative Expense,338740000.0,444206000.0,348288000.0,301143000.0,233784000.0
Rent And Landing Fees,49113000.0,43292000.0,47137000.0,32136000.0,38272000.0
Gross Profit,2150512000.0,2374706000.0,2292774000.0,2023065000.0,1852643000.0
Cost Of Revenue,7251758000.0,8175218000.0,8470764000.0,6756571000.0,6478662000.0
Total Revenue,9402270000.0,10549924000.0,10763538000.0,8779636000.0,8331305000.0
Operating Revenue,9402270000.0,10549924000.0,10763538000.0,8779636000.0,8331305000.0
