,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,421330000.0,515357000.0,613849000.0,362944000.0
Repurchase Of Capital Stock,-4836000.0,-3036000.0,0.0,-3429000.0
Repayment Of Debt,-402350000.0,-400324000.0,-433744000.0,-434096000.0
Issuance Of Debt,409173000.0,372963000.0,421786000.0,412232000.0
Issuance Of Capital Stock,3681000.0,1977000.0,2027000.0,1058000.0
Capital Expenditure,-136367000.0,-187381000.0,-122876000.0,-173134000.0
End Cash Position,70158000.0,76109000.0,73735000.0,127409000.0
Beginning Cash Position,76109000.0,73735000.0,127409000.0,22146000.0
Changes In Cash,-5951000.0,2374000.0,-53674000.0,105263000.0
Financing Cash Flow,-551566000.0,-398421000.0,-1263639000.0,-302429000.0
Interest Paid Cff,-215645000.0,-150584000.0,-132305000.0,-164562000.0
Cash Dividends Paid,-341589000.0,-219417000.0,-1121403000.0,-113632000.0
Common Stock Dividend Paid,-341589000.0,-219417000.0,-1121403000.0,-113632000.0
Net Common Stock Issuance,-1155000.0,-1059000.0,2027000.0,-2371000.0
Common Stock Payments,-4836000.0,-3036000.0,0.0,-3429000.0
Common Stock Issuance,3681000.0,1977000.0,2027000.0,1058000.0
Net Issuance Payments Of Debt,6823000.0,-27361000.0,-11958000.0,-21864000.0
Net Long Term Debt Issuance,6823000.0,-27361000.0,-11958000.0,-21864000.0
Long Term Debt Payments,-402350000.0,-400324000.0,-433744000.0,-434096000.0
Long Term Debt Issuance,409173000.0,372963000.0,421786000.0,412232000.0
Investing Cash Flow,-12082000.0,-301943000.0,473240000.0,-128386000.0
Interest Received Cfi,240388000.0,176513000.0,90501000.0,228852000.0
Net Investment Purchase And Sale,119679000.0,-357676000.0,557166000.0,-85919000.0
Sale Of Investment,2773390000.0,2162780000.0,1856857000.0,3722945000.0
Purchase Of Investment,-2653711000.0,-2520456000.0,-1299691000.0,-3808864000.0
Net Business Purchase And Sale,-235782000.0,66601000.0,-51551000.0,-98185000.0
Sale Of Business,31183000.0,76106000.0,37130000.0,10328000.0
Purchase Of Business,-266965000.0,-9505000.0,-88681000.0,-108513000.0
Net PPE Purchase And Sale,-136367000.0,-187381000.0,-122876000.0,-173134000.0
Purchase Of PPE,-136367000.0,-187381000.0,-122876000.0,-173134000.0
Operating Cash Flow,557697000.0,702738000.0,736725000.0,536078000.0
Taxes Refund Paid,-461000.0,-2285000.0,163000.0,-1909000.0
Change In Working Capital,138790000.0,50495000.0,174290000.0,76954000.0
Change In Other Current Assets,-14731000.0,16107000.0,-8052000.0,1728000.0
Change In Accrued Expense,-16848000.0,20212000.0,14470000.0,14316000.0
Change In Payable,-41197000.0,30777000.0,-15098000.0,30227000.0
Change In Inventory,5954000.0,-141999000.0,55867000.0,84559000.0
Change In Receivables,205612000.0,125398000.0,127103000.0,-53876000.0
Other Non Cash Items,-224451000.0,-159056000.0,-172799000.0,-237259000.0
Stock Based Compensation,7222000.0,2755000.0,1602000.0,2974000.0
Provisionand Write Offof Assets,15008000.0,2177000.0,825000.0,301000.0
Deferred Tax,-4005000.0,28440000.0,1628000.0,-18049000.0
Depreciation And Amortization,100270000.0,84371000.0,95796000.0,93746000.0
Amortization Cash Flow,19099000.0,,10458000.0,8714000.0
Depreciation,81171000.0,84371000.0,85338000.0,85032000.0
Gain Loss On Investment Securities,-4502000.0,-8344000.0,18121000.0,-7353000.0
Net Foreign Currency Exchange Gain Loss,-12700000.0,24278000.0,-23835000.0,-16211000.0
Net Income From Continuing Operations,644808000.0,735236000.0,557671000.0,568027000.0
