,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-652143.8,-7257227.254388,0.0,0.0,268816.5,
Tax Rate For Calcs,0.0658,0.223018,0.306905,0.217721,0.0705,
Normalized EBITDA,57081000.0,82075000.0,38378000.0,44003000.0,58269000.0,
Total Unusual Items,-9911000.0,-32541000.0,,,3813000.0,518000.0
Total Unusual Items Excluding Goodwill,-9911000.0,-32541000.0,,,3813000.0,518000.0
Net Income From Continuing Operation Net Minority Interest,1930000.0,1579000.0,465000.0,1645000.0,7571000.0,
Reconciled Depreciation,4107000.0,3226000.0,3209000.0,1333000.0,6874000.0,
Reconciled Cost Of Revenue,246950000.0,217369000.0,161959000.0,194197000.0,204910000.0,
EBITDA,47170000.0,49534000.0,38378000.0,44003000.0,62082000.0,
EBIT,43063000.0,46308000.0,35169000.0,42670000.0,55208000.0,
Net Interest Income,-17939000.0,-3973000.0,-3680000.0,-2544000.0,-12106000.0,
Interest Expense,14056000.0,16566000.0,16401000.0,16678000.0,13790000.0,
Interest Income,5231000.0,12266000.0,12721000.0,14134000.0,4457000.0,
Net Income From Continuing And Discontinued Operation,1930000.0,1579000.0,465000.0,1645000.0,7571000.0,
Total Expenses,304283000.0,274388000.0,213874000.0,265318000.0,274424000.0,
Rent Expense Supplemental,919000.0,676000.0,,,707000.0,618000.0
Diluted Average Shares,132694000.0,,132857143.0,132661290.0,126183333.0,132671947.0
Basic Average Shares,132694000.0,,132857143.0,132661290.0,126183333.0,132671947.0
Diluted EPS,0.01454,,0.0035,0.0124,0.06,0.2399
Basic EPS,0.01454,,0.0035,0.0124,0.06,0.2399
Diluted NI Availto Com Stockholders,1930000.0,1579000.0,465000.0,1645000.0,7571000.0,
Net Income Common Stockholders,1930000.0,1579000.0,465000.0,1645000.0,7571000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,1930000.0,1579000.0,465000.0,1645000.0,7571000.0,
Minority Interests,-22279000.0,-21530000.0,-12543000.0,-18688000.0,-28007000.0,
Net Income Including Noncontrolling Interests,24209000.0,23109000.0,13008000.0,20333000.0,35578000.0,
Net Income Continuous Operations,24209000.0,23109000.0,13008000.0,20333000.0,35578000.0,
Tax Provision,4798000.0,6633000.0,5760000.0,5659000.0,5840000.0,
Pretax Income,29007000.0,29742000.0,18768000.0,25992000.0,41418000.0,
Special Income Charges,-9911000.0,-34790000.0,,,3813000.0,-1673000.0
Other Special Charges,9911000.0,34790000.0,,,-3813000.0,1673000.0
Net Non Operating Interest Income Expense,-17939000.0,-3973000.0,-3680000.0,-2544000.0,-12106000.0,
Total Other Finance Cost,9114000.0,-327000.0,,,2773000.0,-2878000.0
Interest Expense Non Operating,14056000.0,16566000.0,16401000.0,16678000.0,13790000.0,
Interest Income Non Operating,5231000.0,12266000.0,12721000.0,14134000.0,4457000.0,
Operating Income,42366000.0,36640000.0,18756000.0,20238000.0,24824000.0,
Operating Expense,57333000.0,57019000.0,51915000.0,71121000.0,69514000.0,
Other Operating Expenses,11759000.0,4754000.0,4072000.0,13088000.0,16537000.0,
Depreciation And Amortization In Income Statement,1247000.0,1325000.0,,,1788000.0,2037000.0
Depreciation Income Statement,1247000.0,1325000.0,,,1788000.0,2037000.0
Selling General And Administration,27282000.0,32877000.0,47843000.0,58033000.0,33077000.0,
Selling And Marketing Expense,19794000.0,23990000.0,17977000.0,28169000.0,25108000.0,
General And Administrative Expense,7488000.0,8887000.0,29866000.0,29864000.0,7969000.0,
Rent And Landing Fees,919000.0,676000.0,,,707000.0,618000.0
Gross Profit,99699000.0,93659000.0,70671000.0,91359000.0,94338000.0,
Cost Of Revenue,246950000.0,217369000.0,161959000.0,194197000.0,204910000.0,
Total Revenue,346649000.0,311028000.0,232630000.0,285556000.0,299248000.0,
Operating Revenue,346649000.0,311028000.0,232630000.0,285556000.0,299248000.0,
