,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-53637720.0,-15676380.0,-8647560.0,47967880.0,
Tax Rate For Calcs,0.34,0.34,0.34,0.34,
Normalized EBITDA,994690000.0,131711000.0,719535000.0,611715000.0,
Total Unusual Items,-157758000.0,-46107000.0,-25434000.0,141082000.0,
Total Unusual Items Excluding Goodwill,-157758000.0,-46107000.0,-25434000.0,141082000.0,
Net Income From Continuing Operation Net Minority Interest,60506000.0,-594622000.0,17599000.0,-8163000.0,
Reconciled Depreciation,371933000.0,373823000.0,346981000.0,356472000.0,
Reconciled Cost Of Revenue,1333041000.0,1162893000.0,1242478000.0,1149726000.0,
EBITDA,836932000.0,85604000.0,694101000.0,752797000.0,
EBIT,464999000.0,-288219000.0,347120000.0,396325000.0,
Net Interest Income,-277027000.0,-284085000.0,-271230000.0,-416686000.0,
Interest Expense,272656000.0,303154000.0,277366000.0,312580000.0,
Interest Income,85340000.0,43176000.0,30997000.0,11459000.0,
Normalized Income,164626280.0,-564191380.0,34385440.0,-101277120.0,
Net Income From Continuing And Discontinued Operation,-140918000.0,-569415000.0,17599000.0,-8163000.0,
Total Expenses,1694813000.0,1457167000.0,1538352000.0,1440008000.0,
Rent Expense Supplemental,,,,9140000.0,24813000.0
Diluted Average Shares,1160382000.0,809637121.0,825484173.0,825484173.0,
Basic Average Shares,1160382000.0,809637121.0,809637120.0,809637120.0,
Diluted EPS,-0.1214,-0.703341,0.021319,-0.010049,
Basic EPS,-0.1214,-0.703341,0.021695,-0.010049,
Diluted NI Availto Com Stockholders,-140918000.0,-569415000.0,17599000.0,-8163000.0,
Net Income Common Stockholders,-140918000.0,-569415000.0,17599000.0,-8163000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-140918000.0,-569415000.0,17599000.0,-8163000.0,
Net Income Including Noncontrolling Interests,-140918000.0,-569415000.0,17599000.0,-8163000.0,
Net Income Discontinuous Operations,-201424000.0,25207000.0,,,
Net Income Continuous Operations,60506000.0,-594622000.0,17599000.0,-8163000.0,
Tax Provision,131837000.0,3249000.0,52155000.0,91908000.0,
Pretax Income,192343000.0,-591373000.0,69754000.0,83745000.0,
Other Non Operating Income Expenses,,,,27169000.0,57516000.0
Special Income Charges,0.0,-88524000.0,0.0,-24740000.0,
Other Special Charges,,,,-9275000.0,-7188000.0
Write Off,0.0,88524000.0,0.0,24740000.0,
Restructuring And Mergern Acquisition,,,,0.0,-57140000.0
Net Non Operating Interest Income Expense,-277027000.0,-284085000.0,-271230000.0,-416686000.0,
Total Other Finance Cost,89711000.0,24107000.0,24861000.0,115565000.0,
Interest Expense Non Operating,272656000.0,303154000.0,277366000.0,312580000.0,
Interest Income Non Operating,85340000.0,43176000.0,30997000.0,11459000.0,
Operating Income,546286000.0,-24743000.0,385998000.0,327892000.0,
Operating Expense,361772000.0,294274000.0,295874000.0,290282000.0,
Other Operating Expenses,60404000.0,7618000.0,3322000.0,23602000.0,
Selling General And Administration,301368000.0,286656000.0,300075000.0,303124000.0,
General And Administrative Expense,301368000.0,286656000.0,300075000.0,303124000.0,
Gross Profit,908058000.0,269531000.0,681872000.0,618174000.0,
Cost Of Revenue,1333041000.0,1162893000.0,1242478000.0,1149726000.0,
Total Revenue,2241099000.0,1432424000.0,1924350000.0,1767900000.0,
Operating Revenue,2241099000.0,1432424000.0,1924350000.0,1767900000.0,
