,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,9578480.0,-11401220.0,-9634580.0,-2726880.0,
Tax Rate For Calcs,0.34,0.34,0.34,0.06,
Normalized EBITDA,2232794000.0,2263999000.0,2905273000.0,2811735000.0,
Total Unusual Items,28172000.0,-33533000.0,-28337000.0,-45448000.0,
Total Unusual Items Excluding Goodwill,28172000.0,-33533000.0,-28337000.0,-45448000.0,
Net Income From Continuing Operation Net Minority Interest,1196064000.0,1343115000.0,1648523000.0,1704750000.0,
Reconciled Depreciation,317223000.0,281055000.0,238312000.0,169101000.0,
Reconciled Cost Of Revenue,3153650000.0,3061467000.0,2919114000.0,2784831000.0,
EBITDA,2260966000.0,2230466000.0,2876936000.0,2766287000.0,
EBIT,1943743000.0,1949411000.0,2638624000.0,2597186000.0,
Net Interest Income,-1082120000.0,-1043615000.0,-1168886000.0,-1006373000.0,
Interest Expense,1043670000.0,970173000.0,1129149000.0,986082000.0,
Interest Income,47592000.0,35147000.0,58718000.0,70847000.0,
Normalized Income,1177470480.0,1365246780.0,1667225420.0,1747471120.0,
Net Income From Continuing And Discontinued Operation,1195369000.0,1340990000.0,1647960000.0,1696697000.0,
Total Expenses,5961108000.0,5646697000.0,5416740000.0,5087015000.0,
Diluted Average Shares,643053171.0,651081331.0,644353409.0,645676884.0,
Basic Average Shares,639123158.0,645791156.0,638965553.0,638713992.0,
Diluted EPS,1.870322,2.05963,2.557543,2.62778,
Basic EPS,1.870322,2.076512,2.579111,2.656426,
Diluted NI Availto Com Stockholders,1195369000.0,1340990000.0,1647960000.0,1696697000.0,
Net Income Common Stockholders,1195369000.0,1340990000.0,1647960000.0,1696697000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1195369000.0,1340990000.0,1647960000.0,1696697000.0,
Minority Interests,5237000.0,10115000.0,-2590000.0,-1702000.0,
Net Income Including Noncontrolling Interests,1190132000.0,1330875000.0,1650550000.0,1698399000.0,
Net Income Discontinuous Operations,-695000.0,-2125000.0,-563000.0,-8053000.0,
Net Income Continuous Operations,1190827000.0,1333000000.0,1651113000.0,1706452000.0,
Tax Provision,-290754000.0,-353762000.0,-141638000.0,-95348000.0,
Pretax Income,900073000.0,979238000.0,1509475000.0,1611104000.0,
Other Non Operating Income Expenses,,,,118000.0,4888000.0
Net Non Operating Interest Income Expense,-1082120000.0,-1043615000.0,-1168886000.0,-1006373000.0,
Total Other Finance Cost,86042000.0,108589000.0,98455000.0,91138000.0,
Interest Expense Non Operating,1043670000.0,970173000.0,1129149000.0,986082000.0,
Interest Income Non Operating,47592000.0,35147000.0,58718000.0,70847000.0,
Operating Income,1738049000.0,1795769000.0,2497918000.0,2459340000.0,
Operating Expense,2807458000.0,2585230000.0,2497626000.0,2302184000.0,
Other Operating Expenses,10526000.0,5702000.0,4878000.0,1874000.0,
Depreciation And Amortization In Income Statement,196938000.0,174629000.0,151811000.0,100815000.0,
Depreciation Income Statement,196938000.0,174629000.0,151811000.0,100815000.0,
Research And Development,134732000.0,145526000.0,169506000.0,159391000.0,
Selling General And Administration,2272094000.0,2125837000.0,1995067000.0,1852992000.0,
Selling And Marketing Expense,2198869000.0,2036552000.0,1910710000.0,1760186000.0,
General And Administrative Expense,73225000.0,89285000.0,84357000.0,92806000.0,
Gross Profit,4545507000.0,4380999000.0,4995544000.0,4761524000.0,
Cost Of Revenue,3153650000.0,3061467000.0,2919114000.0,2784831000.0,
Total Revenue,7699157000.0,7442466000.0,7914658000.0,7546355000.0,
Operating Revenue,7699157000.0,7442466000.0,7914658000.0,7546355000.0,
