,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,328860000.0,447107000.0,378103000.0,192739000.0,
Repurchase Of Capital Stock,-14947000.0,-59912000.0,-54031000.0,-11853000.0,
Repayment Of Debt,-233198000.0,-935201000.0,-915720000.0,-356686000.0,
Issuance Of Debt,700000000.0,1000000000.0,1167000000.0,0.0,
Issuance Of Capital Stock,,0.0,0.0,689702000.0,0.0
Capital Expenditure,,,,,-167010000.0
End Cash Position,36013000.0,49040000.0,59473000.0,52164000.0,
Beginning Cash Position,49040000.0,59473000.0,52164000.0,38930000.0,
Changes In Cash,-13027000.0,-10433000.0,7309000.0,13234000.0,
Financing Cash Flow,186367000.0,-194851000.0,87392000.0,231300000.0,
Net Other Financing Charges,-65748000.0,,,,
Cash Dividends Paid,-199740000.0,-199738000.0,-109857000.0,-89863000.0,
Net Common Stock Issuance,-14947000.0,-59912000.0,-54031000.0,677849000.0,
Common Stock Payments,-14947000.0,-59912000.0,-54031000.0,-11853000.0,
Common Stock Issuance,,0.0,0.0,689702000.0,0.0
Net Issuance Payments Of Debt,466802000.0,64799000.0,251280000.0,-356686000.0,
Net Long Term Debt Issuance,466802000.0,64799000.0,251280000.0,-356686000.0,
Long Term Debt Payments,-233198000.0,-935201000.0,-915720000.0,-356686000.0,
Long Term Debt Issuance,700000000.0,1000000000.0,1167000000.0,0.0,
Investing Cash Flow,-528254000.0,-262689000.0,-458186000.0,-410805000.0,
Net Other Investing Changes,-1104304000.0,-340006000.0,-919722000.0,-177665000.0,
Dividends Received Cfi,1625000.0,1519000.0,1548000.0,1615000.0,
Net Investment Purchase And Sale,264425000.0,-37515000.0,459988000.0,-228504000.0,
Sale Of Investment,264425000.0,,459988000.0,,120120000.0
Purchase Of Investment,,-37515000.0,,-228504000.0,
Net Business Purchase And Sale,0.0,-348000.0,0.0,-6251000.0,
Purchase Of Business,0.0,-348000.0,0.0,-6251000.0,
Net PPE Purchase And Sale,310000000.0,113661000.0,0.0,0.0,
Sale Of PPE,310000000.0,113661000.0,0.0,0.0,
Purchase Of PPE,,,,,-167010000.0
Operating Cash Flow,328860000.0,447107000.0,378103000.0,192739000.0,
Taxes Refund Paid,-97738000.0,-72624000.0,-77928000.0,-53430000.0,
Interest Paid Cfo,-501241000.0,-401302000.0,-411631000.0,-394663000.0,
Change In Working Capital,49956000.0,-22406000.0,-14171000.0,-89996000.0,
Change In Other Current Liabilities,,,,,-27053000.0
Change In Other Current Assets,-36559000.0,-37094000.0,-17635000.0,-12643000.0,
Change In Accrued Expense,,,,,-1437000.0
Change In Payable,177325000.0,44309000.0,61334000.0,22301000.0,
Change In Prepaid Assets,-1902000.0,39000.0,330000.0,2160000.0,
Change In Inventory,-12322000.0,1669000.0,6430000.0,-14696000.0,
Change In Receivables,-41002000.0,-9871000.0,-28984000.0,-71720000.0,
Other Non Cash Items,362928000.0,466141000.0,318342000.0,360295000.0,
Stock Based Compensation,18224000.0,15795000.0,14411000.0,13562000.0,
Provisionand Write Offof Assets,7819000.0,2378000.0,11382000.0,12739000.0,
Deferred Tax,7783000.0,-10690000.0,-20737000.0,-207974000.0,
Depreciation And Amortization,127300000.0,193898000.0,174376000.0,159030000.0,
Amortization Cash Flow,,,8447000.0,10097000.0,11825000.0
Depreciation,127300000.0,193898000.0,174376000.0,159030000.0,
Pension And Employee Benefit Expense,33135000.0,32708000.0,21884000.0,26949000.0,
Gain Loss On Investment Securities,,,10402000.0,323091000.0,320922000.0
Gain Loss On Sale Of PPE,-263766000.0,-168098000.0,9052000.0,25915000.0,
Net Income From Continuing Operations,582577000.0,399876000.0,308934000.0,12821000.0,
