,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,11672880.0,69833960.0,33927920.0,745387.5,
Tax Rate For Calcs,0.34,0.34,0.34,0.0195,
Normalized EBITDA,667317000.0,489362000.0,610498000.0,571998000.0,
Total Unusual Items,34332000.0,205394000.0,99788000.0,38225000.0,
Total Unusual Items Excluding Goodwill,34332000.0,205394000.0,99788000.0,38225000.0,
Net Income From Continuing Operation Net Minority Interest,482772000.0,528934000.0,544231000.0,480262000.0,
Reconciled Depreciation,116625000.0,97834000.0,79240000.0,69648000.0,
Reconciled Cost Of Revenue,3117798000.0,3293517000.0,2826669000.0,3031094000.0,
EBITDA,701649000.0,694756000.0,710286000.0,610223000.0,
EBIT,585024000.0,596922000.0,631046000.0,540575000.0,
Net Interest Income,98311000.0,53933000.0,-21456000.0,36580000.0,
Interest Expense,104835000.0,82087000.0,114352000.0,70512000.0,
Interest Income,26684000.0,16444000.0,7667000.0,4972000.0,
Normalized Income,460112880.0,393373960.0,478370920.0,442782387.5,
Net Income From Continuing And Discontinued Operation,482772000.0,528934000.0,544231000.0,480262000.0,
Total Expenses,4164326000.0,4346043000.0,3703281000.0,3875018000.0,
Total Operating Income As Reported,425152000.0,544317000.0,521325000.0,463374000.0,
Diluted Average Shares,327281610.0,327607049.0,327611110.0,327611110.0,
Basic Average Shares,327281610.0,327607049.0,327611110.0,327611110.0,
Diluted EPS,1.478033,1.61,1.66,1.46,
Basic EPS,1.478033,1.61,1.66,1.46,
Diluted NI Availto Com Stockholders,482772000.0,528934000.0,544231000.0,480262000.0,
Net Income Common Stockholders,482772000.0,528934000.0,544231000.0,480262000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,482772000.0,528934000.0,544231000.0,480262000.0,
Minority Interests,-961000.0,522000.0,-1327000.0,1014000.0,
Net Income Including Noncontrolling Interests,483733000.0,528412000.0,545558000.0,479248000.0,
Net Income Continuous Operations,483733000.0,528412000.0,545558000.0,479248000.0,
Tax Provision,-3544000.0,-13577000.0,-28864000.0,-9185000.0,
Pretax Income,480189000.0,514835000.0,516694000.0,470063000.0,
Special Income Charges,,,63933000.0,-4119000.0,-2270000.0
Other Special Charges,,,,4119000.0,2270000.0
Restructuring And Mergern Acquisition,,,-63933000.0,,
Net Non Operating Interest Income Expense,98311000.0,53933000.0,-21456000.0,36580000.0,
Total Other Finance Cost,-176462000.0,-119576000.0,-85229000.0,-102120000.0,
Interest Expense Non Operating,104835000.0,82087000.0,114352000.0,70512000.0,
Interest Income Non Operating,26684000.0,16444000.0,7667000.0,4972000.0,
Operating Income,296053000.0,410103000.0,400395000.0,357605000.0,
Operating Expense,1046528000.0,1052526000.0,876612000.0,843924000.0,
Other Operating Expenses,112231000.0,97625000.0,80976000.0,75391000.0,
Depreciation And Amortization In Income Statement,61810000.0,53538000.0,46394000.0,45373000.0,
Depreciation Income Statement,61810000.0,53538000.0,46394000.0,45373000.0,
Research And Development,,,,125694000.0,102110000.0
Selling General And Administration,318903000.0,348886000.0,291355000.0,249307000.0,
Selling And Marketing Expense,318903000.0,348886000.0,291355000.0,249307000.0,
General And Administrative Expense,,,,25632000.0,18021000.0
Gross Profit,1342581000.0,1462629000.0,1277007000.0,1201529000.0,
Cost Of Revenue,3117798000.0,3293517000.0,2826669000.0,3031094000.0,
Total Revenue,4460379000.0,4756146000.0,4103676000.0,4232623000.0,
Operating Revenue,4460379000.0,4756146000.0,4103676000.0,4232623000.0,
