,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,64485.072279,-74995.2,74789.1,0.0,
Tax Rate For Calcs,0.4,0.297166,0.3456,0.3613,0.361693,
Total Unusual Items,,217000.0,-217000.0,207000.0,,
Total Unusual Items Excluding Goodwill,,217000.0,-217000.0,207000.0,,
Net Income From Continuing Operation Net Minority Interest,93568000.0,37972000.0,112311000.0,106562000.0,134100000.0,
Reconciled Depreciation,14134000.0,18889000.0,20010000.0,20901000.0,25266000.0,
EBIT,154894000.0,,240943000.0,432752000.0,214162000.0,860379000.0
Net Interest Income,1392000.0,35134000.0,51057000.0,-13818000.0,-4075000.0,
Interest Expense,-1392000.0,,69334000.0,265914000.0,4075000.0,638158000.0
Interest Income,124440000.0,524029000.0,120391000.0,138424000.0,183413000.0,
Normalized Income,93568000.0,37819485.072279,112453004.8,106429789.1,134100000.0,
Net Income From Continuing And Discontinued Operation,93568000.0,37972000.0,112311000.0,106562000.0,134100000.0,
Total Expenses,130038000.0,625497000.0,-43871000.0,-692590000.0,281874000.0,
Diluted Average Shares,81569892.0,,81838786.0,81838243.0,81838243.0,
Basic Average Shares,81569892.0,,81838786.0,81838243.0,81838243.0,
Diluted EPS,1.15,,1.3724,1.3,1.64,
Basic EPS,1.15,,1.3724,1.3,1.64,
Diluted NI Availto Com Stockholders,93568000.0,37972000.0,112311000.0,106562000.0,134100000.0,
Net Income Common Stockholders,93568000.0,37972000.0,112311000.0,106562000.0,134100000.0,
Net Income,93568000.0,37972000.0,112311000.0,106562000.0,134100000.0,
Net Income Including Noncontrolling Interests,93568000.0,37972000.0,112311000.0,106562000.0,134100000.0,
Net Income Continuous Operations,93568000.0,37972000.0,112311000.0,106562000.0,134100000.0,
Tax Provision,62718000.0,16055000.0,59298000.0,60276000.0,75987000.0,
Pretax Income,156286000.0,54027000.0,171609000.0,166838000.0,210087000.0,
Other Income Expense,-2117000.0,6106000.0,0.0,-11900000.0,6684000.0,
Special Income Charges,,217000.0,-217000.0,207000.0,,
Other Special Charges,,-217000.0,217000.0,-207000.0,,
Net Non Operating Interest Income Expense,1392000.0,35134000.0,51057000.0,-13818000.0,-4075000.0,
Total Other Finance Cost,,,,-113672000.0,,
Interest Expense Non Operating,-1392000.0,,69334000.0,265914000.0,4075000.0,638158000.0
Interest Income Non Operating,,,120391000.0,138424000.0,,752942000.0
Other Operating Expenses,1082000.0,1587000.0,370000.0,954000.0,1163000.0,
Selling General And Administration,6883000.0,7399000.0,6599000.0,6437000.0,5384000.0,
General And Administrative Expense,6883000.0,7399000.0,6599000.0,6437000.0,5384000.0,
Total Revenue,286268000.0,679524000.0,127738000.0,-525752000.0,491961000.0,
Operating Revenue,286268000.0,679524000.0,127738000.0,-525752000.0,491961000.0,
Net Policyholder Benefits And Claims,526688000.0,,,,535514000.0,
