,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,663320616.0,663320616.0,663320616.0,663320616.0,
Share Issued,663320616.0,663320616.0,663320616.0,663320616.0,
Net Debt,14595651000.0,10321548000.0,8994476000.0,7648206000.0,
Total Debt,16007349000.0,13273804000.0,9268665000.0,8041697000.0,
Tangible Book Value,20715234000.0,19276116000.0,16918504000.0,15701594000.0,
Invested Capital,37103180000.0,32950876000.0,26620435000.0,24162181000.0,
Working Capital,5200668000.0,4674631000.0,3533692000.0,3376824000.0,
Net Tangible Assets,20715234000.0,19276116000.0,16918504000.0,15701594000.0,
Capital Lease Obligations,55636000.0,37509000.0,28370000.0,56968000.0,
Common Stock Equity,21151467000.0,19714581000.0,17380140000.0,16177452000.0,
Total Capitalization,36517097000.0,31758906000.0,25973809000.0,23995288000.0,
Total Equity Gross Minority Interest,21437011000.0,20071282000.0,17791712000.0,16536481000.0,
Minority Interest,285544000.0,356701000.0,411572000.0,359029000.0,
Stockholders Equity,21151467000.0,19714581000.0,17380140000.0,16177452000.0,
Retained Earnings,,,0.0,0.0,11045897000.0
Capital Stock,3590020000.0,3590020000.0,3590020000.0,3590020000.0,
Common Stock,3590020000.0,3590020000.0,3590020000.0,3590020000.0,
Total Liabilities Net Minority Interest,25764361000.0,23233350000.0,18119444000.0,15707069000.0,
Total Non Current Liabilities Net Minority Interest,23877590000.0,19968532000.0,15674708000.0,14413723000.0,
Other Non Current Liabilities,40929000.0,32766000.0,55817000.0,50652000.0,
Derivative Product Liabilities,17312000.0,0.0,880000.0,0.0,
Non Current Pension And Other Postretirement Benefit Plans,,0.0,401059000.0,153836000.0,465454000.0
Non Current Deferred Taxes Liabilities,8253725000.0,7668681000.0,6471378000.0,6207796000.0,
Long Term Debt And Capital Lease Obligation,15402589000.0,12069814000.0,8615771000.0,7860680000.0,
Long Term Capital Lease Obligation,36959000.0,25489000.0,22102000.0,42844000.0,
Long Term Debt,15365630000.0,12044325000.0,8593669000.0,7817836000.0,
Long Term Provisions,163035000.0,197271000.0,129803000.0,140759000.0,
Current Liabilities,1886771000.0,3264818000.0,2444736000.0,1293346000.0,
Other Current Liabilities,29160000.0,27150000.0,107930000.0,75152000.0,
Current Debt And Capital Lease Obligation,604760000.0,1203990000.0,652894000.0,181017000.0,
Current Capital Lease Obligation,18677000.0,12020000.0,6268000.0,14124000.0,
Current Debt,586083000.0,1191970000.0,646626000.0,166893000.0,
Pensionand Other Post Retirement Benefit Plans Current,80421000.0,73340000.0,65415000.0,53810000.0,
Current Provisions,210460000.0,244333000.0,,,
Payables,959054000.0,1716005000.0,1592571000.0,983367000.0,
Other Payable,69203000.0,66750000.0,53071000.0,63287000.0,
Dividends Payable,422540000.0,1329622000.0,1247850000.0,611208000.0,
Total Tax Payable,212866000.0,137464000.0,113664000.0,197315000.0,
Accounts Payable,254445000.0,182169000.0,177986000.0,111557000.0,
Total Assets,47201372000.0,43304632000.0,35911156000.0,32243550000.0,
Total Non Current Assets,40113933000.0,35365183000.0,29932728000.0,27573380000.0,
Other Non Current Assets,190284000.0,283142000.0,292896000.0,142186000.0,
Financial Assets,20406000.0,84715000.0,2615000.0,0.0,
Investmentin Financial Assets,,,42677000.0,41298000.0,46011000.0
Held To Maturity Securities,,,42677000.0,41298000.0,46011000.0
Long Term Equity Investment,4154815000.0,4354888000.0,4022567000.0,3794693000.0,
Investmentsin Joint Venturesat Cost,,,,3794693000.0,3299479000.0
Investmentsin Subsidiariesat Cost,4154815000.0,4354888000.0,4022567000.0,3794693000.0,
Goodwill And Other Intangible Assets,436233000.0,438465000.0,461636000.0,475858000.0,
Other Intangible Assets,436233000.0,438465000.0,461636000.0,475858000.0,
Net PPE,180126000.0,153613000.0,120104000.0,114932000.0,
Accumulated Depreciation,-169729000.0,-141380000.0,-112147000.0,-93055000.0,
Gross PPE,349855000.0,153613000.0,120104000.0,207987000.0,
Construction In Progress,51810000.0,42365000.0,33220000.0,,2180000.0
Other Properties,,,,93550000.0,10071000.0
Machinery Furniture Equipment,218274000.0,73482000.0,47509000.0,111131000.0,
Buildings And Improvements,79669000.0,37664000.0,37315000.0,1246000.0,
Land And Improvements,102000.0,102000.0,2060000.0,2060000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,7087439000.0,7939449000.0,5978428000.0,4670170000.0,
Other Current Assets,350391000.0,202433000.0,294798000.0,100412000.0,
Hedging Assets Current,37384000.0,41658000.0,0.0,816000.0,
Inventory,72704000.0,94384000.0,164941000.0,91236000.0,
Other Receivables,126579000.0,142546000.0,107483000.0,89563000.0,
Taxes Receivable,229311000.0,453046000.0,268730000.0,114235000.0,
Accounts Receivable,4106084000.0,3604640000.0,3370449000.0,3030059000.0,
Cash Cash Equivalents And Short Term Investments,2164986000.0,3400742000.0,1772027000.0,1243849000.0,
Other Short Term Investments,808924000.0,485995000.0,1526208000.0,907326000.0,
Cash And Cash Equivalents,1356062000.0,2914747000.0,245819000.0,336523000.0,
Cash Equivalents,1325525000.0,2893864000.0,213409000.0,325423000.0,
Cash Financial,30537000.0,20883000.0,32410000.0,11100000.0,
