,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-131017000.0,-376790000.0,-621822000.0,-298186000.0,-180132000.0,
Repayment Of Debt,375908000.0,-4074817000.0,-741116000.0,-794739000.0,-193426000.0,
Issuance Of Debt,951788000.0,3837665000.0,1914255000.0,0.0,1446492000.0,
Capital Expenditure,-3366000.0,-9867000.0,-23435000.0,-6962000.0,-3399000.0,
End Cash Position,468699000.0,639620000.0,1356062000.0,653574000.0,783780000.0,
Beginning Cash Position,639620000.0,1356062000.0,719176000.0,783780000.0,2914747000.0,
Changes In Cash,-170921000.0,-716442000.0,636886000.0,-130206000.0,-2130967000.0,
Financing Cash Flow,516765000.0,-660375000.0,358593000.0,-1306276000.0,-48466000.0,
Net Other Financing Charges,13717000.0,-3958000.0,-8811000.0,1005000.0,38851000.0,
Interest Paid Cff,,,-434292000.0,,,-315408000.0
Cash Dividends Paid,-250491000.0,-413299000.0,-365479000.0,-136000.0,-1335770000.0,
Net Issuance Payments Of Debt,1327696000.0,-237152000.0,1173139000.0,-794739000.0,1253066000.0,
Net Long Term Debt Issuance,1327696000.0,-237152000.0,1173139000.0,-794739000.0,1253066000.0,
Long Term Debt Payments,375908000.0,-4074817000.0,-741116000.0,-794739000.0,-193426000.0,
Long Term Debt Issuance,951788000.0,3837665000.0,1914255000.0,0.0,1446492000.0,
Investing Cash Flow,-560035000.0,310856000.0,876680000.0,1467294000.0,-1905768000.0,
Net Other Investing Changes,-613000.0,-570000.0,-627000.0,-557000.0,-470000.0,
Dividends Received Cfi,116665000.0,58915000.0,164488000.0,14411000.0,0.0,
Net Investment Purchase And Sale,-672721000.0,262378000.0,736254000.0,1460402000.0,-1901899000.0,
Sale Of Investment,337498000.0,1016158000.0,2592254000.0,2273546000.0,210914000.0,
Purchase Of Investment,-1010219000.0,-753780000.0,-1856000000.0,-813144000.0,-2112813000.0,
Net Intangibles Purchase And Sale,-4428000.0,-7458000.0,-6128000.0,-1626000.0,-1371000.0,
Purchase Of Intangibles,-4428000.0,-7458000.0,-6128000.0,-1626000.0,-1371000.0,
Net PPE Purchase And Sale,1062000.0,-2409000.0,-17307000.0,-5336000.0,-2028000.0,
Purchase Of PPE,1062000.0,-2409000.0,-17307000.0,-5336000.0,-2028000.0,
Operating Cash Flow,-127651000.0,-366923000.0,-598387000.0,-291224000.0,-176733000.0,
Change In Working Capital,1449574000.0,1286556000.0,1520195000.0,1212983000.0,1307095000.0,
Change In Other Current Liabilities,-75970000.0,46845000.0,86228000.0,-111154000.0,-79817000.0,
Change In Other Current Assets,2850599000.0,-74120000.0,1330344000.0,2587962000.0,-64278000.0,
Change In Payable,-33189000.0,8086000.0,-188505000.0,-77247000.0,149156000.0,
Change In Prepaid Assets,,-75675000.0,,,-54263000.0,
Change In Inventory,,-10617000.0,,,20468000.0,
Change In Receivables,-1400010000.0,1414717000.0,229618000.0,-1176346000.0,1353704000.0,
Other Non Cash Items,-2209549000.0,-2259814000.0,-2901859000.0,-1350554000.0,-2249088000.0,
Deferred Tax,210772000.0,169094000.0,185208000.0,-126421000.0,209302000.0,
Depreciation And Amortization,9371000.0,8778000.0,9061000.0,8332000.0,8595000.0,
Depreciation,9371000.0,8778000.0,9061000.0,8332000.0,8595000.0,
Pension And Employee Benefit Expense,1354000.0,1353000.0,1923000.0,1923000.0,1923000.0,
Gain Loss On Investment Securities,4544000.0,-59821000.0,-40241000.0,-36099000.0,-17412000.0,
Gain Loss On Sale Of PPE,4199000.0,4458000.0,,9919000.0,3000.0,
Net Income From Continuing Operations,703370000.0,619149000.0,751237000.0,232276000.0,724705000.0,
