,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-13925552.238806,-340248717.301707,-586700251.889169,-311926963.536273,
Tax Rate For Calcs,0.087582,0.114139,0.146675,0.175833,
Total Unusual Items,-159000000.0,-2981000000.0,-4000000000.0,-1774000000.0,
Total Unusual Items Excluding Goodwill,-159000000.0,-2981000000.0,-4000000000.0,-1774000000.0,
Net Income From Continuing Operation Net Minority Interest,44857000000.0,41085000000.0,33105000000.0,29207000000.0,
Reconciled Depreciation,7386000000.0,6440000000.0,5652000000.0,4796000000.0,
Net Interest Income,35452000000.0,74980000000.0,64135000000.0,72418000000.0,
Interest Expense,219338000000.0,167278000000.0,158250000000.0,116747000000.0,
Interest Income,254790000000.0,242258000000.0,222385000000.0,189165000000.0,
Normalized Income,45002074447.76119,43725751282.698296,36518299748.11083,30669073036.463726,
Net Income From Continuing And Discontinued Operation,44857000000.0,41085000000.0,33105000000.0,29207000000.0,
Diluted Average Shares,11189427597.0,11170447062.0,11167723466.0,11161851183.0,
Basic Average Shares,11077669607.0,11090544106.0,11100323967.0,11100292792.0,
Diluted EPS,4.01,3.68,2.96,2.621359,
Basic EPS,4.05,3.7,2.98,2.631068,
Diluted NI Availto Com Stockholders,44857000000.0,41085000000.0,33105000000.0,29207000000.0,
Net Income Common Stockholders,44857000000.0,41085000000.0,33105000000.0,29207000000.0,
Net Income,44857000000.0,41085000000.0,33105000000.0,29207000000.0,
Minority Interests,-992000000.0,-1043000000.0,-772000000.0,-1035000000.0,
Net Income Including Noncontrolling Interests,45849000000.0,42128000000.0,33877000000.0,30242000000.0,
Net Income Continuous Operations,45849000000.0,42128000000.0,33877000000.0,30242000000.0,
Tax Provision,4401000000.0,5428000000.0,5823000000.0,6452000000.0,
Pretax Income,50250000000.0,47556000000.0,39700000000.0,36694000000.0,
Special Income Charges,-22000000.0,-2628000000.0,-2405000000.0,-1641000000.0,
Other Special Charges,22000000.0,2628000000.0,2405000000.0,1625000000.0,
Write Off,,383000000.0,338000000.0,16000000.0,440000000.0
Impairment Of Capital Assets,,,,,440000000.0
Gain On Sale Of Security,61838000000.0,29168000000.0,30263000000.0,13738000000.0,
Depreciation Amortization Depletion Income Statement,7419000000.0,7177000000.0,6529000000.0,5750000000.0,
Depreciation And Amortization In Income Statement,7419000000.0,7177000000.0,6529000000.0,5750000000.0,
Selling General And Administration,58065000000.0,59021000000.0,51165000000.0,50650000000.0,
Selling And Marketing Expense,1740000000.0,1976000000.0,1996000000.0,2003000000.0,
General And Administrative Expense,56325000000.0,57045000000.0,49169000000.0,48647000000.0,
Other Gand A,17233000000.0,20626000000.0,15762000000.0,16187000000.0,
Insurance And Claims,753000000.0,801000000.0,1007000000.0,1143000000.0,
Salaries And Wages,38339000000.0,35618000000.0,32400000000.0,31317000000.0,
Total Revenue,165243000000.0,158568000000.0,148380000000.0,136376000000.0,
Operating Revenue,165243000000.0,158568000000.0,148380000000.0,136376000000.0,
Other Non Interest Expense,18287000000.0,13765000000.0,17938000000.0,14163000000.0,
