,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,69423000000.0,51366000000.0,-45233000000.0,73915000000.0,12151000000.0,,
Repurchase Of Capital Stock,0.0,-1760000000.0,-1091000000.0,-1911000000.0,0.0,,
Repayment Of Debt,34000000.0,-3949000000.0,-4493000000.0,-8538000000.0,-206000000.0,,
Issuance Of Debt,3000000000.0,3315000000.0,3000000000.0,0.0,4986000000.0,,
Issuance Of Capital Stock,15000000.0,1080000000.0,-1000000.0,7000000.0,1000000.0,,
Capital Expenditure,-1695000000.0,-4228000000.0,-1811000000.0,-1789000000.0,-1747000000.0,,
Interest Paid Supplemental Data,44927000000.0,41453000000.0,39267000000.0,30996000000.0,57184000000.0,,
End Cash Position,161810000000.0,103968000000.0,114890000000.0,183679000000.0,131896000000.0,,
Beginning Cash Position,103968000000.0,114890000000.0,183679000000.0,131896000000.0,105355000000.0,,
Effect Of Exchange Rate Changes,-25000000.0,-3770000000.0,2167000000.0,-928000000.0,-1424000000.0,,
Changes In Cash,57867000000.0,-7152000000.0,-70956000000.0,52711000000.0,27965000000.0,,
Financing Cash Flow,2136000000.0,-5715000000.0,-22624000000.0,-17698000000.0,4066000000.0,,
Cash Flow From Continuing Financing Activities,2136000000.0,-5715000000.0,-22523000000.0,-17799000000.0,4066000000.0,,
Net Other Financing Charges,-410000000.0,-502000000.0,449000000.0,-309000000.0,-239000000.0,,
Cash Dividends Paid,-503000000.0,-3899000000.0,-20488000000.0,-6947000000.0,-476000000.0,,
Net Common Stock Issuance,15000000.0,-680000000.0,-1092000000.0,-1904000000.0,1000000.0,,
Common Stock Payments,0.0,-1760000000.0,-1091000000.0,-1911000000.0,0.0,,
Common Stock Issuance,15000000.0,1080000000.0,-1000000.0,7000000.0,1000000.0,,
Net Issuance Payments Of Debt,3034000000.0,-634000000.0,-1493000000.0,-8538000000.0,4780000000.0,,
Net Long Term Debt Issuance,3034000000.0,-634000000.0,-1493000000.0,-8538000000.0,4780000000.0,,
Long Term Debt Payments,34000000.0,-3949000000.0,-4493000000.0,-8538000000.0,-206000000.0,,
Long Term Debt Issuance,3000000000.0,3315000000.0,3000000000.0,0.0,4986000000.0,,
Investing Cash Flow,-15387000000.0,-57031000000.0,-4910000000.0,-5295000000.0,10001000000.0,,
Cash Flow From Continuing Investing Activities,-15387000000.0,-57031000000.0,-4910000000.0,-5295000000.0,10001000000.0,,
Net Other Investing Changes,,,,98000000.0,40000000.0,60000000.0,133000000.0
Dividends Received Cfi,438000000.0,22000000.0,86000000.0,211000000.0,156000000.0,,
Net Investment Purchase And Sale,-14130000000.0,-52825000000.0,-2987000000.0,-3915000000.0,11592000000.0,,
Sale Of Investment,,,-5380000000.0,5312000000.0,,,-80143000000.0
Purchase Of Investment,,,2415000000.0,-9227000000.0,-6480000000.0,0.0,71472000000.0
Net Intangibles Purchase And Sale,-1461000000.0,-3790000000.0,-1377000000.0,-1542000000.0,-1520000000.0,,
Purchase Of Intangibles,-1461000000.0,-3790000000.0,,-1542000000.0,-1520000000.0,-1500000000.0,
Net PPE Purchase And Sale,-234000000.0,-438000000.0,-434000000.0,-247000000.0,-227000000.0,,
Sale Of PPE,,,,,,,344000000.0
Purchase Of PPE,,,,-247000000.0,,,-522000000.0
Operating Cash Flow,71118000000.0,55594000000.0,-43422000000.0,75704000000.0,13898000000.0,,
Cash Flow From Continuing Operating Activities,71118000000.0,55594000000.0,-43421000000.0,75703000000.0,13898000000.0,,
Taxes Refund Paid,-1620000000.0,-5070000000.0,-1644000000.0,-2252000000.0,-1565000000.0,,
Change In Working Capital,66031000000.0,32027000000.0,-59761000000.0,45546000000.0,-7528000000.0,,
Change In Other Working Capital,21544000000.0,-39300000000.0,98489000000.0,3241000000.0,-9162000000.0,,
Change In Other Current Liabilities,9828000000.0,8082000000.0,-9936000000.0,-10337000000.0,4189000000.0,,
Change In Other Current Assets,3091000000.0,-9780000000.0,124000000.0,2987000000.0,-14505000000.0,,
Change In Payables And Accrued Expense,3000000000.0,4811000000.0,-21000000.0,10639000000.0,3282000000.0,,
Change In Payable,3000000000.0,4811000000.0,-21000000.0,10639000000.0,3282000000.0,,
Change In Tax Payable,3000000000.0,4811000000.0,-21000000.0,10639000000.0,3282000000.0,,
Change In Income Tax Payable,3000000000.0,4811000000.0,-21000000.0,10639000000.0,3282000000.0,,
Change In Receivables,-721000000.0,-1531000000.0,-377000000.0,-684000000.0,-1064000000.0,,
Other Non Cash Items,-1682000000.0,5155000000.0,-2765000000.0,5376000000.0,7564000000.0,,
Stock Based Compensation,255000000.0,-682000000.0,277000000.0,269000000.0,301000000.0,,
Deferred Tax,1053000000.0,-933000000.0,2708000000.0,-296000000.0,-3094000000.0,,
Deferred Income Tax,1053000000.0,-933000000.0,2708000000.0,-296000000.0,-3094000000.0,,
Depreciation Amortization Depletion,1740000000.0,1876000000.0,1847000000.0,2242000000.0,1632000000.0,,
Depreciation And Amortization,1740000000.0,1876000000.0,1847000000.0,2242000000.0,1632000000.0,,
Operating Gains Losses,-10236000000.0,11346000000.0,-182000000.0,1067000000.0,-7537000000.0,,
Earnings Losses From Equity Investments,-433000000.0,-1506000000.0,-342000000.0,-382000000.0,-369000000.0,,
Gain Loss On Investment Securities,-825000000.0,79000000.0,2148000000.0,700000000.0,966000000.0,,
Net Foreign Currency Exchange Gain Loss,25000000.0,3770000000.0,-2167000000.0,928000000.0,1424000000.0,,
Net Income From Continuing Operations,12324000000.0,11875000000.0,12144000000.0,11600000000.0,11398000000.0,,
