,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2756899000.0,-201219000.0,-132200000.0,-785653000.0,
Repurchase Of Capital Stock,,,,-24377000.0,-36626000.0
Repayment Of Debt,-1251833000.0,-1017529000.0,-19669000.0,-466022000.0,
Issuance Of Debt,2087963000.0,2130810000.0,217156000.0,1452595000.0,
Issuance Of Capital Stock,11185000.0,10608000.0,10200000.0,0.0,
Capital Expenditure,-896164000.0,-531220000.0,-252059000.0,-570522000.0,
End Cash Position,3661184000.0,1126004000.0,318126000.0,269036000.0,
Beginning Cash Position,1126004000.0,318126000.0,269036000.0,421743000.0,
Changes In Cash,2535180000.0,807878000.0,49090000.0,-152707000.0,
Financing Cash Flow,632186000.0,857796000.0,-115871000.0,820776000.0,
Net Other Financing Charges,52880000.0,,,,-125312000.0
Cash Dividends Paid,-250000000.0,-250001000.0,-301986000.0,-141491000.0,
Common Stock Dividend Paid,-250000000.0,-250001000.0,-301986000.0,-141491000.0,
Net Common Stock Issuance,11185000.0,10608000.0,10200000.0,-24377000.0,
Common Stock Payments,,,,-24377000.0,-36626000.0
Common Stock Issuance,11185000.0,10608000.0,10200000.0,0.0,
Net Issuance Payments Of Debt,836130000.0,1113281000.0,197487000.0,986573000.0,
Net Long Term Debt Issuance,836130000.0,1113281000.0,197487000.0,986573000.0,
Long Term Debt Payments,-1251833000.0,-1017529000.0,-19669000.0,-466022000.0,
Long Term Debt Issuance,2087963000.0,2130810000.0,217156000.0,1452595000.0,
Investing Cash Flow,-1750069000.0,-379919000.0,45102000.0,-758352000.0,
Net Other Investing Changes,-930369000.0,179093000.0,297161000.0,-187830000.0,
Net Investment Purchase And Sale,,,,,130860000.0
Net Business Purchase And Sale,76464000.0,-27792000.0,0.0,0.0,
Sale Of Business,76464000.0,0.0,0.0,0.0,
Purchase Of Business,0.0,-27792000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-22880000.0,-15333000.0,-16836000.0,-8795000.0,
Purchase Of Intangibles,-22880000.0,-15333000.0,-16836000.0,-8795000.0,
Net PPE Purchase And Sale,-873284000.0,-515887000.0,-235223000.0,-561727000.0,
Purchase Of PPE,-873284000.0,-515887000.0,-235223000.0,-561727000.0,
Operating Cash Flow,3653063000.0,330001000.0,119859000.0,-215131000.0,
Taxes Refund Paid,-3767000.0,-3767000.0,-24191000.0,-35044000.0,
Interest Paid Cfo,-634187000.0,-397741000.0,-418137000.0,-244776000.0,
Change In Working Capital,1933288000.0,-65991000.0,-103188000.0,-850349000.0,
Change In Other Current Assets,1754893000.0,265356000.0,231907000.0,31149000.0,
Change In Inventory,-91835000.0,-374260000.0,-350005000.0,-548582000.0,
Change In Receivables,270230000.0,42913000.0,14910000.0,-332916000.0,
Other Non Cash Items,928372000.0,298594000.0,529649000.0,344616000.0,
Provisionand Write Offof Assets,47568000.0,0.0,,,
Depreciation And Amortization,50998000.0,73614000.0,55256000.0,62958000.0,
Depreciation,50998000.0,73614000.0,55256000.0,62958000.0,
Gain Loss On Investment Securities,-763155000.0,-540908000.0,-577067000.0,-111943000.0,
Net Income From Continuing Operations,2116277000.0,995423000.0,715959000.0,712793000.0,
