,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,5642068.684298,-435893.683389,4870232.613879,0.0,
Tax Rate For Calcs,0.117063,0.134494,0.304618,0.10277,
Normalized EBITDA,2639637000.0,1417041000.0,1029625000.0,1122156000.0,
Total Unusual Items,48197000.0,-3241000.0,15988000.0,57951000.0,
Total Unusual Items Excluding Goodwill,48197000.0,-3241000.0,15988000.0,57951000.0,
Net Income From Continuing Operation Net Minority Interest,1893836000.0,854418000.0,452533000.0,642276000.0,
Reconciled Depreciation,50998000.0,73614000.0,55256000.0,62958000.0,
Reconciled Cost Of Revenue,1271981000.0,689591000.0,651259000.0,773932000.0,
EBITDA,2687834000.0,1413800000.0,1045613000.0,1122156000.0,
EBIT,2636836000.0,1340186000.0,990357000.0,1059198000.0,
Net Interest Income,-367121000.0,-281725000.0,-230913000.0,-190305000.0,
Interest Expense,520559000.0,344763000.0,274398000.0,341768000.0,
Interest Income,37075000.0,27325000.0,37652000.0,151463000.0,
Normalized Income,1851281068.684298,857223106.316611,441415232.613879,642276000.0,
Net Income From Continuing And Discontinued Operation,1893836000.0,854418000.0,452533000.0,642276000.0,
Total Expenses,1787644000.0,1026600000.0,1026140000.0,1142900000.0,
Total Operating Income As Reported,2460930000.0,1223763000.0,,,
Diluted Average Shares,683136177.0,678559434.0,682113605.0,676412672.0,
Basic Average Shares,681141962.0,676607051.0,678222613.0,676412672.0,
Diluted EPS,2.772267,1.259165,0.663428,0.949533,
Basic EPS,2.780384,1.262798,0.667234,0.949533,
Diluted NI Availto Com Stockholders,1893836000.0,854418000.0,452533000.0,642276000.0,
Net Income Common Stockholders,1893836000.0,854418000.0,452533000.0,642276000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1893836000.0,854418000.0,452533000.0,642276000.0,
Minority Interests,25296000.0,-7127000.0,-45332000.0,-1423000.0,
Net Income Including Noncontrolling Interests,1868540000.0,861545000.0,497865000.0,643700000.0,
Net Income Continuous Operations,1868540000.0,861545000.0,497865000.0,643700000.0,
Tax Provision,247737000.0,133878000.0,218094000.0,73730000.0,
Pretax Income,2116277000.0,995423000.0,715959000.0,717430000.0,
Special Income Charges,6870000.0,17211000.0,-25583000.0,-3426000.0,
Other Special Charges,-8094000.0,-18349000.0,20200000.0,3426000.0,
Impairment Of Capital Assets,,,,0.0,-2717000.0
Restructuring And Mergern Acquisition,1224000.0,1138000.0,5383000.0,0.0,
Net Non Operating Interest Income Expense,-367121000.0,-281725000.0,-230913000.0,-190305000.0,
Total Other Finance Cost,-116363000.0,-35713000.0,-5833000.0,-18067000.0,
Interest Expense Non Operating,520559000.0,344763000.0,274398000.0,341768000.0,
Interest Income Non Operating,37075000.0,27325000.0,37652000.0,151463000.0,
Operating Income,1691498000.0,581333000.0,567335000.0,793140000.0,
Operating Expense,515663000.0,337009000.0,374881000.0,368968000.0,
Other Operating Expenses,-921000.0,9498000.0,16745000.0,32758000.0,
Depreciation And Amortization In Income Statement,22722000.0,22288000.0,22678000.0,20399000.0,
Depreciation Income Statement,22722000.0,22288000.0,22678000.0,20399000.0,
Selling General And Administration,577627000.0,379551000.0,350575000.0,336210000.0,
General And Administrative Expense,577627000.0,379551000.0,350575000.0,336210000.0,
Gross Profit,2207161000.0,918342000.0,942216000.0,1162108000.0,
Cost Of Revenue,1271981000.0,689591000.0,651259000.0,773932000.0,
Total Revenue,3479142000.0,1607933000.0,1593475000.0,1936040000.0,
Operating Revenue,3479142000.0,1607933000.0,1593475000.0,1936040000.0,
